497_125118_000000_000000	'You caught George Sampson with it, Bella, bad as your means of dressing it are.'	'You caught George Sampson with it, Bella, bad as your means of dressing it are.'	false	0	3.42	6
497_125118_000128_000004	Facing the fire between the settles, a sofa, a footstool, and a little table, formed a centrepiece devoted to Mrs Boffin. They were garish in taste and colour, but were expensive articles of drawing-room furniture that had a very odd look beside the settles and the flaring gaslight pendent from the ceiling.	Facing the fire between the settles, a sofa, a footstool, and a little table, formed a centrepiece devoted to Mrs Boffin. They were garish in taste and colour, but were expensive articles of drawing room furniture that had a very odd look beside the settles and the flaring gaslight pendent from the ceiling.	false	1985	2002.21	11
497_125118_000128_000005	There was a flowery carpet on the floor; but, instead of reaching to the fireside, its glowing vegetation stopped short at Mrs Boffin's footstool, and gave place to a region of sand and sawdust.	There was a flowery carpet on the floor; but, instead of reaching to the fireside, its glowing vegetation stopped short at Mrs Boffin's footstool, and gave place to a region of sand and sawdust.	true	2003	2015.2	13
497_125118_000128_000006	Mr Wegg also noticed, with admiring eyes, that, while the flowery land displayed such hollow ornamentation as stuffed birds and waxen fruits under glass-shades, there were, in the territory where vegetation ceased, compensatory shelves on which the best part of a large pie and likewise of a cold joint were plainly discernible among other solids.	Mr Wegg also noticed, with admiring eyes, that, while the flowery land displayed such hollow ornamentation as stuffed birds and waxen fruits under glass shades, there were, in the territory where vegetation ceased, compensatory shelves on which the best part of a large pie and likewise of a cold joint were plainly discernible among other solids.	false	2015.75	2040.04	12
497_125118_000128_000007	The room itself was large, though low; and the heavy frames of its old-fashioned windows, and the heavy beams in its crooked ceiling, seemed to indicate that it had once been a house of some mark standing alone in the country.	The room itself was large, though low; and the heavy frames of its old-fashioned windows, and the heavy beams in its crooked ceiling, seemed to indicate that it had once been a house of some mark standing alone in the country.	false	2040.83	2052.67	9
497_125118_000129_000000	'Do you like it, Wegg?' asked Mr Boffin, in his pouncing manner.	'Do you like it, Wegg?' asked Mr Boffin, in his pouncing manner.	true	2054.3	2058.67	16
497_125118_000130_000000	'I admire it greatly, sir,' said Wegg. 'Peculiar comfort at this fireside, sir.'	'I admire it greatly, sir,' said Wegg. 'Peculiar comfort at this fireside, sir.'	true	2059.7	2066.44	13
497_125118_000131_000000	'Do you understand it, Wegg?'	'Do you understand it, Wegg?'	true	2068.01	2069.34	19
497_125118_000132_000000	'Why, in a general way, sir,' Mr Wegg was beginning slowly and knowingly, with his head stuck on one side, as evasive people do begin, when the other cut him short:	'Why, in a general way, sir,' Mr Wegg was beginning slowly and knowingly, with his head stuck on one side, as evasive people do begin, when the other cut him short:	false	2069.34	2081.62	13
497_125118_000133_000000	'You DON'T understand it, Wegg, and I'll explain it.	'You DON'T understand it, Wegg, and I'll explain it.	true	2081.62	2084.41	16
497_125118_000133_000001	These arrangements is made by mutual consent between Mrs Boffin and me.	These arrangements is made by mutual consent between Mrs Boffin and me.	true	2085.02	2089.48	11
497_125118_000133_000002	Mrs Boffin, as I've mentioned, is a highflyer at Fashion; at present I'm not.	Mrs Boffin, as I've mentioned, is a highflyer at Fashion; at present I'm not.	true	2089.73	2095.36	17.960806
497_125118_000133_000003	I don't go higher than comfort, and comfort of the sort that I'm equal to the enjoyment of.	I don't go higher than comfort, and comfort of the sort that I'm equal to the enjoyment of.	false	2095.61	2100.9	15
497_125118_000133_000004	Well then.	Well then.	true	2100.9	2101.39	18
497_125118_000133_000005	Where would be the good of Mrs Boffin and me quarrelling over it?	Where would be the good of Mrs Boffin and me quarrelling over it?	false	2102.3	2105.4	13
497_125118_000133_000006	We never did quarrel, before we come into Boffin's Bower as a property; why quarrel when we HAVE come into Boffin's Bower as a property?	We never did quarrel, before we come into Boffin's Bower as a property; why quarrel when we HAVE come into Boffin's Bower as a property?	false	2105.4	2112.37	13
497_125118_000133_000007	So Mrs Boffin, she keeps up her part of the room, in her way; I keep up my part of the room in mine.	So Mrs Boffin, she keeps up her part of the room, in her way; I keep up my part of the room in mine.	true	2112.71	2118.67	14
497_125118_000133_000008	In consequence of which we have at once, Sociability (I should go melancholy mad without Mrs Boffin), Fashion, and Comfort.	In consequence of which we have at once, Sociability (I should go melancholy mad without Mrs Boffin), Fashion, and Comfort.	true	2119.37	2127.61	16
497_125118_000133_000009	If I get by degrees to be a higher-flyer at Fashion, then Mrs Boffin will by degrees come for'arder.	If I get by degrees to be a higher flyer at Fashion, then Mrs Boffin will by degrees come for'arder.	false	2128.37	2134.36	16
497_125118_000133_000010	If Mrs Boffin should ever be less of a dab at Fashion than she is at the present time, then Mrs Boffin's carpet would go back'arder.	If Mrs Boffin should ever be less of a dab at Fashion than she is at the present time, then Mrs Boffin's carpet would go back'arder.	false	2135.09	2143.47	16
497_125118_000133_000011	If we should both continny as we are, why then HERE we are, and give us a kiss, old lady.'	If we should both continny as we are, why then HERE we are, and give us a kiss, old lady.'	true	2143.47	2149.36	16.221645
497_125118_000134_000000	Mrs Boffin who, perpetually smiling, had approached and drawn her plump arm through her lord's, most willingly complied.	Mrs Boffin who, perpetually smiling, had approached and drawn her plump arm through her lord's, most willingly complied.	true	2150.75	2158.63	11
497_125118_000134_000001	Fashion, in the form of her black velvet hat and feathers, tried to prevent it; but got deservedly crushed in the endeavour.	Fashion, in the form of her black velvet hat and feathers, tried to prevent it; but got deservedly crushed in the endeavour.	false	2158.67	2166.1	13
497_125118_000135_000000	'So now, Wegg,' said Mr Boffin, wiping his mouth with an air of much refreshment, 'you begin to know us as we are.	'So now, Wegg,' said Mr Boffin, wiping his mouth with an air of much refreshment, 'you begin to know us as we are.	true	2167.64	2175.07	15
497_125118_000135_000001	This is a charming spot, is the Bower, but you must get to apprechiate it by degrees.	This is a charming spot, is the Bower, but you must get to apprechiate it by degrees.	true	2175.35	2180.62	20
497_125118_000135_000002	It's a spot to find out the merits of; little by little, and a new'un every day. There's a serpentining walk up each of the mounds, that gives you the yard and neighbourhood changing every moment.	It's a spot to find out the merits of; little by little, and a new'un every day. There's a serpentining walk up each of the mounds, that gives you the yard and neighbourhood changing every moment.	false	2181.35	2192.5	16
497_125118_000135_000003	When you get to the top, there's a view of the neighbouring premises, not to be surpassed.	When you get to the top, there's a view of the neighbouring premises, not to be surpassed.	true	2192.78	2197.03	13
497_125118_000135_000004	The premises of Mrs Boffin's late father (Canine Provision Trade), you look down into, as if they was your own.	The premises of Mrs Boffin's late father (Canine Provision Trade), you look down into, as if they was your own.	false	2197.67	2204.8	17
497_125118_000135_000005	And the top of the High Mound is crowned with a lattice-work Arbour, in which, if you don't read out loud many a book in the summer, ay, and as a friend, drop many a time into poetry too, it shan't be my fault.	And the top of the High Mound is crowned with a lattice work Arbour, in which, if you don't read out loud many a book in the summer, ay, and as a friend, drop many a time into poetry too, it shan't be my fault.	false	2205.5	2216.7	15
497_125118_000135_000006	Now, what'll you read on?'	Now, what'll you read on?'	true	2216.7	2218.6	19.310112
497_125118_000136_000000	'Thank you, sir,' returned Wegg, as if there were nothing new in his reading at all.	'Thank you, sir,' returned Wegg, as if there were nothing new in his reading at all.	true	2219.12	2224.54	14
497_125118_000136_000001	'I generally do it on gin and water.'	'I generally do it on gin and water.'	true	2224.76	2226.94	10
497_125118_000137_000000	'Keeps the organ moist, does it, Wegg?' asked Mr Boffin, with innocent eagerness.	'Keeps the organ moist, does it, Wegg?' asked Mr Boffin, with innocent eagerness.	true	2227.7	2231.94	17
497_125118_000138_000000	'N-no, sir,' replied Wegg, coolly, 'I should hardly describe it so, sir. I should say, mellers it.	'n-no, sir,' replied Wegg, coolly, 'I should hardly describe it so, sir. I should say, mellers it.	false	2231.94	2240.65	17
497_125118_000138_000001	Mellers it, is the word I should employ, Mr Boffin.'	Mellers it, is the word I should employ, Mr Boffin.'	true	2241.32	2244.79	12
497_125118_000139_000000	His wooden conceit and craft kept exact pace with the delighted expectation of his victim.	His wooden conceit and craft kept exact pace with the delighted expectation of his victim.	true	2245.79	2251.21	14
497_125118_000139_000001	The visions rising before his mercenary mind, of the many ways in which this connexion was to be turned to account, never obscured the foremost idea natural to a dull overreaching man, that he must not make himself too cheap.	The visions rising before his mercenary mind, of the many ways in which this connexion was to be turned to account, never obscured the foremost idea natural to a dull overreaching man, that he must not make himself too cheap.	false	2251.49	2265.22	13
497_125118_000140_000000	Mrs Boffin's Fashion, as a less inexorable deity than the idol usually worshipped under that name, did not forbid her mixing for her literary guest, or asking if he found the result to his liking.	Mrs Boffin's Fashion, as a less inexorable deity than the idol usually worshipped under that name, did not forbid her mixing for her literary guest, or asking if he found the result to his liking.	true	2266.01	2278.36	14
497_125118_000140_000001	On his returning a gracious answer and taking his place at the literary settle, Mr Boffin began to compose himself as a listener, at the opposite settle, with exultant eyes.	On his returning a gracious answer and taking his place at the literary settle, Mr Boffin began to compose himself as a listener, at the opposite settle, with exultant eyes.	true	2278.97	2289.67	15
497_125118_000141_000000	'Sorry to deprive you of a pipe, Wegg,' he said, filling his own, 'but you can't do both together.	'Sorry to deprive you of a pipe, Wegg,' he said, filling his own, 'but you can't do both together.	true	2290.46	2295.73	20.355564
497_125118_000141_000001	Oh! and another thing I forgot to name!	Oh! and another thing I forgot to name!	true	2295.86	2298.19	20.45552
497_125118_000141_000002	When you come in here of an evening, and look round you, and notice anything on a shelf that happens to catch your fancy, mention it.'	When you come in here of an evening, and look round you, and notice anything on a shelf that happens to catch your fancy, mention it.'	true	2298.8	2305.3	18.84489
497_125118_000142_000000	Wegg, who had been going to put on his spectacles, immediately laid them down, with the sprightly observation:	Wegg, who had been going to put on his spectacles, immediately laid them down, with the sprightly observation:	true	2306.33	2313.91	17.52562
497_125118_000143_000000	'You read my thoughts, sir.	'You read my thoughts, sir.	true	2315.48	2317.84	14.729157
497_125118_000143_000001	DO my eyes deceive me, or is that object up there a--a pie?	DO my eyes deceive me, or is that object up there a-a pie?	false	2318.21	2323.69	17
497_125118_000143_000002	It can't be a pie.'	It can't be a pie.'	true	2324.06	2325.55	15
497_125118_000144_000000	'Yes, it's a pie, Wegg,' replied Mr Boffin, with a glance of some little discomfiture at the Decline and Fall.	'Yes, it's a pie, Wegg,' replied Mr Boffin, with a glance of some little discomfiture at the Decline and Fall.	true	2326.55	2333.08	18
497_125118_000145_000000	'HAVE I lost my smell for fruits, or is it a apple pie, sir?' asked Wegg.	'HAVE I lost my smell for fruits, or is it a apple pie, sir?' asked Wegg.	false	2334.14	2340.42	16
497_125118_000146_000000	'It's a veal and ham pie,' said Mr Boffin.	'It's a veal and ham pie,' said Mr Boffin.	true	2340.42	2343.16	19.110626
497_125118_000147_000000	'Is it indeed, sir?	'Is it indeed, sir?	true	2344.16	2345.65	16
497_125118_000147_000001	And it would be hard, sir, to name the pie that is a better pie than a weal and hammer,' said Mr Wegg, nodding his head emotionally.	And it would be hard, sir, to name the pie that is a better pie than a weal and hammer,' said Mr Wegg, nodding his head emotionally.	false	2347.04	2358.04	16
497_125118_000148_000000	'Have some, Wegg?'	'Have some, Wegg?'	true	2358.68	2359.78	19.026781
497_125118_000149_000000	'Thank you, Mr Boffin, I think I will, at your invitation.	'Thank you, Mr Boffin, I think I will, at your invitation.	true	2361.89	2365.54	14
497_125118_000149_000001	I wouldn't at any other party's, at the present juncture; but at yours, sir!--And meaty jelly too, especially when a little salt, which is the case where there's ham, is mellering to the organ, is very mellering to the organ.' Mr Wegg did not say what organ, but spoke with a cheerful generality.	I wouldn't at any other party's, at the present juncture; but at yours, sir!--And meaty jelly too, especially when a little salt, which is the case where there's ham, is mellering to the organ, is very mellering to the organ.' Mr Wegg did not say what organ, but spoke with a cheerful generality.	false	2365.61	2386.09	17.287197
497_125118_000150_000000	So, the pie was brought down, and the worthy Mr Boffin exercised his patience until Wegg, in the exercise of his knife and fork, had finished the dish: only profiting by the opportunity to inform Wegg that although it was not strictly Fashionable to keep the contents of a larder thus exposed to view, he (Mr Boffin) considered it hospitable; for the reason, that instead of saying, in a comparatively unmeaning manner, to a visitor, 'There are such and such edibles down stairs; will you have anything up?' you took the bold practical course of saying, 'Cast your eye along the shelves, and, if you see anything you like there, have it down.'	So, the pie was brought down, and the worthy Mr Boffin exercised his patience until Wegg, in the exercise of his knife and fork, had finished the dish: only profiting by the opportunity to inform Wegg that although it was not strictly Fashionable to keep the contents of a larder thus exposed to view, he (Mr Boffin) considered it hospitable; for the reason, that instead of saying, in a comparatively unmeaning manner, to a visitor, 'There are such and such edibles down stairs; will you have anything up?' you took the bold practical course of saying, 'Cast your eye along the shelves, and, if you see anything you like there, have it down.'	true	2387.36	2424.37	16
497_125118_000151_000000	And now, Mr Wegg at length pushed away his plate and put on his spectacles, and Mr Boffin lighted his pipe and looked with beaming eyes into the opening world before him, and Mrs Boffin reclined in a fashionable manner on her sofa: as one who would be part of the audience if she found she could, and would go to sleep if she found she couldn't.	And now, Mr Wegg at length pushed away his plate and put on his spectacles, and Mr Boffin lighted his pipe and looked with beaming eyes into the opening world before him, and Mrs Boffin reclined in a fashionable manner on her sofa: as one who would be part of the audience if she found she could, and would go to sleep if she found she couldn't.	true	2424.74	2445.78	13
497_125118_000152_000000	'Hem!' began Wegg, 'This, Mr Boffin and Lady, is the first chapter of the first wollume of the Decline and Fall off--' here he looked hard at the book, and stopped.	'Hem!' began Wegg, 'This, Mr Boffin and Lady, is the first chapter of the first wollume of the Decline and Fall off-' here he looked hard at the book, and stopped.	false	2445.78	2462.2	17.970884
497_125118_000153_000000	'What's the matter, Wegg?'	'What's the matter, Wegg?'	true	2463.56	2464.75	18.607042
497_125118_000154_000000	'Why, it comes into my mind, do you know, sir,' said Wegg with an air of insinuating frankness (having first again looked hard at the book), 'that you made a little mistake this morning, which I had meant to set you right in, only something put it out of my head.	'Why, it comes into my mind, do you know, sir,' said Wegg with an air of insinuating frankness (having first again looked hard at the book), 'that you made a little mistake this morning, which I had meant to set you right in, only something put it out of my head.	false	2465.66	2485.29	17.51337
497_125118_000154_000001	I think you said Rooshan Empire, sir?'	I think you said Rooshan Empire, sir?'	true	2485.29	2488.09	18
497_125118_000155_000000	'It is Rooshan; ain't it, Wegg?'	'It is Rooshan; ain't it, Wegg?'	false	2488.85	2490.64	18.99745
497_125118_000156_000000	'No, sir.	'No, sir.	true	2491.34	2492.11	17.40651
497_125118_000156_000001	Roman.	Roman.	true	2492.54	2493.4	16.075222
497_125118_000156_000002	Roman.'	Roman.'	true	2493.71	2494.57	16.84244
497_125118_000157_000000	'What's the difference, Wegg?'	'What's the difference, Wegg?'	true	2495.81	2497.06	18.733326
497_125118_000158_000000	'The difference, sir?' Mr Wegg was faltering and in danger of breaking down, when a bright thought flashed upon him.	'The difference, sir?' Mr Wegg was faltering and in danger of breaking down, when a bright thought flashed upon him.	true	2498.15	2504.68	15
497_125118_000158_000001	'The difference, sir? There you place me in a difficulty, Mr Boffin.	'The difference, sir? There you place me in a difficulty, Mr Boffin.	true	2504.87	2509.09	16.453043
497_125118_000158_000002	Suffice it to observe, that the difference is best postponed to some other occasion when Mrs Boffin does not honour us with her company.	Suffice it to observe, that the difference is best postponed to some other occasion when Mrs Boffin does not honour us with her company.	true	2509.58	2518.23	17
497_125118_000158_000003	In Mrs Boffin's presence, sir, we had better drop it.'	In Mrs Boffin's presence, sir, we had better drop it.'	false	2518.23	2522.89	16.835043
497_125118_000159_000000	Mr Wegg thus came out of his disadvantage with quite a chivalrous air, and not only that, but by dint of repeating with a manly delicacy, 'In Mrs Boffin's presence, sir, we had better drop it!' turned the disadvantage on Boffin, who felt that he had committed himself in a very painful manner.	Mr Wegg thus came out of his disadvantage with quite a chivalrous air, and not only that, but by dint of repeating with a manly delicacy, 'In Mrs Boffin's presence, sir, we had better drop it!' turned the disadvantage on Boffin, who felt that he had committed himself in a very painful manner.	false	2523.95	2543.77	16.953922
497_125118_000160_000000	Then, Mr Wegg, in a dry unflinching way, entered on his task; going straight across country at everything that came before him; taking all the hard words, biographical and geographical; getting rather shaken by Hadrian, Trajan, and the Antonines; stumbling at Polybius (pronounced Polly Beeious, and supposed by Mr Boffin to be a Roman virgin, and by Mrs Boffin to be responsible for that necessity of dropping it); heavily unseated by Titus Antoninus Pius; up again and galloping smoothly with Augustus; finally, getting over the ground well with Commodus: who, under the appellation of Commodious, was held by Mr Boffin to have been quite unworthy of his English origin, and 'not to have acted up to his name' in his government of the Roman people.	Then, Mr Wegg, in a dry unflinching way, entered on his task; going straight across country at everything that came before him; taking all the hard words, biographical and geographical; getting rather shaken by Hadrian, Trajan, and the Antonines; stumbling at Polybius (pronounced Polly Beeious, and supposed by Mr Boffin to be a Roman virgin, and by Mrs Boffin to be responsible for that necessity of dropping it); heavily unseated by titus Antoninus Pius; up again and galloping smoothly with Augustus; finally, getting over the ground well with Commodus: who, under the appellation of Commodious, was held by Mr Boffin to have been quite unworthy of his English origin, and 'not to have acted up to his name' in his government of the Roman people.	false	2543.78	2594.53	15
497_125118_000160_000001	With the death of this personage, Mr Wegg terminated his first reading; long before which consummation several total eclipses of Mrs Boffin's candle behind her black velvet disc, would have been very alarming, but for being regularly accompanied by a potent smell of burnt pens when her feathers took fire, which acted as a restorative and woke her.	With the death of this personage, Mr Wegg terminated his first reading; long before which consummation several total eclipses of Mrs Boffin's candle behind her black velvet disc, would have been very alarming, but for being regularly accompanied by a potent smell of burnt pens when her feathers took fire, which acted as a restorative and woke her.	true	2595.08	2616.1	14
497_125118_000160_000002	Mr Wegg, having read on by rote and attached as few ideas as possible to the text, came out of the encounter fresh; but, Mr Boffin, who had soon laid down his unfinished pipe, and had ever since sat intently staring with his eyes and mind at the confounding enormities of the Romans, was so severely punished that he could hardly wish his literary friend Good-night, and articulate 'Tomorrow.'	Mr Wegg, having read on by rote and attached as few ideas as possible to the text, came out of the encounter fresh; but, Mr Boffin, who had soon laid down his unfinished pipe, and had ever since sat intently staring with his eyes and mind at the confounding enormities of the romans, was so severely punished that he could hardly wish his literary friend Good night, and articulate 'Tomorrow.'	false	2616.86	2711.16	17
