576_129623_000000_000000	"I will, thank you.	"I will, thank you.	false	0	0.3	3
576_129623_000102_000000	"Then in God's name paint! but don't let the family go to the devil. There's Madame Ratignolle; because she keeps up her music, she doesn't let everything else go to chaos.	"Then in God's name paint! but don't let the family go to the devil. There's Madame Ratignolle; because she keeps up her music, she doesn't let everything else go to chaos.	false	1778.87	1789.99	23.46643
576_129623_000102_000001	And she's more of a musician than you are a painter."	And she's more of a musician than you are a painter."	true	1790.03	1792.63	21.132614
576_129623_000103_000000	"She isn't a musician, and I'm not a painter.	"She isn't a musician, and I'm not a painter.	true	1793.09	1795.6	18.426323
576_129623_000103_000001	It isn't on account of painting that I let things go."	It isn't on account of painting that I let things go."	false	1795.61	1798.81	24
576_129623_000104_000000	"On account of what, then?"	"On account of what, then?"	true	1799.24	1800.54	24.979616
576_129623_000105_000000	"Oh!	"Oh!	false	1800.54	1801.2	24.288858
576_129623_000105_000001	I don't know.	I don't know.	true	1801.2	1802.28	24
576_129623_000105_000002	Let me alone; you bother me."	Let me alone; you bother me."	true	1802.28	1804.27	19.564592
576_129623_000106_000000	It sometimes entered Mr. Pontellier's mind to wonder if his wife were not growing a little unbalanced mentally.	It sometimes entered mr Pontellier's mind to wonder if his wife were not growing a little unbalanced mentally.	true	1805.39	1811.62	16
576_129623_000106_000001	He could see plainly that she was not herself.	He could see plainly that she was not herself.	true	1811.72	1814.3	20.8656
576_129623_000106_000002	That is, he could not see that she was becoming herself and daily casting aside that fictitious self which we assume like a garment with which to appear before the world.	That is, he could not see that she was becoming herself and daily casting aside that fictitious self which we assume like a garment with which to appear before the world.	true	1814.3	1825.09	21.420797
576_129623_000107_000000	Her husband let her alone as she requested, and went away to his office. Edna went up to her atelier--a bright room in the top of the house. She was working with great energy and interest, without accomplishing anything, however, which satisfied her even in the smallest degree.	Her husband let her alone as she requested, and went away to his office. Edna went up to her atelier-a bright room in the top of the house. She was working with great energy and interest, without accomplishing anything, however, which satisfied her even in the smallest degree.	false	1825.34	1842.16	21
576_129623_000107_000001	For a time she had the whole household enrolled in the service of art.	For a time she had the whole household enrolled in the service of art.	false	1842.41	1846.24	20
576_129623_000107_000002	The boys posed for her.	The boys posed for her.	false	1846.46	1848.96	28.523478
576_129623_000107_000003	They thought it amusing at first, but the occupation soon lost its attractiveness when they discovered that it was not a game arranged especially for their entertainment.	They thought it amusing at first, but the occupation soon lost its attractiveness when they discovered that it was not a game arranged especially for their entertainment.	false	1848.96	1857.49	19
576_129623_000107_000004	The quadroon sat for hours before Edna's palette, patient as a savage, while the house-maid took charge of the children, and the drawing-room went undusted.	The quadroon sat for hours before Edna's palette, patient as a savage, while the house maid took charge of the children, and the drawing room went undusted.	true	1857.71	1867.3	23.024944
576_129623_000107_000005	But the housemaid, too, served her term as model when Edna perceived that the young woman's back and shoulders were molded on classic lines, and that her hair, loosened from its confining cap, became an inspiration.	But the housemaid, too, served her term as model when Edna perceived that the young woman's back and shoulders were molded on classic lines, and that her hair, loosened from its confining cap, became an inspiration.	true	1867.7	1879.96	19
576_129623_000107_000006	While Edna worked she sometimes sang low the little air, "Ah! si tu savais!"	While Edna worked she sometimes sang low the little air, "Ah! si tu savais!"	true	1880.39	1885.84	20.195179
576_129623_000108_000000	It moved her with recollections.	It moved her with recollections.	true	1886.09	1888.01	23
576_129623_000108_000001	She could hear again the ripple of the water, the flapping sail.	She could hear again the ripple of the water, the flapping sail.	true	1888.01	1892.05	19.845387
576_129623_000108_000002	She could see the glint of the moon upon the bay, and could feel the soft, gusty beating of the hot south wind.	She could see the glint of the moon upon the bay, and could feel the soft, gusty beating of the hot south wind.	false	1892.06	1897.93	21.347412
576_129623_000108_000003	A subtle current of desire passed through her body, weakening her hold upon the brushes and making her eyes burn.	A subtle current of desire passed through her body, weakening her hold upon the brushes and making her eyes burn.	false	1898.3	1904.4	18.962164
576_129623_000109_000000	There were days when she was very happy without knowing why.	There were days when she was very happy without knowing why.	false	1904.4	1908.13	22.232174
576_129623_000109_000001	She was happy to be alive and breathing, when her whole being seemed to be one with the sunlight, the color, the odors, the luxuriant warmth of some perfect Southern day.	She was happy to be alive and breathing, when her whole being seemed to be one with the sunlight, the color, the odors, the luxuriant warmth of some perfect Southern day.	true	1908.29	1918.69	21.158518
576_129623_000109_000002	She liked then to wander alone into strange and unfamiliar places.	She liked then to wander alone into strange and unfamiliar places.	false	1919.03	1923.72	20
576_129623_000109_000003	She discovered many a sunny, sleepy corner, fashioned to dream in.	She discovered many a sunny, sleepy corner, fashioned to dream in.	true	1923.72	1927.75	20.861479
576_129623_000109_000004	And she found it good to dream and to be alone and unmolested.	And she found it good to dream and to be alone and unmolested.	true	1927.88	1931.77	19.234499
576_129623_000110_000000	There were days when she was unhappy, she did not know why,--when it did not seem worth while to be glad or sorry, to be alive or dead; when life appeared to her like a grotesque pandemonium and humanity like worms struggling blindly toward inevitable annihilation.	There were days when she was unhappy, she did not know why,--when it did not seem worth while to be glad or sorry, to be alive or dead; when life appeared to her like a grotesque pandemonium and humanity like worms struggling blindly toward inevitable annihilation.	false	1932.32	1950.7	20.914204
576_129623_000110_000001	She could not work on such a day, nor weave fancies to stir her pulses and warm her blood.	She could not work on such a day, nor weave fancies to stir her pulses and warm her blood.	false	1951.04	1956.51	21.325195
576_129623_000111_000000	XX	x x	false	1956.51	1958.94	24.827864
576_129623_000112_000000	It was during such a mood that Edna hunted up Mademoiselle Reisz.	It was during such a mood that Edna hunted up Mademoiselle Reisz.	false	1958.94	1963.8	23.393265
576_129623_000112_000001	She had not forgotten the rather disagreeable impression left upon her by their last interview; but she nevertheless felt a desire to see her--above all, to listen while she played upon the piano.	She had not forgotten the rather disagreeable impression left upon her by their last interview; but she nevertheless felt a desire to see her-above all, to listen while she played upon the piano.	false	1963.8	1975.48	20.74146
576_129623_000112_000002	Quite early in the afternoon she started upon her quest for the pianist. Unfortunately she had mislaid or lost Mademoiselle Reisz's card, and looking up her address in the city directory, she found that the woman lived on Bienville Street, some distance away.	Quite early in the afternoon she started upon her quest for the pianist. Unfortunately she had mislaid or lost Mademoiselle Reisz's card, and looking up her address in the city directory, she found that the woman lived on Bienville Street, some distance away.	false	1975.76	1990.45	20.866282
576_129623_000112_000003	The directory which fell into her hands was a year or more old, however, and upon reaching the number indicated, Edna discovered that the house was occupied by a respectable family of mulattoes who had chambres garnies to let.	The directory which fell into her hands was a year or more old, however, and upon reaching the number indicated, Edna discovered that the house was occupied by a respectable family of mulattoes who had chambres garnies to let.	false	1990.85	2005.65	20.962587
576_129623_000112_000004	They had been living there for six months, and knew absolutely nothing of a Mademoiselle Reisz.	They had been living there for six months, and knew absolutely nothing of a Mademoiselle Reisz.	false	2005.65	2010.48	18
576_129623_000112_000005	In fact, they knew nothing of any of their neighbors; their lodgers were all people of the highest distinction, they assured Edna.	In fact, they knew nothing of any of their neighbors; their lodgers were all people of the highest distinction, they assured Edna.	false	2010.48	2017.66	21
576_129623_000112_000006	She did not linger to discuss class distinctions with Madame Pouponne, but hastened to a neighboring grocery store, feeling sure that Mademoiselle would have left her address with the proprietor.	She did not linger to discuss class distinctions with Madame Pouponne, but hastened to a neighboring grocery store, feeling sure that Mademoiselle would have left her address with the proprietor.	false	2017.85	2028.37	19
576_129623_000113_000000	He knew Mademoiselle Reisz a good deal better than he wanted to know her, he informed his questioner.	He knew Mademoiselle Reisz a good deal better than he wanted to know her, he informed his questioner.	false	2029.25	2034.34	21.819126
576_129623_000113_000001	In truth, he did not want to know her at all, or anything concerning her--the most disagreeable and unpopular woman who ever lived in Bienville Street.	In truth, he did not want to know her at all, or anything concerning her-the most disagreeable and unpopular woman who ever lived in Bienville Street.	false	2034.47	2044	21
576_129623_000113_000002	He thanked heaven she had left the neighborhood, and was equally thankful that he did not know where she had gone.	He thanked heaven she had left the neighborhood, and was equally thankful that he did not know where she had gone.	false	2044.22	2050.09	18
576_129623_000114_000000	Edna's desire to see Mademoiselle Reisz had increased tenfold since these unlooked-for obstacles had arisen to thwart it.	Edna's desire to see Mademoiselle Reisz had increased tenfold since these unlooked for obstacles had arisen to thwart it.	false	2050.73	2058.31	19.887972
576_129623_000114_000001	She was wondering who could give her the information she sought, when it suddenly occurred to her that Madame Lebrun would be the one most likely to do so.	She was wondering who could give her the information she sought, when it suddenly occurred to her that Madame Lebrun would be the one most likely to do so.	false	2058.56	2067.88	21.508722
576_129623_000114_000002	She knew it was useless to ask Madame Ratignolle, who was on the most distant terms with the musician, and preferred to know nothing concerning her.	She knew it was useless to ask Madame Ratignolle, who was on the most distant terms with the musician, and preferred to know nothing concerning her.	false	2068.04	2076.25	17
576_129623_000114_000003	She had once been almost as emphatic in expressing herself upon the subject as the corner grocer.	She had once been almost as emphatic in expressing herself upon the subject as the corner grocer.	false	2076.59	2083.53	21.814447
576_129623_000115_000000	Edna knew that Madame Lebrun had returned to the city, for it was the middle of November.	Edna knew that Madame Lebrun had returned to the city, for it was the middle of November.	true	2083.53	2088.04	16
576_129623_000115_000001	And she also knew where the Lebruns lived, on Chartres Street.	And she also knew where the Lebruns lived, on Chartres Street.	true	2088.14	2092.06	19.222008
576_129623_000116_000000	Their home from the outside looked like a prison, with iron bars before the door and lower windows.	Their home from the outside looked like a prison, with iron bars before the door and lower windows.	false	2092.22	2098.48	21.715208
576_129623_000116_000001	The iron bars were a relic of the old regime, and no one had ever thought of dislodging them.	The iron bars were a relic of the old regime, and no one had ever thought of dislodging them.	false	2098.61	2104.81	21
576_129623_000116_000002	At the side was a high fence enclosing the garden.	At the side was a high fence enclosing the garden.	true	2105.03	2108.56	19.352549
576_129623_000116_000003	A gate or door opening upon the street was locked.	A gate or door opening upon the street was locked.	true	2108.75	2111.92	26.937143
576_129623_000116_000004	Edna rang the bell at this side garden gate, and stood upon the banquette, waiting to be admitted.	Edna rang the bell at this side garden gate, and stood upon the banquette, waiting to be admitted.	false	2112.68	2118.58	22.889488
576_129623_000117_000000	It was Victor who opened the gate for her.	It was Victor who opened the gate for her.	true	2118.77	2121.16	22.558882
576_129623_000117_000001	A black woman, wiping her hands upon her apron, was close at his heels.	A black woman, wiping her hands upon her apron, was close at his heels.	true	2121.26	2125.54	22
576_129623_000117_000002	Before she saw them Edna could hear them in altercation, the woman--plainly an anomaly--claiming the right to be allowed to perform her duties, one of which was to answer the bell.	Before she saw them Edna could hear them in altercation, the woman-plainly an anomaly-claiming the right to be allowed to perform her duties, one of which was to answer the bell.	true	2126.09	2136.88	21
576_129623_000118_000000	Victor was surprised and delighted to see Mrs. Pontellier, and he made no attempt to conceal either his astonishment or his delight.	Victor was surprised and delighted to see mrs Pontellier, and he made no attempt to conceal either his astonishment or his delight.	true	2137.28	2144.98	21
576_129623_000118_000001	He was a dark-browed, good-looking youngster of nineteen, greatly resembling his mother, but with ten times her impetuosity.	He was a dark browed, good looking youngster of nineteen, greatly resembling his mother, but with ten times her impetuosity.	false	2145.41	2153.34	22.947245
576_129623_000118_000002	He instructed the black woman to go at once and inform Madame Lebrun that Mrs. Pontellier desired to see her.	He instructed the black woman to go at once and inform Madame Lebrun that mrs Pontellier desired to see her.	false	2153.34	2159.8	23.451551
576_129623_000118_000003	The woman grumbled a refusal to do part of her duty when she had not been permitted to do it all, and started back to her interrupted task of weeding the garden.	The woman grumbled a refusal to do part of her duty when she had not been permitted to do it all, and started back to her interrupted task of weeding the garden.	false	2160.17	2169.49	20.602571
576_129623_000118_000004	Whereupon Victor administered a rebuke in the form of a volley of abuse, which, owing to its rapidity and incoherence, was all but incomprehensible to Edna.	Whereupon Victor administered a rebuke in the form of a volley of abuse, which, owing to its rapidity and incoherence, was all but incomprehensible to Edna.	false	2169.71	2180.32	22.866127
576_129623_000118_000005	Whatever it was, the rebuke was convincing, for the woman dropped her hoe and went mumbling into the house.	Whatever it was, the rebuke was convincing, for the woman dropped her hoe and went mumbling into the house.	true	2180.42	2187.22	21.055094
576_129623_000119_000000	Edna did not wish to enter.	Edna did not wish to enter.	true	2187.77	2189.52	19
576_129623_000119_000001	It was very pleasant there on the side porch, where there were chairs, a wicker lounge, and a small table.	It was very pleasant there on the side porch, where there were chairs, a wicker lounge, and a small table.	true	2189.52	2195.8	22.126411
576_129623_000119_000002	She seated herself, for she was tired from her long tramp; and she began to rock gently and smooth out the folds of her silk parasol.	She seated herself, for she was tired from her long tramp; and she began to rock gently and smooth out the folds of her silk parasol.	true	2195.9	2204.02	23
576_129623_000119_000003	Victor drew up his chair beside her.	Victor drew up his chair beside her.	true	2204.45	2206.74	22.965511
576_129623_000119_000004	He at once explained that the black woman's offensive conduct was all due to imperfect training, as he was not there to take her in hand.	He at once explained that the black woman's offensive conduct was all due to imperfect training, as he was not there to take her in hand.	false	2206.74	2214.76	23.665432
576_129623_000119_000005	He had only come up from the island the morning before, and expected to return next day.	He had only come up from the island the morning before, and expected to return next day.	true	2214.77	2219.44	18
576_129623_000119_000006	He stayed all winter at the island; he lived there, and kept the place in order and got things ready for the summer visitors.	He stayed all winter at the island; he lived there, and kept the place in order and got things ready for the summer visitors.	false	2219.69	2225.92	20
576_129623_000120_000000	But a man needed occasional relaxation, he informed Mrs. Pontellier, and every now and again he drummed up a pretext to bring him to the city. My! but he had had a time of it the evening before!	But a man needed occasional relaxation, he informed mrs Pontellier, and every now and again he drummed up a pretext to bring him to the city. My! but he had had a time of it the evening before!	false	2226.41	2239.09	21.13226
576_129623_000120_000001	He wouldn't want his mother to know, and he began to talk in a whisper.	He wouldn't want his mother to know, and he began to talk in a whisper.	true	2239.52	2243.83	27.692802
576_129623_000120_000002	He was scintillant with recollections.	He was scintillant with recollections.	true	2244.08	2246.62	26.901052
576_129623_000120_000003	Of course, he couldn't think of telling Mrs. Pontellier all about it, she being a woman and not comprehending such things.	Of course, he couldn't think of telling mrs Pontellier all about it, she being a woman and not comprehending such things.	true	2246.66	2253.91	22.49236
576_129623_000120_000004	But it all began with a girl peeping and smiling at him through the shutters as he passed by.	But it all began with a girl peeping and smiling at him through the shutters as he passed by.	true	2254.01	2258.95	18
576_129623_000120_000005	Oh! but she was a beauty!	Oh! but she was a beauty!	true	2259.02	2260.87	21.725777
576_129623_000120_000006	Certainly he smiled back, and went up and talked to her.	Certainly he smiled back, and went up and talked to her.	true	2261.3	2264.56	24
576_129623_000120_000007	Mrs. Pontellier did not know him if she supposed he was one to let an opportunity like that escape him.	mrs Pontellier did not know him if she supposed he was one to let an opportunity like that escape him.	true	2264.66	2270.95	22
576_129623_000120_000008	Despite herself, the youngster amused her.	Despite herself, the youngster amused her.	true	2271.14	2273.59	17.709272
576_129623_000120_000009	She must have betrayed in her look some degree of interest or entertainment.	She must have betrayed in her look some degree of interest or entertainment.	true	2273.66	2277.86	21
576_129623_000120_000010	The boy grew more daring, and Mrs. Pontellier might have found herself, in a little while, listening to a highly colored story but for the timely appearance of Madame Lebrun.	The boy grew more daring, and mrs Pontellier might have found herself, in a little while, listening to a highly colored story but for the timely appearance of Madame Lebrun.	false	2277.86	2288.28	21.081427
576_129623_000121_000000	That lady was still clad in white, according to her custom of the summer.	That lady was still clad in white, according to her custom of the summer.	true	2288.28	2292.49	18
576_129623_000121_000001	Her eyes beamed an effusive welcome.	Her eyes beamed an effusive welcome.	true	2292.71	2295.58	23
576_129623_000121_000002	Would not Mrs. Pontellier go inside?	Would not mrs Pontellier go inside?	true	2296.01	2298.54	18.126078
576_129623_000121_000003	Would she partake of some refreshment?	Would she partake of some refreshment?	false	2298.54	2301.4	19.424717
576_129623_000121_000004	Why had she not been there before?	Why had she not been there before?	true	2301.5	2303.5	19
576_129623_000121_000005	How was that dear Mr. Pontellier and how were those sweet children?	How was that dear mr Pontellier and how were those sweet children?	false	2303.54	2307.57	19
576_129623_000121_000006	Had Mrs. Pontellier ever known such a warm November?	Had mrs Pontellier ever known such a warm November?	false	2307.57	2310.76	22
576_129623_000122_000000	Victor went and reclined on the wicker lounge behind his mother's chair, where he commanded a view of Edna's face.	Victor went and reclined on the wicker lounge behind his mother's chair, where he commanded a view of Edna's face.	false	2310.98	2317.42	17
576_129623_000122_000001	He had taken her parasol from her hands while he spoke to her, and he now lifted it and twirled it above him as he lay on his back.	He had taken her parasol from her hands while he spoke to her, and he now lifted it and twirled it above him as he lay on his back.	false	2317.61	2325.49	18
576_129623_000122_000002	When Madame Lebrun complained that it was so dull coming back to the city; that she saw so few people now; that even Victor, when he came up from the island for a day or two, had so much to occupy him and engage his time; then it was that the youth went into contortions on the lounge and winked mischievously at Edna. She somehow felt like a confederate in crime, and tried to look severe and disapproving.	When Madame Lebrun complained that it was so dull coming back to the city; that she saw so few people now; that even Victor, when he came up from the island for a day or two, had so much to occupy him and engage his time; then it was that the youth went into contortions on the lounge and winked mischievously at Edna. She somehow felt like a confederate in crime, and tried to look severe and disapproving.	false	2326.13	2350.27	19
576_129623_000123_000000	There had been but two letters from Robert, with little in them, they told her.	There had been but two letters from Robert, with little in them, they told her.	false	2350.52	2355.9	17
576_129623_000123_000001	Victor said it was really not worth while to go inside for the letters, when his mother entreated him to go in search of them.	Victor said it was really not worth while to go inside for the letters, when his mother entreated him to go in search of them.	false	2355.9	2361.72	13
576_129623_000123_000002	He remembered the contents, which in truth he rattled off very glibly when put to the test.	He remembered the contents, which in truth he rattled off very glibly when put to the test.	false	2361.72	2367.58	20
576_129623_000124_000000	One letter was written from Vera Cruz and the other from the City of Mexico.	One letter was written from Vera Cruz and the other from the City of Mexico.	false	2368.07	2372.68	17
576_129623_000124_000001	He had met Montel, who was doing everything toward his advancement.	He had met Montel, who was doing everything toward his advancement.	false	2373.05	2377.55	17
576_129623_000124_000002	So far, the financial situation was no improvement over the one he had left in New Orleans, but of course the prospects were vastly better.	So far, the financial situation was no improvement over the one he had left in New Orleans, but of course the prospects were vastly better.	false	2377.55	2385.43	15
576_129623_000124_000003	He wrote of the City of Mexico, the buildings, the people and their habits, the conditions of life which he found there.	He wrote of the City of Mexico, the buildings, the people and their habits, the conditions of life which he found there.	false	2385.53	2392.78	19
576_129623_000124_000004	He sent his love to the family.	He sent his love to the family.	true	2392.94	2394.73	18.469997
576_129623_000124_000005	He inclosed a check to his mother, and hoped she would affectionately remember him to all his friends.	He inclosed a check to his mother, and hoped she would affectionately remember him to all his friends.	false	2395.13	2400.51	14
576_129623_000124_000006	That was about the substance of the two letters.	That was about the substance of the two letters.	false	2400.51	2403.19	18
576_129623_000124_000007	Edna felt that if there had been a message for her, she would have received it.	Edna felt that if there had been a message for her, she would have received it.	true	2403.38	2407.39	18
576_129623_000124_000008	The despondent frame of mind in which she had left home began again to overtake her, and she remembered that she wished to find Mademoiselle Reisz.	The despondent frame of mind in which she had left home began again to overtake her, and she remembered that she wished to find Mademoiselle Reisz.	false	2407.55	2415.06	16
576_129623_000125_000000	Madame Lebrun knew where Mademoiselle Reisz lived.	Madame Lebrun knew where Mademoiselle Reisz lived.	false	2415.06	2418.36	17.658358
576_129623_000125_000001	She gave Edna the address, regretting that she would not consent to stay and spend the remainder of the afternoon, and pay a visit to Mademoiselle Reisz some other day.	She gave Edna the address, regretting that she would not consent to stay and spend the remainder of the afternoon, and pay a visit to Mademoiselle Reisz some other day.	false	2418.36	2426.56	14
576_129623_000125_000002	The afternoon was already well advanced.	The afternoon was already well advanced.	true	2426.72	2428.99	19.512089
576_129623_000126_000000	Victor escorted her out upon the banquette, lifted her parasol, and held it over her while he walked to the car with her.	Victor escorted her out upon the banquette, lifted her parasol, and held it over her while he walked to the car with her.	false	2429.48	2437.2	16
576_129623_000126_000001	He entreated her to bear in mind that the disclosures of the afternoon were strictly confidential.	He entreated her to bear in mind that the disclosures of the afternoon were strictly confidential.	false	2437.2	2442.79	17
576_129623_000126_000002	She laughed and bantered him a little, remembering too late that she should have been dignified and reserved.	She laughed and bantered him a little, remembering too late that she should have been dignified and reserved.	true	2442.89	2448.91	19
576_129623_000127_000000	"How handsome Mrs. Pontellier looked!" said Madame Lebrun to her son.	"How handsome mrs Pontellier looked!" said Madame Lebrun to her son.	true	2449.1	2452.9	19.391905
576_129623_000128_000000	"Ravishing!" he admitted.	"Ravishing!" he admitted.	false	2453.21	2454.95	16.612812
576_129623_000128_000001	"The city atmosphere has improved her.	"The city atmosphere has improved her.	false	2454.95	2457.42	24.485512
576_129623_000128_000002	Some way she doesn't seem like the same woman."	Some way she doesn't seem like the same woman."	false	2457.42	2459.7	13
576_129623_000129_000000	XXI	twenty one	false	2459.7	2459.94	-20
576_129623_000130_000000	Some people contended that the reason Mademoiselle Reisz always chose apartments up under the roof was to discourage the approach of beggars, peddlars and callers.	Some people contended that the reason Mademoiselle Reisz always chose apartments up under the roof was to discourage the approach of beggars, peddlars and callers.	false	2459.94	2463.06	17.500513
576_129623_000130_000001	There were plenty of windows in her little front room.	There were plenty of windows in her little front room.	false	2463.06	2463.66	16
576_129623_000130_000002	They were for the most part dingy, but as they were nearly always open it did not make so much difference.	They were for the most part dingy, but as they were nearly always open it did not make so much difference.	false	2463.66	2464.62	17
576_129623_000130_000003	They often admitted into the room a good deal of smoke and soot; but at the same time all the light and air that there was came through them.	They often admitted into the room a good deal of smoke and soot; but at the same time all the light and air that there was came through them.	false	2464.62	2465.94	20.002365
576_129623_000130_000004	From her windows could be seen the crescent of the river, the masts of ships and the big chimneys of the Mississippi steamers.	From her windows could be seen the crescent of the river, the masts of ships and the big chimneys of the Mississippi steamers.	false	2465.94	2466.99	7
576_129623_000130_000005	A magnificent piano crowded the apartment. In the next room she slept, and in the third and last she harbored a gasoline stove on which she cooked her meals when disinclined to descend to the neighboring restaurant.	A magnificent piano crowded the apartment. In the next room she slept, and in the third and last she harbored a gasoline stove on which she cooked her meals when disinclined to descend to the neighboring restaurant.	false	2466.99	2469.27	13
576_129623_000130_000006	It was there also that she ate, keeping her belongings in a rare old buffet, dingy and battered from a hundred years of use.	It was there also that she ate, keeping her belongings in a rare old buffet, dingy and battered from a hundred years of use.	false	2469.27	2474.04	16.221338
