6458_61323_000000_000000	One of the oldest forms of folk stories relates to the wanderings of a hero in distant regions.	One of the oldest forms of folk stories relates to the wanderings of a hero in distant regions.	true	24.27	28.725	16
6458_61323_000062_000001	Prepare thou for him the magic food, and place it near his head."	Prepare thou for him the magic food, and place it near his head."	true	1669.82	1673.17	21.12101
6458_61323_000063_000000	On the day when Gilgamesh lay down, the food was prepared by seven magic processes, and the woman administered it while yet he slept. Then Pir-napishtim touched him, and he awoke full of life.	On the day when Gilgamesh lay down, the food was prepared by seven magic processes, and the woman administered it while yet he slept. Then p i r napishtim touched him, and he awoke full of life.	true	1673.54	1683.49	19.564419
6458_61323_000064_000000	Gilgamesh spake unto Pir-napishtim and said: "I was suddenly overcome by sleep....	Gilgamesh spake unto p i r napishtim and said: "I was suddenly overcome by sleep....	true	1684.16	1688.2	21.75259
6458_61323_000064_000001	But thou didst awaken me by touching me, even thou.... Lo!	But thou didst awaken me by touching me, even thou.... Lo!	false	1688.2	1691.4	20.590078
6458_61323_000064_000002	I am bewitched.	I am bewitched.	true	1691.4	1692.62	19.810087
6458_61323_000064_000003	What hast thou done unto thy servant?"	What hast thou done unto thy servant?"	true	1692.62	1694.53	21.667923
6458_61323_000065_000000	Then Pir-napishtim told Gilgamesh that he had been given to eat of the magic food.	Then p i r napishtim told Gilgamesh that he had been given to eat of the magic food.	false	1695.02	1699.27	19.973383
6458_61323_000065_000001	Afterwards he caused Arad Ea to carry Gilgamesh to a fountain of healing, where his disease-stricken body was cleansed.	Afterwards he caused Arad Ea to carry Gilgamesh to a fountain of healing, where his disease stricken body was cleansed.	false	1699.37	1705.63	20.440456
6458_61323_000065_000002	The blemished skin fell from him, and he was made whole.	The blemished skin fell from him, and he was made whole.	true	1705.63	1708.24	21.437082
6458_61323_000066_000000	Thereafter Gilgamesh prepared to return to his own land.	Thereafter Gilgamesh prepared to return to his own land.	true	1708.34	1711.99	25
6458_61323_000066_000001	Ere he bade farewell, however, Pir-napishtim revealed unto him the secret of a magic plant which had power to renew life and give youth and strength unto those who were old.	Ere he bade farewell, however, p i r napishtim revealed unto him the secret of a magic plant which had power to renew life and give youth and strength unto those who were old.	false	1712.15	1722.57	21.100935
6458_61323_000067_000000	Arad Ea conducted the hero to the island where the plant grew, and when Gilgamesh found it he rejoiced, and said that he would carry it to Erech, his own city, where he would partake of it and restore his youth.	Arad Ea conducted the hero to the island where the plant grew, and when Gilgamesh found it he rejoiced, and said that he would carry it to Erech, his own city, where he would partake of it and restore his youth.	false	1722.57	1732.69	22
6458_61323_000068_000000	So Gilgamesh and Arad Ea went on their way together, nor paused until they came to a well of pure water.	So Gilgamesh and Arad Ea went on their way together, nor paused until they came to a well of pure water.	true	1732.76	1738.36	20
6458_61323_000068_000001	The hero stooped down to draw water.[216] But while he was thus engaged that demon, the Earth Lion, crept forth as a serpent, and, seizing the magic plant of life, carried it away.	The hero stooped down to draw water.[two hundred sixteen] But while he was thus engaged that demon, the Earth Lion, crept forth as a serpent, and, seizing the magic plant of life, carried it away.	false	1738.76	1748.29	20.07284
6458_61323_000068_000002	Stricken with terror, Gilgamesh uttered a curse.	Stricken with terror, Gilgamesh uttered a curse.	true	1748.69	1750.95	20
6458_61323_000068_000003	Then he sat down and wept bitterly, and the tears streamed over his face. To Arad Ea he spake, saying: "Why has my health been restored to me? Why should I rejoice because that I live?	Then he sat down and wept bitterly, and the tears streamed over his face. To Arad Ea he spake, saying: "Why has my health been restored to me? Why should I rejoice because that I live?	false	1750.95	1763.2	20.320213
6458_61323_000068_000004	The benefit which I should have derived for myself has now fallen to the Earth Lion."	The benefit which I should have derived for myself has now fallen to the Earth Lion."	true	1763.45	1767.31	19.967186
6458_61323_000069_000000	The two travellers then resumed their journey, performing religious acts from time to time; chanting dirges and holding feasts for the dead, and at length Gilgamesh returned to Erech.	The two travellers then resumed their journey, performing religious acts from time to time; chanting dirges and holding feasts for the dead, and at length Gilgamesh returned to Erech.	true	1767.74	1776.97	21.697645
6458_61323_000069_000001	He found that the city walls were crumbling, and he spake regarding the ceremonies which had been performed while yet he was in a far-distant country.	He found that the city walls were crumbling, and he spake regarding the ceremonies which had been performed while yet he was in a far distant country.	false	1777.13	1783.66	19.232662
6458_61323_000070_000000	During the days which followed Gilgamesh sorrowed for his lost friend Ea-bani, whose spirit was in the Underworld, the captive of the spirits of death.	During the days which followed Gilgamesh sorrowed for his lost friend Ea bani, whose spirit was in the Underworld, the captive of the spirits of death.	true	1783.88	1791.43	21.562288
6458_61323_000070_000001	"Thou canst not draw thy bow now," he cried, "nor raise the battle shout.	"Thou canst not draw thy bow now," he cried, "nor raise the battle shout.	true	1792.13	1796.1	19.924421
6458_61323_000070_000002	Thou canst not kiss the woman thou hast loved; thou canst not kiss the child thou hast loved, nor canst thou smite those whom thou hast hated."	Thou canst not kiss the woman thou hast loved; thou canst not kiss the child thou hast loved, nor canst thou smite those whom thou hast hated."	false	1796.1	1804.15	23.367218
6458_61323_000071_000000	In vain Gilgamesh appealed to his mother goddess to restore Ea-bani to him.	In vain Gilgamesh appealed to his mother goddess to restore Ea bani to him.	false	1804.46	1808.64	16
6458_61323_000071_000001	Then he turned to the gods, and Ea heard him.	Then he turned to the gods, and Ea heard him.	false	1808.64	1811.26	19.274824
6458_61323_000071_000002	Thereafter Nergal, god of death, caused the grave to yawn, and the spirit of Ea-bani arose like a wind gust.	Thereafter Nergal, god of death, caused the grave to yawn, and the spirit of Ea bani arose like a wind gust.	false	1811.51	1818.46	21.257015
6458_61323_000072_000000	Gilgamesh, still dreading death, spoke to the ghost of his friend, saying: "Tell me, my friend, O tell me regarding the land in which thou dost dwell."	Gilgamesh, still dreading death, spoke to the ghost of his friend, saying: "Tell me, my friend, O tell me regarding the land in which thou dost dwell."	false	1818.89	1827.06	22.08948
6458_61323_000073_000000	Ea-bani made answer sorrowfully: "Alas!	Ea bani made answer sorrowfully: "Alas!	false	1827.06	1830.16	22.158823
6458_61323_000073_000001	I cannot tell thee, my friend. If I were to tell thee all, thou wouldst sit down and weep."	I cannot tell thee, my friend. If I were to tell thee all, thou wouldst sit down and weep."	true	1830.16	1835.29	19.484987
6458_61323_000074_000000	Said Gilgamesh: "Let me sit down and weep, but tell me regarding the land of spirits."	Said Gilgamesh: "Let me sit down and weep, but tell me regarding the land of spirits."	true	1835.42	1839.91	20.064
6458_61323_000075_000000	The text is mutilated here, but it can be gathered that Ea-bani described the land where ill-doers were punished, where the young were like the old, where the worm devoured, and dust covered all.	The text is mutilated here, but it can be gathered that Ea bani described the land where ill doers were punished, where the young were like the old, where the worm devoured, and dust covered all.	false	1840.34	1850.11	19
6458_61323_000075_000001	But the state of the warrior who had been given burial was better than that of the man who had not been buried, and had no one to lament or care for him.	But the state of the warrior who had been given burial was better than that of the man who had not been buried, and had no one to lament or care for him.	true	1850.66	1858.33	17.648642
6458_61323_000075_000002	"He who hath been slain in battle," the ghost said, "reposeth on a couch drinking pure water--one slain in battle as thou hast seen and I have seen.	"He who hath been slain in battle," the ghost said, "reposeth on a couch drinking pure water-one slain in battle as thou hast seen and I have seen.	false	1858.58	1866.97	21.762955
6458_61323_000075_000003	His head is supported by his parents: beside him sits his wife.	His head is supported by his parents: beside him sits his wife.	true	1867.49	1871.27	21.448345
6458_61323_000075_000004	His spirit doth not haunt the earth.	His spirit doth not haunt the earth.	true	1871.27	1873.34	19.583572
6458_61323_000075_000005	But the spirit of that man whose corpse has been left unburied and uncared for, rests not, but prowls through the streets eating scraps of food, the leavings of the feast, and drinking the dregs of vessels."	But the spirit of that man whose corpse has been left unburied and uncared for, rests not, but prowls through the streets eating scraps of food, the leavings of the feast, and drinking the dregs of vessels."	false	1873.34	1884.28	20
6458_61323_000076_000000	So ends the story of Gilgamesh in the form which survives to us.	So ends the story of Gilgamesh in the form which survives to us.	true	1885.04	1888.48	20.17894
6458_61323_000077_000000	The journey of Gilgamesh to the Island of the Blessed recalls the journeys made by Odin, Hermod, Svipdag, Hotherus and others to the Germanic Hela.	The journey of Gilgamesh to the Island of the Blessed recalls the journeys made by Odin, Hermod, Svipdag, Hotherus and others to the Germanic Hela.	false	1889	1897.12	19.740746
6458_61323_000077_000001	When Hermod went to search for Balder, as the Prose Edda relates, he rode through thick darkness for nine days and nine nights ere he crossed the mountains.	When Hermod went to search for Balder, as the Prose Edda relates, he rode through thick darkness for nine days and nine nights ere he crossed the mountains.	false	1897.37	1905.01	21
6458_61323_000077_000002	As Gilgamesh met Sabitu, Hermod met Modgudur, "the maiden who kept the bridge" over the river Gjoll. Svipdag, according to a Norse poem, was guided like the Babylonian hero by the moon god, Gevar, who instructed him what way he should take to find the irresistible sword.	As Gilgamesh met Sabitu, Hermod met Modgudur, "the maiden who kept the bridge" over the river Gjoll. Svipdag, according to a Norse poem, was guided like the Babylonian hero by the moon god, Gevar, who instructed him what way he should take to find the irresistible sword.	false	1905.26	1920.16	22.622456
6458_61323_000077_000003	Saxo's Hother, who is instructed by "King Gewar", crosses dismal mountains "beset with extraordinary cold".[217] Thorkill crosses a stormy ocean to the region of perpetual darkness, where the ghosts of the dead are confined in loathsome and dusty caves.	Saxo's Hother, who is instructed by "King Gewar", crosses dismal mountains "beset with extraordinary cold".[two hundred seventeen] Thorkill crosses a stormy ocean to the region of perpetual darkness, where the ghosts of the dead are confined in loathsome and dusty caves.	false	1920.38	1934.05	21.64345
6458_61323_000077_000004	At the main entrance "the door posts were begrimed with the soot of ages".[218] In the _Elder Edda_ Svipdag is charmed against the perils he will be confronted by as he fares "o'er seas mightier than men do know", or is overtaken by night "wandering on the misty way ".[219] When Odin "downward rode into Misty Hel" he sang spells at a "witch's grave", and the ghost rose up to answer his questions regarding Balder.	At the main entrance "the door posts were begrimed with the soot of ages".[two hundred eighteen] In the underscore Elder Edda underscore Svipdag is charmed against the perils he will be confronted by as he fares "o'er seas mightier than men do know", or is overtaken by night "wandering on the misty way ".[two hundred nineteen] When Odin "downward rode into Misty Hel" he sang spells at a "witch's grave", and the ghost rose up to answer his questions regarding Balder.	false	1934.48	1959.76	21.97527
6458_61323_000077_000005	"Tell me tidings of Hel", he addressed her, as Gilgamesh addressed the ghost of Ea-bani.	"Tell me tidings of Hel", he addressed her, as Gilgamesh addressed the ghost of Ea bani.	false	1960.1	1964.5	19
6458_61323_000078_000000	In the mythical histories of Alexander the Great, the hero searches for the Water of Life, and is confronted by a great mountain called Musas (Mashti).	In the mythical histories of Alexander the Great, the hero searches for the Water of Life, and is confronted by a great mountain called Musas (Mashti).	false	1965.05	1972.66	19
6458_61323_000078_000001	A demon stops him and says; "O king, thou art not able to march through this mountain, for in it dwelleth a mighty god who is like unto a monster serpent, and he preventeth everyone who would go unto him."	A demon stops him and says; "O king, thou art not able to march through this mountain, for in it dwelleth a mighty god who is like unto a monster serpent, and he preventeth everyone who would go unto him."	false	1973.09	1984	21.488113
6458_61323_000078_000002	In another part of the narrative Alexander and his army arrive at a place of darkness "where the blackness is not like the darkness of night, but is like unto the mists and clouds which descend at the break of day".	In another part of the narrative Alexander and his army arrive at a place of darkness "where the blackness is not like the darkness of night, but is like unto the mists and clouds which descend at the break of day".	true	1984.25	1995.4	20
6458_61323_000078_000003	A servant uses a shining jewel stone, which Adam had brought from Paradise, to guide him, and found the well.	A servant uses a shining jewel stone, which Adam had brought from Paradise, to guide him, and found the well.	true	1995.86	2001.61	19.819025
6458_61323_000078_000004	He drank of the "waters of life" and bathed in them, with the result that he was strengthened and felt neither hunger nor thirst.	He drank of the "waters of life" and bathed in them, with the result that he was strengthened and felt neither hunger nor thirst.	true	2001.98	2007.46	18
6458_61323_000078_000005	When he came out of the well "all the flesh of his body became bluish-green and his garments likewise bluish-green".	When he came out of the well "all the flesh of his body became bluish green and his garments likewise bluish green".	false	2007.8	2014.63	21.991272
6458_61323_000078_000006	Apparently he assumed the colour of supernatural beings.	Apparently he assumed the colour of supernatural beings.	true	2014.91	2018.05	22.175724
6458_61323_000078_000007	Rama of India was blue, and certain of his monkey allies were green, like the fairies of England and Scotland.	Rama of India was blue, and certain of his monkey allies were green, like the fairies of England and Scotland.	true	2018.15	2023.09	16
6458_61323_000078_000008	This fortunate man kept his secret.	This fortunate man kept his secret.	true	2023.4	2025.42	26.833923
6458_61323_000078_000009	His name was Matun, but he was afterwards nicknamed "'El-Khidr', that is to say, 'Green'".	His name was Matun, but he was afterwards nicknamed "'El k h i d r', that is to say, 'Green'".	false	2025.42	2030.65	22.727425
6458_61323_000078_000010	What explanation he offered for his sudden change of appearance has not been recorded.[220] It is related that when Matun reached the Well of Life a dried fish which he dipped in the water was restored to life and swam away.	What explanation he offered for his sudden change of appearance has not been recorded.[two hundred twenty] It is related that when Matun reached the Well of Life a dried fish which he dipped in the water was restored to life and swam away.	false	2030.84	2041.12	20.255033
6458_61323_000078_000011	In the _Koran_ a similar story is told regarding Moses and Joshua, who travelled "for a long space of time" to a place where two seas met.	In the underscore Koran underscore a similar story is told regarding Moses and joshua, who travelled "for a long space of time" to a place where two seas met.	false	2041.61	2049.66	20.738708
6458_61323_000078_000012	"They forgot their fish which they had taken with them, and the fish took its way freely to the sea." The Arabian commentators explain that Moses once agreed to the suggestion that he was the wisest of men.	"They forgot their fish which they had taken with them, and the fish took its way freely to the sea." The Arabian commentators explain that Moses once agreed to the suggestion that he was the wisest of men.	false	2049.66	2060.32	21.493313
6458_61323_000078_000013	In a dream he was directed to visit Al Khedr, who was "more knowing than he", and to take a fish with him in a basket.	In a dream he was directed to visit Al k h e d r, who was "more knowing than he", and to take a fish with him in a basket.	false	2060.54	2066.74	21.747515
6458_61323_000078_000014	On the seashore Moses fell asleep, and the fish, which had been roasted, leapt out of the basket into the sea.	On the seashore Moses fell asleep, and the fish, which had been roasted, leapt out of the basket into the sea.	true	2066.9	2072.14	20.257801
6458_61323_000078_000015	Another version sets forth that Joshua, "making the ablution at the fountain of life", some of the water happened to be sprinkled on the fish, which immediately leapt up.[221]	Another version sets forth that joshua, "making the ablution at the fountain of life", some of the water happened to be sprinkled on the fish, which immediately leapt up.[two hundred twenty one]	false	2072.51	2082	21.684
6458_61323_000079_000000	The Well of Life is found in Fingalian legends.	The Well of Life is found in Fingalian legends.	true	2082	2084.53	22
6458_61323_000079_000001	When Diarmid was mortally wounded by the boar, he called upon Finn to carry water to him from the well:	When Diarmid was mortally wounded by the boar, he called upon Finn to carry water to him from the well:	false	2084.84	2089.78	19
6458_61323_000080_000000	Give me a draught from thy palms, O Finn, Son of my king for my succour, For my life and my dwelling.	Give me a draught from thy palms, O Finn, Son of my king for my succour, For my life and my dwelling.	true	2090.3	2096.55	22.24655
6458_61323_000081_000000	_Campbell's West Highland Tales_, vol. iii, 80.	underscore Campbell's West Highland Tales underscore, vol iii, eighty.	false	2096.55	2100.19	21.242151
6458_61323_000082_000000	The quest of the plant, flower, or fruit of life is referred to in many folk tales.	The quest of the plant, flower, or fruit of life is referred to in many folk tales.	true	2100.89	2105.14	25.52698
6458_61323_000082_000001	In the _Mahabharata_, Bhima, the Indian Gilgamesh or Hercules, journeys to north-eastern Celestial regions to find the lake of the god Kuvera (Kubera), on which grow the "most beautiful and unearthly lotuses", which restore health and give strength to the weary.	In the underscore Mahabharata underscore, Bhima, the Indian Gilgamesh or Hercules, journeys to north-eastern Celestial regions to find the lake of the god Kuvera (Kubera), on which grow the "most beautiful and unearthly lotuses", which restore health and give strength to the weary.	false	2105.63	2120.14	22.86313
6458_61323_000082_000002	As Gilgamesh meets with Pir-napishtim, who relates the story of the Deluge which destroyed the "elder race", Bhima meets with Hanuman, who informs him regarding the Ages of the Universe and the races which were periodically destroyed by deluges.	As Gilgamesh meets with p i r napishtim, who relates the story of the Deluge which destroyed the "elder race", Bhima meets with Hanuman, who informs him regarding the Ages of the Universe and the races which were periodically destroyed by deluges.	false	2120.33	2132.71	16
6458_61323_000082_000003	When Bhima reaches the lotus lake he fights with demons.	When Bhima reaches the lotus lake he fights with demons.	true	2133.05	2135.86	21
6458_61323_000082_000004	To heal his wounds and recover strength he plunges into the lake.	To heal his wounds and recover strength he plunges into the lake.	false	2136.05	2140.2	23.983263
6458_61323_000082_000005	"As he drank of the waters, like unto nectar, his energy and strength were again fully restored."[222]	"As he drank of the waters, like unto nectar, his energy and strength were again fully restored."[two hundred twenty two]	false	2140.2	2145.72	20.536661
6458_61323_000083_000000	Hercules similarly sets out to search for the golden apples which grow in	Hercules similarly sets out to search for the golden apples which grow in	true	2145.72	2149.57	19
6458_61323_000084_000000	those Hesperian gardens famed of old, Fortunate fields, and groves and flowery vales.	those Hesperian gardens famed of old, Fortunate fields, and groves and flowery vales.	true	2150.33	2155.96	19.613863
6458_61323_000085_000000	As Bhima slew Yakshas which guarded the lotuses, Hercules slew Ladon, the guardian of the apples.	As Bhima slew Yakshas which guarded the lotuses, Hercules slew Ladon, the guardian of the apples.	false	2156.3	2161.81	20.017008
6458_61323_000085_000001	Other heroes kill treasure-protecting dragons of various kinds.	Other heroes kill treasure protecting dragons of various kinds.	true	2162.03	2165.38	23.062254
6458_61323_000086_000000	There is a remarkable resemblance between the Babylonian account of Gilgamesh's journey through the mountain tunnel to the garden and seashore, and the Indian story of the demigod Hanuman passing through the long cavern to the shoreland palace of the female ascetic, when he was engaged searching for Sita, the wife of Rama, who had been carried away by Ravana, the demon king of Ceylon.	There is a remarkable resemblance between the Babylonian account of Gilgamesh's journey through the mountain tunnel to the garden and seashore, and the Indian story of the demigod Hanuman passing through the long cavern to the shoreland palace of the female ascetic, when he was engaged searching for Sita, the wife of Rama, who had been carried away by Ravana, the demon king of Ceylon.	true	2165.9	2183.95	18
6458_61323_000086_000001	In the version of the latter narrative which is given in the _Mahabharata_, Hanuman says: "I bring thee good news, O Rama; for Janaka's daughter hath been seen by me. Having searched the southern region with all its hills, forests, and mines for some time, we became very weary.	In the version of the latter narrative which is given in the underscore Mahabharata underscore, Hanuman says: "I bring thee good news, O Rama; for Janaka's daughter hath been seen by me. Having searched the southern region with all its hills, forests, and mines for some time, we became very weary.	false	2184.38	2199.85	19.383562
6458_61323_000086_000002	At length we beheld a great cavern.	At length we beheld a great cavern.	true	2200.07	2202.13	23.267277
6458_61323_000086_000003	And having beheld it, we entered that cavern which extended over many _yojanas_.	And having beheld it, we entered that cavern which extended over many underscore yojanas underscore.	false	2202.14	2206.98	17.989105
6458_61323_000086_000004	It was dark and deep, and overgrown with trees and infested by worms.	It was dark and deep, and overgrown with trees and infested by worms.	true	2206.98	2210.53	19
6458_61323_000086_000005	And having gone a great way through it, we came upon sunshine and beheld a beautiful palace.	And having gone a great way through it, we came upon sunshine and beheld a beautiful palace.	true	2210.54	2214.76	15
6458_61323_000086_000006	It was the abode of the Daitya (sea demon) Maya.	It was the abode of the Daitya (sea demon) Maya.	false	2214.92	2217.82	20.085285
6458_61323_000086_000007	And there we beheld a female ascetic named Parbhavati engaged in ascetic austerities.	And there we beheld a female ascetic named Parbhavati engaged in ascetic austerities.	true	2217.82	2222.68	19
6458_61323_000086_000008	And she gave us food and drink of various kinds.	And she gave us food and drink of various kinds.	true	2222.96	2225.74	20.331043
6458_61323_000086_000009	And having refreshed ourselves therewith and regained our strength, we proceeded along the way shown by her.	And having refreshed ourselves therewith and regained our strength, we proceeded along the way shown by her.	true	2225.84	2230.69	18
6458_61323_000086_000010	At last we came out of the cavern and beheld the briny sea, and on its shores, the _Sahya_, the _Malaya_, and the great _Dardura_ mountains. And ascending the mountains of _Malaya_, we beheld before us the vast ocean (or, "the abode of Varuna").	At last we came out of the cavern and beheld the briny sea, and on its shores, the underscore Sahya underscore, the underscore Malaya underscore, and the great underscore Dardura underscore mountains. And ascending the mountains of underscore Malaya underscore, we beheld before us the vast ocean (or, "the abode of Varuna").	false	2230.82	2243.46	20.013958
6458_61323_000086_000011	And beholding it, we felt sorely grieved in mind....	And beholding it, we felt sorely grieved in mind....	true	2243.46	2246.2	19
6458_61323_000086_000012	We despaired of returning with our lives....	We despaired of returning with our lives....	true	2246.2	2248.17	21.688292
6458_61323_000086_000013	We then sat together, resolved to die there of starvation."	We then sat together, resolved to die there of starvation."	false	2248.17	2251.03	20.621874
6458_61323_000087_000000	Hanuman and his friends, having had, so far, experiences similar to those of Gilgamesh, next discovered the eagle giant which had burned its wings when endeavouring to soar to the sun.	Hanuman and his friends, having had, so far, experiences similar to those of Gilgamesh, next discovered the eagle giant which had burned its wings when endeavouring to soar to the sun	true	2251.28	2260.18	18
6458_61323_000087_000001	This great bird, which resembles the Etana eagle, expressed the opinion that Sita was in Lanka (Ceylon), whither she must have been carried by Ravana.	This great bird, which resembles the Etana eagle, expressed the opinion that Sita was in Lanka (Ceylon), whither she must have been carried by Ravana.	true	2260.52	2268.94	20.03435
6458_61323_000087_000002	But no one dared to cross the dangerous ocean.	But no one dared to cross the dangerous ocean.	true	2269.13	2271.7	18.087063
6458_61323_000087_000003	Hanuman at length, however, obtained the assistance of Vayu, the wind god, his divine father, and leapt over the sea, slaying monsters as he went.	Hanuman at length, however, obtained the assistance of Vayu, the wind god, his divine father, and leapt over the sea, slaying monsters as he went.	false	2272.04	2279.95	21.500586
6458_61323_000087_000004	He discovered where the fair lady was concealed by the king of demons.[223]	He discovered where the fair lady was concealed by the king of demons.[two hundred twenty three]	false	2280.26	2283.81	19.611038
6458_61323_000088_000000	The dark tunnel is met with in many British stories of daring heroes who set out to explore it, but never return.	The dark tunnel is met with in many British stories of daring heroes who set out to explore it, but never return.	true	2283.81	2288.83	17
6458_61323_000088_000001	In the Scottish versions the adventurers are invariably pipers who are accompanied by dogs.	In the Scottish versions the adventurers are invariably pipers who are accompanied by dogs.	true	2289.11	2293.69	19.80507
6458_61323_000088_000002	The sound of the pipes is heard for a time; then the music ceases suddenly, and shortly afterwards the dog returns without a hair upon its body.	The sound of the pipes is heard for a time; then the music ceases suddenly, and shortly afterwards the dog returns without a hair upon its body.	true	2293.97	2300.41	21
6458_61323_000088_000003	It has evidently been in conflict with demons.	It has evidently been in conflict with demons.	true	2300.9	2303.14	18.18055
6458_61323_000089_000000	The tunnel may run from a castle to the seashore, from a cave on one side of a hill to a cave on the other, or from a seashore cave to a distant island.	The tunnel may run from a castle to the seashore, from a cave on one side of a hill to a cave on the other, or from a seashore cave to a distant island.	true	2303.81	2311.06	22
6458_61323_000090_000000	It is possible that these widespread tunnel stories had origin among the cave dwellers of the Palaeolithic Age, who believed that deep caverns were the doors of the underground retreats of dragons and giants and other supernatural enemies of mankind.	It is possible that these widespread tunnel stories had origin among the cave dwellers of the Palaeolithic Age, who believed that deep caverns were the doors of the underground retreats of dragons and giants and other supernatural enemies of mankind.	true	2311.49	2323.48	17
6458_61323_000091_000000	In Babylonia, as elsewhere, the priests utilized the floating material from which all mythologies were framed, and impressed upon it the stamp of their doctrines.	In Babylonia, as elsewhere, the priests utilized the floating material from which all mythologies were framed, and impressed upon it the stamp of their doctrines.	true	2324	2331.37	22.22571
6458_61323_000091_000001	The symbolized stories were afterwards distributed far and wide, as were those attached to the memory of Alexander the Great at a later period.	The symbolized stories were afterwards distributed far and wide, as were those attached to the memory of Alexander the Great at a later period.	true	2331.83	2338.51	19
6458_61323_000091_000002	Thus in many countries may be found at the present day different versions of immemorial folk tales, which represent various stages of culture, and direct and indirect contact at different periods with civilizations that have stirred the ocean of human thought, and sent their ideas rippling in widening circles to far-distant shores.	Thus in many countries may be found at the present day different versions of immemorial folk tales, which represent various stages of culture, and direct and indirect contact at different periods with civilizations that have stirred the ocean of human thought, and sent their ideas rippling in widening circles to far distant shores.	false	2338.73	2365.41	20.949957
