4629_19366_000000_000000	LECTURE VIII	LECTURE eight	false	0.96	20.59	20.924397
4629_19366_000068_000006	These things are to be mentioned to the credit of the time and the country; for after we have seen the calamitous spectacle of the way Tycho and Kepler and Galileo were treated by their ungrateful and unworthy countries, it is pleasant to reflect that England, with all its mistakes, yet recognized _her_ great man when she received him, and honoured him with the best she knew how to give.	These things are to be mentioned to the credit of the time and the country; for after we have seen the calamitous spectacle of the way Tycho and Kepler and Galileo were treated by their ungrateful and unworthy countries, it is pleasant to reflect that England, with all its mistakes, yet recognized underscore her underscore great man when she received him, and honoured him with the best she knew how to give.	false	2071.55	2094.18	20.982822
4629_19366_000069_000000	[Illustration: FIG.	[Illustration: FIG.	false	2094.18	2094.57	-20
4629_19366_000069_000001	69.--Sir Isaac Newton.]	sixty nine.--Sir Isaac Newton.]	false	2094.57	2095.55	-20
4629_19366_000070_000000	Concerning his character, one need only say that it was what one would expect and wish.	Concerning his character, one need only say that it was what one would expect and wish.	false	2095.55	2100.96	23.903713
4629_19366_000070_000001	It was characterized by a modest, calm, dignified simplicity.	It was characterized by a modest, calm, dignified simplicity.	true	2100.96	2104.36	16
4629_19366_000070_000002	He lived frugally with his niece and her husband, Mr. Conduit, who succeeded him as Master of the Mint.	He lived frugally with his niece and her husband, mr Conduit, who succeeded him as Master of the Mint.	true	2104.67	2110.51	21.731035
4629_19366_000070_000003	He never married, nor apparently did he ever think of so doing.	He never married, nor apparently did he ever think of so doing.	false	2110.67	2114.04	17
4629_19366_000070_000004	The idea, perhaps, did not naturally occur to him, any more than the idea of publishing his work did.	The idea, perhaps, did not naturally occur to him, any more than the idea of publishing his work did.	true	2114.04	2118.55	14
4629_19366_000071_000000	He was always a deeply religious man and a sincere Christian, though somewhat of the Arian or Unitarian persuasion--so, at least, it is asserted by orthodox divines who understand these matters.	He was always a deeply religious man and a sincere Christian, though somewhat of the Arian or Unitarian persuasion-so, at least, it is asserted by orthodox divines who understand these matters.	true	2118.86	2130.22	18.33178
4629_19366_000071_000001	He studied theology more or less all his life, and towards the end was greatly interested in questions of Biblical criticism and chronology.	He studied theology more or less all his life, and towards the end was greatly interested in questions of Biblical criticism and chronology.	true	2130.68	2138.53	19
4629_19366_000071_000002	By some ancient eclipse or other he altered the recognized system of dates a few hundred years; and his book on the prophecies of Daniel and the Revelation of St. John, wherein he identifies the beast with the Church of Rome in quite the orthodox way, is still by some admired.	By some ancient eclipse or other he altered the recognized system of dates a few hundred years; and his book on the prophecies of Daniel and the revelation of saint John, wherein he identifies the beast with the Church of Rome in quite the orthodox way, is still by some admired.	true	2138.99	2154.99	18
4629_19366_000072_000000	But in all these matters it is probable that he was a merely ordinary man, with natural acumen and ability doubtless, but nothing in the least superhuman.	But in all these matters it is probable that he was a merely ordinary man, with natural acumen and ability doubtless, but nothing in the least superhuman.	true	2154.99	2163.73	13
4629_19366_000072_000001	In science, the impression he makes upon me is only expressible by the words inspired, superhuman.	In science, the impression he makes upon me is only expressible by the words inspired, superhuman.	false	2163.92	2170.09	21
4629_19366_000073_000000	And yet if one realizes his method of work, and the calm, uninterrupted flow of all his earlier life, perhaps his achievements become more intelligible.	And yet if one realizes his method of work, and the calm, uninterrupted flow of all his earlier life, perhaps his achievements become more intelligible.	true	2170.19	2178.88	19.985512
4629_19366_000073_000001	When asked how he made his discoveries, he replied: "By always thinking unto them.	When asked how he made his discoveries, he replied: "By always thinking unto them.	false	2179.34	2184.22	22.605913
4629_19366_000073_000002	I keep the subject constantly before me, and wait till the first dawnings open slowly by little and little into a full and clear light." That is the way--quiet, steady, continuous thinking, uninterrupted and unharassed brooding.	I keep the subject constantly before me, and wait till the first dawnings open slowly by little and little into a full and clear light." That is the way-quiet, steady, continuous thinking, uninterrupted and unharassed brooding.	false	2184.22	2198.47	21
4629_19366_000073_000003	Much may be done under those conditions.	Much may be done under those conditions.	true	2199.08	2201.51	18
4629_19366_000073_000004	Much ought to be sacrificed to obtain those conditions.	Much ought to be sacrificed to obtain those conditions.	true	2201.51	2204.44	21
4629_19366_000073_000005	All the best thinking work of the world has been thus done.[18] Buffon said: "Genius is patience." So says Newton: "If I have done the public any service this way, it is due to nothing but industry and patient thought." Genius patience?	All the best thinking work of the world has been thus done.[eighteen] Buffon said: "Genius is patience." So says Newton: "If I have done the public any service this way, it is due to nothing but industry and patient thought." Genius patience?	false	2204.69	2222.74	21.622355
4629_19366_000073_000006	No, it is not quite that, or, rather, it is much more than that; but genius without patience is like fire without fuel--it will soon burn itself out.	No, it is not quite that, or, rather, it is much more than that; but genius without patience is like fire without fuel-it will soon burn itself out.	false	2222.96	2242.92	18.565157
