5883_59268_000000_000000	THE SHOOTING-MATCH	THE SHOOTING MATCH	false	8.595	19.21	22.450588
5883_59268_000134_000000	"Why, good Lord a'mighty!" said Billy, with a look that baffles all description, "an't you _driv_ the cross?"	"Why, good Lord a'mighty!" said Billy, with a look that baffles all description, "an't you underscore d r i v underscore the cross?"	false	1858.46	1865.35	20.755032
5883_59268_000135_000000	"Oh, driv the cross!" rejoined I, carelessly.	"Oh, d r i v the cross!" rejoined I, carelessly.	false	1865.45	1868.62	20
5883_59268_000135_000001	"What's that!	"What's that!	true	1868.87	1869.91	25.65331
5883_59268_000135_000002	Just look where my ball is!	Just look where my ball is!	true	1869.91	1871.47	16
5883_59268_000135_000003	I do believe in my soul its center is a full quarter of an inch from the cross.	I do believe in my soul its center is a full quarter of an inch from the cross.	true	1871.51	1875.61	16
5883_59268_000135_000004	I wanted to lay the center of the bullet upon the cross, just as if you'd put it there with your fingers."	I wanted to lay the center of the bullet upon the cross, just as if you'd put it there with your fingers."	false	1875.8	1880.56	16
5883_59268_000136_000000	Several received this palaver with a contemptuous but very appropriate curl of the nose; and Mealy Whitecotton offered to bet a half pint "that I couldn't do the like again with no sort o' wabbles, he didn't care what." But I had already fortified myself on this quarter of my morality.	Several received this palaver with a contemptuous but very appropriate curl of the nose; and Mealy Whitecotton offered to bet a half pint "that I couldn't do the like again with no sort o' wabbles, he didn't care what." But I had already fortified myself on this quarter of my morality.	true	1880.9	1896.76	21.095495
5883_59268_000136_000001	A decided majority, however, were clearly of opinion that I was serious; and they regarded me as one of the wonders of the world. Billy increased the majority by now coming out fully with my history, as he had received it from his father; to which I listened with quite as much astonishment as any other one of his hearers.	A decided majority, however, were clearly of opinion that I was serious; and they regarded me as one of the wonders of the world. Billy increased the majority by now coming out fully with my history, as he had received it from his father; to which I listened with quite as much astonishment as any other one of his hearers.	true	1897.01	1914.1	16
5883_59268_000136_000002	He begged me to go home with him for the night, or, as he expressed it, "to go home with him and swap lies that night, and it shouldn't cost me a cent;" the true reading of which is, that if I would go home with him, and give him the pleasure of an evening's chat about old times, his house should be as free to me as my own.	He begged me to go home with him for the night, or, as he expressed it, "to go home with him and swap lies that night, and it shouldn't cost me a cent;" the true reading of which is, that if I would go home with him, and give him the pleasure of an evening's chat about old times, his house should be as free to me as my own.	false	1914.35	1930.57	20
5883_59268_000136_000003	But I could not accept his hospitality without retracing five or six miles of the road which I had already passed, and therefore I declined it.	But I could not accept his hospitality without retracing five or six miles of the road which I had already passed, and therefore I declined it.	true	1930.73	1938.31	24
5883_59268_000137_000000	"Well, if you won't go, what must I tell the old woman for you, for she'll be mighty glad to hear from the boy that won the silk handkerchief for her, and I expect she'll lick me for not bringing you home with me."	"Well, if you won't go, what must I tell the old woman for you, for she'll be mighty glad to hear from the boy that won the silk handkerchief for her, and I expect she'll lick me for not bringing you home with me."	false	1938.59	1950.97	19.65543
5883_59268_000138_000000	"Tell her," said I, "that I send her a quarter of beef which I won, as I did the handkerchief, by nothing in the world but mere good luck."	"Tell her," said I, "that I send her a quarter of beef which I won, as I did the handkerchief, by nothing in the world but mere good luck."	true	1951.49	1959.57	23.19675
5883_59268_000139_000000	"Hold your jaw, Lyman!" said Billy; "I an't a gwine to tell the old woman any such lies; for she's a reg'lar built Meth'dist."	"Hold your jaw, Lyman!" said Billy; "I an't a gwine to tell the old woman any such lies; for she's a reg'lar built Meth'dist."	false	1959.57	1968.85	19.656242
5883_59268_000140_000000	As I turned to depart, "Stop a minute, stranger!" said one: then lowering his voice to a confidential but distinctly audible tone, "What you offering for?" continued he.	As I turned to depart, "Stop a minute, stranger!" said one: then lowering his voice to a confidential but distinctly audible tone, "What you offering for?" continued he.	false	1969.04	1978.48	22
5883_59268_000140_000001	I assured him I was not a candidate for anything; that I had accidentally fallen in with Billy Curlew, who begged me to come with him to the shooting-match, and, as it lay right on my road, I had stopped.	I assured him I was not a candidate for anything; that I had accidentally fallen in with Billy Curlew, who begged me to come with him to the shooting match, and, as it lay right on my road, I had stopped.	true	1978.94	1988.4	19.140461
5883_59268_000140_000002	"Oh," said he, with a conciliatory nod, "if you're up for anything, you needn't be mealy-mouthed about it 'fore us boys; for we'll all go in for you here up to the handle."	"Oh," said he, with a conciliatory nod, "if you're up for anything, you needn't be mealy mouthed about it 'fore us boys; for we'll all go in for you here up to the handle."	false	1988.4	1998.07	21.892527
5883_59268_000141_000000	"Yes," said Billy, "dang old Roper if we don't go our death for you, no matter who offers.	"Yes," said Billy, "dang old Roper if we don't go our death for you, no matter who offers.	true	1998.71	2004.37	20
5883_59268_000141_000001	If ever you come out for anything, Lyman, jist let the boys of Upper Hogthief know it, and they'll go for you to the hilt, against creation, tit or no tit, that's the _tatur_."	If ever you come out for anything, Lyman, jist let the boys of Upper Hogthief know it, and they'll go for you to the hilt, against creation, tit or no tit, that's the underscore tatur underscore."	false	2004.62	2046.18	22.147432
