6458_232057_000000_000000	I--THE CURE FOR LOVE	I-THE CURE FOR LOVE	false	21.69	24.16	21.87817
6458_232057_000104_000001	She spoke in a clear, audible voice. "Some half-witted creature.	She spoke in a clear, audible voice. "Some half witted creature.	true	1723.46	1727.2	20.144861
6458_232057_000104_000002	I have never set eyes on him before."	I have never set eyes on him before."	true	1727.36	1729.36	17.260086
6458_232057_000105_000000	"Never?"	"Never?"	true	1729.67	1730.5	16.97492
6458_232057_000106_000000	"Never, dear.	"Never, dear.	true	1731.05	1732.18	22.466326
6458_232057_000106_000001	Do not trouble your mind about a thing like this."	Do not trouble your mind about a thing like this."	true	1732.22	1734.61	22.899563
6458_232057_000107_000000	And soon after this the celebrated hypnotist who dressed in green and yellow had another client.	And soon after this the celebrated hypnotist who dressed in green and yellow had another client.	true	1735.25	1739.71	21
6458_232057_000107_000001	The young man paced his consulting-room, pale and disordered.	The young man paced his consulting room, pale and disordered.	true	1739.87	1742.98	23.067806
6458_232057_000107_000002	"I want to forget," he cried.	"I want to forget," he cried.	true	1743.26	1745.29	25.436443
6458_232057_000107_000003	"I _must_ forget."	"I underscore must underscore forget."	false	1745.45	1747.09	22.045078
6458_232057_000108_000000	The hypnotist watched him with quiet eyes, studied his face and clothes and bearing.	The hypnotist watched him with quiet eyes, studied his face and clothes and bearing.	true	1747.43	1751.29	22.101192
6458_232057_000108_000001	"To forget anything--pleasure or pain--is to be, by so much--_less_.	"To forget anything-pleasure or pain-is to be, by so much-underscore less underscore.	false	1751.48	1757.79	21.927013
6458_232057_000108_000002	However, you know your own concern.	However, you know your own concern.	true	1757.79	1760.2	22.929636
6458_232057_000108_000003	My fee is high."	My fee is high."	true	1760.51	1762.03	21.692308
6458_232057_000109_000000	"If only I can forget--"	"If only I can forget-"	true	1762.55	1764.34	23.690186
6458_232057_000110_000000	"That's easy enough with you.	"That's easy enough with you.	true	1764.89	1766.5	24.314392
6458_232057_000110_000001	You wish it.	You wish it.	true	1766.54	1767.55	32.351624
6458_232057_000110_000002	I've done much harder things. Quite recently.	I've done much harder things. Quite recently.	true	1767.62	1770.96	22.668657
6458_232057_000110_000003	I hardly expected to do it: the thing was done against the will of the hypnotised person.	I hardly expected to do it: the thing was done against the will of the hypnotised person.	true	1770.96	1775.95	22.668339
6458_232057_000110_000004	A love affair too--like yours.	A love affair too-like yours.	true	1776.29	1778.56	24.922491
6458_232057_000110_000005	A girl.	A girl.	true	1779.11	1779.94	24.553305
6458_232057_000110_000006	So rest assured."	So rest assured."	true	1780.16	1782.19	26.161507
6458_232057_000111_000000	The young man came and sat beside the hypnotist.	The young man came and sat beside the hypnotist.	true	1782.74	1785.13	21.796537
6458_232057_000111_000001	His manner was a forced calm.	His manner was a forced calm.	true	1785.29	1787.26	21.988073
6458_232057_000111_000002	He looked into the hypnotist's eyes.	He looked into the hypnotist's eyes.	true	1787.39	1789.18	21.417759
6458_232057_000111_000003	"I will tell you.	"I will tell you.	true	1789.73	1790.77	26.240395
6458_232057_000111_000004	Of course you will want to know what it is.	Of course you will want to know what it is.	false	1791.2	1793.35	21.835373
6458_232057_000111_000005	There was a girl.	There was a girl.	true	1793.48	1794.61	22.354767
6458_232057_000111_000006	Her name was Elizabeth Mwres.	Her name was Elizabeth m w r e's.	false	1795.13	1797.6	24.513374
6458_232057_000111_000007	Well ..."	Well ..."	true	1797.6	1798.21	26.494724
6458_232057_000112_000000	He stopped.	He stopped.	true	1798.67	1799.71	27.4733
6458_232057_000112_000001	He had seen the instant surprise on the hypnotist's face.	He had seen the instant surprise on the hypnotist's face.	false	1799.75	1802.53	23.234333
6458_232057_000112_000002	In that instant he knew.	In that instant he knew.	true	1803.02	1804.69	21.218872
6458_232057_000112_000003	He stood up.	He stood up.	true	1804.88	1805.98	30.079693
6458_232057_000112_000004	He seemed to dominate the seated figure by his side.	He seemed to dominate the seated figure by his side.	true	1806.11	1808.83	21.938885
6458_232057_000112_000005	He gripped the shoulder of green and gold.	He gripped the shoulder of green and gold.	true	1808.93	1811.29	22.559237
6458_232057_000112_000006	For a time he could not find words.	For a time he could not find words.	true	1811.36	1814.07	21.912704
6458_232057_000113_000000	"_Give her me back!_" he said at last.	"underscore Give her me back!underscore" he said at last.	false	1814.07	1816.39	22.41455
6458_232057_000113_000001	"Give her me back!"	"Give her me back!"	true	1816.39	1818.19	22.439278
6458_232057_000114_000000	"What do you mean?" gasped the hypnotist.	"What do you mean?" gasped the hypnotist.	true	1818.44	1820.56	21.484283
6458_232057_000115_000000	"Give her me back."	"Give her me back."	true	1820.87	1823.2	24.455505
6458_232057_000116_000000	"Give whom?"	"Give whom?"	true	1823.48	1824.58	22.114933
6458_232057_000117_000000	"Elizabeth Mwres--the girl--"	"Elizabeth m w r e's-the girl-"	false	1825.1	1827.13	21.454067
6458_232057_000118_000000	The hypnotist tried to free himself; he rose to his feet.	The hypnotist tried to free himself; he rose to his feet.	true	1827.26	1830.08	23.28213
6458_232057_000118_000001	Denton's grip tightened.	Denton's grip tightened.	true	1830.08	1831.48	25.308275
6458_232057_000119_000000	"Let go!" cried the hypnotist, thrusting an arm against Denton's chest.	"Let go!" cried the hypnotist, thrusting an arm against Denton's chest.	true	1831.52	1834.57	22.314383
6458_232057_000120_000000	In a moment the two men were locked in a clumsy wrestle.	In a moment the two men were locked in a clumsy wrestle.	true	1834.94	1837.66	25.560648
6458_232057_000120_000001	Neither had the slightest training--for athleticism, except for exhibition and to afford opportunity for betting, had faded out of the earth--but Denton was not only the younger but the stronger of the two.	Neither had the slightest training-for athleticism, except for exhibition and to afford opportunity for betting, had faded out of the earth-but Denton was not only the younger but the stronger of the two.	false	1837.67	1847.34	20.760319
6458_232057_000120_000002	They swayed across the room, and then the hypnotist had gone down under his antagonist.	They swayed across the room, and then the hypnotist had gone down under his antagonist.	true	1847.34	1851.09	17.79682
6458_232057_000120_000003	They fell together....	They fell together....	true	1851.09	1852.39	26.68349
6458_232057_000121_000000	Denton leaped to his feet, dismayed at his own fury; but the hypnotist lay still, and suddenly from a little white mark where his forehead had struck a stool shot a hurrying band of red.	Denton leaped to his feet, dismayed at his own fury; but the hypnotist lay still, and suddenly from a little white mark where his forehead had struck a stool shot a hurrying band of red.	false	1852.85	1861.21	22
6458_232057_000121_000001	For a space Denton stood over him irresolute, trembling.	For a space Denton stood over him irresolute, trembling.	true	1861.34	1864.3	20.63077
6458_232057_000122_000000	A fear of the consequences entered his gently nurtured mind.	A fear of the consequences entered his gently nurtured mind.	true	1864.82	1867.78	19.542343
6458_232057_000122_000001	He turned towards the door.	He turned towards the door.	true	1867.97	1869.43	25.427378
6458_232057_000122_000002	"No," he said aloud, and came back to the middle of the room.	"No," he said aloud, and came back to the middle of the room.	true	1869.98	1872.85	23.185917
6458_232057_000122_000003	Overcoming the instinctive repugnance of one who had seen no act of violence in all his life before, he knelt down beside his antagonist and felt his heart.	Overcoming the instinctive repugnance of one who had seen no act of violence in all his life before, he knelt down beside his antagonist and felt his heart.	true	1873.07	1880.98	20.291021
6458_232057_000122_000004	Then he peered at the wound.	Then he peered at the wound.	true	1881.11	1882.93	25.423227
6458_232057_000122_000005	He rose quietly and looked about him.	He rose quietly and looked about him.	true	1883.15	1885.15	23.420866
6458_232057_000122_000006	He began to see more of the situation.	He began to see more of the situation.	true	1885.19	1887.25	20.710485
6458_232057_000123_000000	When presently the hypnotist recovered his senses, his head ached severely, his back was against Denton's knees and Denton was sponging his face.	When presently the hypnotist recovered his senses, his head ached severely, his back was against Denton's knees and Denton was sponging his face.	true	1887.86	1894.99	20
6458_232057_000124_000000	The hypnotist did not speak.	The hypnotist did not speak.	true	1895.75	1897.27	26.541557
6458_232057_000124_000001	But presently he indicated by a gesture that in his opinion he had been sponged enough.	But presently he indicated by a gesture that in his opinion he had been sponged enough.	true	1897.4	1901.41	19.739721
6458_232057_000124_000002	"Let me get up," he said.	"Let me get up," he said.	true	1902.02	1903.51	29.281187
6458_232057_000125_000000	"Not yet," said Denton.	"Not yet," said Denton.	true	1903.76	1905.22	23.923374
6458_232057_000126_000000	"You have assaulted me, you scoundrel!"	"You have assaulted me, you scoundrel!"	true	1905.71	1907.68	23.978767
6458_232057_000127_000000	"We are alone," said Denton, "and the door is secure."	"We are alone," said Denton, "and the door is secure."	true	1908.23	1910.65	20.879784
6458_232057_000128_000000	There was an interval of thought.	There was an interval of thought.	true	1910.93	1912.42	21.714088
6458_232057_000129_000000	"Unless I sponge," said Denton, "your forehead will develop a tremendous bruise."	"Unless I sponge," said Denton, "your forehead will develop a tremendous bruise."	false	1912.85	1916.44	20.316326
6458_232057_000130_000000	"You can go on sponging," said the hypnotist sulkily.	"You can go on sponging," said the hypnotist sulkily.	true	1917.5	1920.13	21.11316
6458_232057_000131_000000	There was another pause.	There was another pause.	true	1920.5	1921.75	23.26702
6458_232057_000132_000000	"We might be in the Stone Age," said the hypnotist.	"We might be in the Stone Age," said the hypnotist.	true	1922.06	1924.48	20.662252
6458_232057_000132_000001	"Violence! Struggle!"	"Violence! Struggle!"	true	1924.48	1926.31	24.26723
6458_232057_000133_000000	"In the Stone Age no man dared to come between man and woman," said Denton.	"In the Stone Age no man dared to come between man and woman," said Denton.	true	1926.71	1930.69	21
6458_232057_000134_000000	The hypnotist thought again.	The hypnotist thought again.	true	1931.18	1932.49	26.39598
6458_232057_000135_000000	"What are you going to do?" he asked.	"What are you going to do?" he asked.	true	1932.92	1934.83	19.308645
6458_232057_000136_000000	"While you were insensible I found the girl's address on your tablets. I did not know it before.	"While you were insensible I found the girl's address on your tablets. I did not know it before.	true	1935.17	1939.72	19.276798
6458_232057_000136_000001	I telephoned.	I telephoned.	true	1939.76	1940.78	25.405546
6458_232057_000136_000002	She will be here soon.	She will be here soon.	true	1940.78	1941.97	16.930218
6458_232057_000136_000003	Then--"	Then-"	true	1941.97	1942.6	30.622808
6458_232057_000137_000000	"She will bring her chaperone."	"She will bring her chaperone."	true	1942.88	1944.46	25.63656
6458_232057_000138_000000	"That is all right."	"That is all right."	true	1944.8	1945.93	25.16583
6458_232057_000139_000000	"But what--?	"But what-?	true	1946.27	1947.16	27.587435
6458_232057_000139_000001	I don't see.	I don't see.	true	1947.17	1948.02	21.018024
6458_232057_000139_000002	What do you mean to do?"	What do you mean to do?"	true	1948.02	1949.14	17.38925
6458_232057_000140_000000	"I looked about for a weapon also.	"I looked about for a weapon also.	true	1949.51	1951.36	24.945402
6458_232057_000140_000001	It is an astonishing thing how few weapons there are nowadays.	It is an astonishing thing how few weapons there are nowadays.	true	1951.61	1954.63	22
6458_232057_000140_000002	If you consider that in the Stone Age men owned scarcely anything _but_ weapons.	If you consider that in the Stone Age men owned scarcely anything underscore but underscore weapons.	false	1954.88	1959.37	21
6458_232057_000140_000003	I hit at last upon this lamp.	I hit at last upon this lamp.	true	1959.86	1961.8	20.59517
6458_232057_000140_000004	I have wrenched off the wires and things, and I hold it so." He extended it over the hypnotist's shoulders.	I have wrenched off the wires and things, and I hold it so." He extended it over the hypnotist's shoulders.	true	1961.87	1966.9	21.056767
6458_232057_000140_000005	"With that I can quite easily smash your skull.	"With that I can quite easily smash your skull.	true	1967.18	1969.96	27.326014
6458_232057_000140_000006	I _will_--unless you do as I tell you."	I underscore will underscore--unless you do as I tell you."	false	1970.15	1972.81	18.866228
6458_232057_000141_000000	"Violence is no remedy," said the hypnotist, quoting from the "Modern Man's Book of Moral Maxims."	"Violence is no remedy," said the hypnotist, quoting from the "Modern Man's Book of Moral Maxims."	true	1973.12	1978	18.801275
6458_232057_000142_000000	"It's an undesirable disease," said Denton.	"It's an undesirable disease," said Denton.	false	1978.4	1980.99	17.682144
6458_232057_000143_000000	"Well?"	"Well?"	true	1980.99	1981.93	33.484093
6458_232057_000144_000000	"You will tell that chaperone you are going to order the girl to marry that knobby little brute with the red hair and ferrety eyes.	"You will tell that chaperone you are going to order the girl to marry that knobby little brute with the red hair and ferrety eyes.	true	1982.15	1989.04	21
6458_232057_000144_000001	I believe that's how things stand?"	I believe that's how things stand?"	true	1989.29	1991.05	22.537056
6458_232057_000145_000000	"Yes--that's how things stand."	"Yes-that's how things stand."	true	1991.6	1993.21	22.268631
6458_232057_000146_000000	"And, pretending to do that, you will restore her memory of me."	"And, pretending to do that, you will restore her memory of me."	true	1993.97	1997.89	22.883436
6458_232057_000147_000000	"It's unprofessional."	"It's unprofessional."	true	1998.35	1999.81	23.197779
6458_232057_000148_000000	"Look here!	"Look here!	true	2000.18	2001.02	24.154873
6458_232057_000148_000001	If I cannot have that girl I would rather die than not.	If I cannot have that girl I would rather die than not.	true	2001.02	2003.92	20.09495
6458_232057_000148_000002	I don't propose to respect your little fancies.	I don't propose to respect your little fancies.	true	2004.14	2006.65	23.455038
6458_232057_000148_000003	If anything goes wrong you shall not live five minutes.	If anything goes wrong you shall not live five minutes.	true	2007.2	2010.16	21.91785
6458_232057_000148_000004	This is a rude makeshift of a weapon, and it may quite conceivably be painful to kill you.	This is a rude makeshift of a weapon, and it may quite conceivably be painful to kill you.	true	2010.41	2015.02	21.731627
6458_232057_000148_000005	But I will.	But I will.	true	2015.15	2016.16	22.489815
6458_232057_000148_000006	It is unusual, I know, nowadays to do things like this--mainly because there is so little in life that is worth being violent about."	It is unusual, I know, nowadays to do things like this-mainly because there is so little in life that is worth being violent about."	true	2016.23	2022.85	20.024166
6458_232057_000149_000000	"The chaperone will see you directly she comes--"	"The chaperone will see you directly she comes-"	true	2023.22	2025.79	22.048437
6458_232057_000150_000000	"I shall stand in that recess.	"I shall stand in that recess.	true	2026.4	2027.67	14.750673
6458_232057_000150_000001	Behind you."	Behind you."	true	2027.67	2028.37	22.598145
6458_232057_000151_000000	The hypnotist thought.	The hypnotist thought.	true	2028.65	2029.63	28.033464
6458_232057_000151_000001	"You are a determined young man," he said, "and only half civilised.	"You are a determined young man," he said, "and only half civilised.	true	2029.63	2033.27	20.092997
6458_232057_000151_000002	I have tried to do my duty to my client, but in this affair you seem likely to get your own way...."	I have tried to do my duty to my client, but in this affair you seem likely to get your own way...."	false	2033.27	2068.83	20.469044
