3032_19361_000000_000000	LAW I. _Planets move in ellipses, with the Sun in one focus._	LAW i underscore Planets move in ellipses, with the Sun in one focus.underscore	false	109.05	141.75	21.996206
3032_19361_000091_000001	What Kepler might have achieved had he been relieved of those ghastly struggles for subsistence one cannot tell, but this much is clear, that had Tycho been subjected to the same misfortune, instead of being born rich and being assisted by generous and enlightened patrons, he could have accomplished very little.	What Kepler might have achieved had he been relieved of those ghastly struggles for subsistence one cannot tell, but this much is clear, that had Tycho been subjected to the same misfortune, instead of being born rich and being assisted by generous and enlightened patrons, he could have accomplished very little.	true	2699.87	2721.46	22.664928
3032_19361_000091_000002	His instruments, his observatory--the tools by which he did his work--would have been impossible for him.	His instruments, his observatory-the tools by which he did his work-would have been impossible for him.	true	2721.77	2729.95	23.445908
3032_19361_000091_000003	Frederick and Sophia of Denmark, and Rudolph of Bohemia, are therefore to be remembered as co-workers with him.	Frederick and Sophia of Denmark, and Rudolph of Bohemia, are therefore to be remembered as co-workers with him.	true	2730.26	2739.43	23.765049
3032_19361_000092_000000	Kepler, with his ill-health and inferior physical energy, was unable to command the like advantages.	Kepler, with his ill health and inferior physical energy, was unable to command the like advantages.	true	2739.89	2748.01	23.677803
3032_19361_000092_000001	Much, nevertheless, he did; more one cannot but feel he might have done had he been properly helped.	Much, nevertheless, he did; more one cannot but feel he might have done had he been properly helped.	true	2748.35	2757.25	23.729204
3032_19361_000092_000002	Besides, the world would have been free from the reproach of accepting the fruits of his bright genius while condemning the worker to a life of misery, relieved only by the beauty of his own thoughts and the ecstasy awakened in him by the harmony and precision of Nature.	Besides, the world would have been free from the reproach of accepting the fruits of his bright genius while condemning the worker to a life of misery, relieved only by the beauty of his own thoughts and the ecstasy awakened in him by the harmony and precision of Nature.	true	2757.5	2776.93	24.540497
3032_19361_000093_000000	Concerning the method of Kepler, the mode by which he made his discoveries, we must remember that he gives us an account of all the steps, unsuccessful as well as successful, by which he travelled.	Concerning the method of Kepler, the mode by which he made his discoveries, we must remember that he gives us an account of all the steps, unsuccessful as well as successful, by which he travelled.	false	2777.57	2792.86	22.394117
3032_19361_000093_000001	He maps out his route like a traveller.	He maps out his route like a traveller.	true	2793.14	2796.13	25.004885
3032_19361_000093_000002	In fact he compares himself to Columbus or Magellan, voyaging into unknown lands, and recording his wandering route.	In fact he compares himself to Columbus or Magellan, voyaging into unknown lands, and recording his wandering route.	true	2796.29	2805.85	21.951246
3032_19361_000093_000003	This being remembered, it will be found that his methods do not differ so utterly from those used by other philosophers in like case.	This being remembered, it will be found that his methods do not differ so utterly from those used by other philosophers in like case.	true	2806.43	2815.72	21.137249
3032_19361_000093_000004	His imagination was perhaps more luxuriant and was allowed freer play than most men's, but it was nevertheless always controlled by rigid examination and comparison of hypotheses with fact.	His imagination was perhaps more luxuriant and was allowed freer play than most men's, but it was nevertheless always controlled by rigid examination and comparison of hypotheses with fact.	true	2816.51	2832.1	22.08232
3032_19361_000094_000000	Brewster says of him:--"Ardent, restless, burning to distinguish himself by discovery, he attempted everything; and once having obtained a glimpse of a clue, no labour was too hard in following or verifying it.	Brewster says of him:--"Ardent, restless, burning to distinguish himself by discovery, he attempted everything; and once having obtained a glimpse of a clue, no labour was too hard in following or verifying it.	true	2833.01	2849.92	22.90541
3032_19361_000094_000001	A few of his attempts succeeded--a multitude failed.	A few of his attempts succeeded-a multitude failed.	true	2850.32	2855.14	22.793852
3032_19361_000094_000002	Those which failed seem to us now fanciful, those which succeeded appear to us sublime.	Those which failed seem to us now fanciful, those which succeeded appear to us sublime.	true	2855.39	2862.58	22.787392
3032_19361_000094_000003	But his methods were the same.	But his methods were the same.	true	2862.77	2865.37	23.080235
3032_19361_000094_000004	When in search of what really existed he sometimes found it; when in pursuit of a chimaera he could not but fail; but in either case he displayed the same great qualities, and that obstinate perseverance which must conquer all difficulties except those really insurmountable."	When in search of what really existed he sometimes found it; when in pursuit of a chimaera he could not but fail; but in either case he displayed the same great qualities, and that obstinate perseverance which must conquer all difficulties except those really insurmountable."	true	2865.95	2888.68	23.404322
3032_19361_000095_000000	To realize what he did for astronomy, it is necessary for us now to consider some science still in its infancy.	To realize what he did for astronomy, it is necessary for us now to consider some science still in its infancy.	false	2888.84	2897.11	21.687328
3032_19361_000095_000001	Astronomy is so clear and so thoroughly explored now, that it is difficult to put oneself into a contemporary attitude.	Astronomy is so clear and so thoroughly explored now, that it is difficult to put oneself into a contemporary attitude.	true	2897.54	2907.7	23.946283
3032_19361_000095_000002	But take some other science still barely developed: meteorology, for instance.	But take some other science still barely developed: meteorology, for instance.	true	2907.83	2913.54	21.835838
3032_19361_000095_000003	The science of the weather, the succession of winds and rain, sunshine and frost, clouds and fog, is now very much in the condition of astronomy before Kepler.	The science of the weather, the succession of winds and rain, sunshine and frost, clouds and fog, is now very much in the condition of astronomy before Kepler.	true	2913.54	2925.43	21.174774
3032_19361_000096_000000	We have passed through the stage of ascribing atmospheric disturbances--thunderstorms, cyclones, earthquakes, and the like--to supernatural agency; we have had our Copernican era: not perhaps brought about by a single individual, but still achieved.	We have passed through the stage of ascribing atmospheric disturbances-thunderstorms, cyclones, earthquakes, and the like-to supernatural agency; we have had our Copernican era: not perhaps brought about by a single individual, but still achieved.	true	2926.22	2944.75	24.118904
3032_19361_000096_000001	Something of the laws of cyclone and anticyclone are known, and rude weather predictions across the Atlantic are roughly possible.	Something of the laws of cyclone and anticyclone are known, and rude weather predictions across the Atlantic are roughly possible.	true	2945.21	2955.46	21.79618
3032_19361_000096_000002	Barometers and thermometers and anemometers, and all their tribe, represent the astronomical instruments in the island of Huen; and our numerous meteorological observatories, with their continual record of events, represent the work of Tycho Brahe.	Barometers and thermometers and anemometers, and all their tribe, represent the astronomical instruments in the island of Huen; and our numerous meteorological observatories, with their continual record of events, represent the work of Tycho Brahe.	false	2955.74	2976.72	22.527052
3032_19361_000097_000000	Observation is heaped on observation; tables are compiled; volumes are filled with data; the hours of sunshine are recorded, the fall of rain, the moisture in the air, the kind of clouds, the temperature--millions of facts; but where is the Kepler to study and brood over them?	Observation is heaped on observation; tables are compiled; volumes are filled with data; the hours of sunshine are recorded, the fall of rain, the moisture in the air, the kind of clouds, the temperature-millions of facts; but where is the Kepler to study and brood over them?	true	2976.72	3000.64	21.94178
3032_19361_000097_000001	Where is the man to spend his life in evolving the beginnings of law and order from the midst of all this chaos?	Where is the man to spend his life in evolving the beginnings of law and order from the midst of all this chaos?	false	3000.95	3072.45	22.093325
