2790_142824_000000_000000	_Time_.--About 1/2 hour.	underscore Time underscore.--About one half hour.	false	88.05	151.62	20.097538
2790_142824_000150_000001	INGREDIENTS.--Odd pieces of crust or crumb of bread; to every quart allow 1/2 teaspoonful of salt, 1 teaspoonful of grated nutmeg, 3 oz. of moist sugar, 1/2 lb. of currants, 1-1/4 oz. of butter.	INGREDIENTS.--Odd pieces of crust or crumb of bread; to every quart allow one half teaspoonful of salt, one teaspoonful of grated nutmeg, three ounces. of moist sugar, one half l b of currants, one to one quarter of an ounce. of butter.	false	2082.95	2098.44	21.120157
2790_142824_000151_000000	_Mode_.--Break the bread into small pieces, and pour on them as much boiling water as will soak them well.	underscore Mode underscore.--Break the bread into small pieces, and pour on them as much boiling water as will soak them well.	false	2098.44	2106.4	21.960981
2790_142824_000151_000001	Let these stand till the water is cool; then press it out, and mash the bread with a fork until it is quite free from lumps.	Let these stand till the water is cool; then press it out, and mash the bread with a fork until it is quite free from lumps.	true	2106.8	2114.5	22.946829
2790_142824_000151_000002	Measure this pulp, and to every quart stir in salt, nutmeg, sugar, and currants in the above proportion; mix all well together, and put it into a well-buttered pie-dish.	Measure this pulp, and to every quart stir in salt, nutmeg, sugar, and currants in the above proportion; mix all well together, and put it into a well buttered pie dish.	true	2115.02	2126.2	22.423454
2790_142824_000151_000003	Smooth the surface with the back of a spoon, and place the butter in small pieces over the top; bake in a moderate oven for 1-1/2 hour, and serve very hot.	Smooth the surface with the back of a spoon, and place the butter in small pieces over the top; bake in a moderate oven for one minus one half hour, and serve very hot.	false	2126.69	2136.52	21.637592
2790_142824_000151_000004	Boiling milk substituted for the boiling water would very much improve this pudding.	Boiling milk substituted for the boiling water would very much improve this pudding.	true	2137.01	2141.64	23.965065
2790_142824_000152_000000	_Time_.--1-1/2 hour.	underscore Time underscore.-minus one minus one half hour.	false	2141.64	2145.24	17.629414
2790_142824_000152_000001	_Average cost_, 6d., exclusive of the bread.	underscore Average cost underscore, six d., exclusive of the bread.	false	2145.24	2148.93	18.990093
2790_142824_000153_000000	_Sufficient_ for 6 or 7 persons.	underscore Sufficient underscore for six or seven persons.	false	2148.93	2151.72	20.29762
2790_142824_000153_000001	_Seasonable_ at any time.	underscore Seasonable underscore at any time.	false	2151.72	2153.83	19.591125
2790_142824_000154_000000	BOILED BREAD PUDDING.	BOILED BREAD PUDDING.	true	2155.46	2156.89	25.280865
2790_142824_000155_000000	1252.	twelve fifty two.	true	2157.89	2159.2	22.739899
2790_142824_000155_000001	INGREDIENTS.--1-1/2 pint of milk, 3/4 pint of bread crumbs, sugar to taste, 4 eggs, 1 oz. of butter, 3 oz. of currants, 1/4 teaspoonful of grated nutmeg.	INGREDIENTS.-minus one minus one half pint of milk, three quarters pint of bread crumbs, sugar to taste, four eggs, one ounce. of butter, three ounces. of currants, one quarter teaspoonful of grated nutmeg.	false	2159.6	2174.25	22.679626
2790_142824_000156_000000	_Mode_.--Make the milk boiling, and pour it on the bread crumbs; let these remain till cold; then add the other ingredients, taking care that the eggs are well beaten and the currants well washed, picked, and dried.	underscore Mode underscore.--Make the milk boiling, and pour it on the bread crumbs; let these remain till cold; then add the other ingredients, taking care that the eggs are well beaten and the currants well washed, picked, and dried.	false	2174.25	2188	20.879848
2790_142824_000156_000001	Beat the pudding well, and put it into a buttered basin; tie it down tightly with a cloth, plunge it into boiling water, and boil for 1-1/4 hour; turn it out of the basin, and serve with sifted sugar.	Beat the pudding well, and put it into a buttered basin; tie it down tightly with a cloth, plunge it into boiling water, and boil for one minus one quarter hour; turn it out of the basin, and serve with sifted sugar.	false	2188.55	2201.35	21.5635
2790_142824_000156_000002	Any odd pieces or scraps of bread answer for this pudding; but they should be soaked overnight, and, when wanted for use, should have the water well squeezed from them.	Any odd pieces or scraps of bread answer for this pudding; but they should be soaked overnight, and, when wanted for use, should have the water well squeezed from them.	false	2201.87	2211.81	21.736856
2790_142824_000157_000000	_Time_.--1-1/4 hour.	underscore Time underscore.-minus one minus one quarter hour.	false	2211.81	2215.62	18.197489
2790_142824_000157_000001	_Average cost_, 1s.	underscore Average cost underscore, ones.	false	2215.62	2217.66	19.539345
2790_142824_000158_000000	_Sufficient_ for 6 or 7 persons.	underscore Sufficient underscore for six or seven persons.	false	2217.66	2220.12	18.946928
2790_142824_000158_000001	_Seasonable_ at any time.	underscore Seasonable underscore at any time.	false	2220.12	2223.58	20.234322
2790_142824_000159_000000	BREAD.--Bread contains, in its composition, in the form of vegetable albumen and vegetable fibrine, two of the chief constituents of flesh, and, in its incombustible constituents, the salts which are indispensable for sanguification, of the same quality and in the same proportion as flesh.	BREAD.--Bread contains, in its composition, in the form of vegetable albumen and vegetable fibrine, two of the chief constituents of flesh, and, in its incombustible constituents, the salts which are indispensable for sanguification, of the same quality and in the same proportion as flesh.	true	2224.25	2245.06	21.669832
2790_142824_000159_000001	But flesh contains, besides these, a number of substances which are entirely wanting in vegetable food; and on these peculiar constituents of flesh depend certain effects, by which it is essentially distinguished from other articles of food.	But flesh contains, besides these, a number of substances which are entirely wanting in vegetable food; and on these peculiar constituents of flesh depend certain effects, by which it is essentially distinguished from other articles of food.	false	2245.61	2261.35	21.871012
2790_142824_000160_000000	BROWN-BREAD PUDDING.	BROWN BREAD PUDDING.	true	2262.41	2263.75	19.7796
2790_142824_000161_000000	1253.	twelve fifty three.	true	2264.36	2265.7	18.762491
2790_142824_000161_000001	INGREDIENTS.--3/4 lb. of brown-bread crumbs, 1/2 lb. of currants, 1/2 lb. of suet, 1/4 lb. of moist sugar, 4 eggs, 2 tablespoonfuls of brandy, 2 tablespoonfuls of cream, grated nutmeg to taste.	INGREDIENTS.-minus three quarters l b of brown bread crumbs, one half l b of currants, one half l b of suet, one quarter l b of moist sugar, four eggs, two tablespoonfuls of brandy, two tablespoonfuls of cream, grated nutmeg to taste.	false	2266.22	2284.77	21.573538
2790_142824_000162_000000	_Mode_.--Grate 3/4 lb. of crumbs from a stale brown loaf; add to these the currants and suet, and be particular that the latter is finely chopped.	underscore Mode underscore.--Grate three quarters l b of crumbs from a stale brown loaf; add to these the currants and suet, and be particular that the latter is finely chopped.	false	2284.77	2297.44	21.31743
2790_142824_000162_000001	Put in the remaining ingredients; beat the pudding well for a few minutes; put it into a buttered basin or mould; tie it down tightly, and boil for nearly 4 hours.	Put in the remaining ingredients; beat the pudding well for a few minutes; put it into a buttered basin or mould; tie it down tightly, and boil for nearly four hours.	true	2297.81	2308.21	21.391645
2790_142824_000162_000002	Send sweet sauce to table with it.	Send sweet sauce to table with it.	true	2308.82	2311.02	20.136381
2790_142824_000163_000000	_Time_.--Nearly 4 hours.	underscore Time underscore.--Nearly four hours.	false	2311.02	2315.1	19.202724
2790_142824_000163_000001	_Average cost_, 1s. 6d.	underscore Average cost underscore, ones. six d.	false	2315.1	2318.04	19.884342
2790_142824_000164_000000	_Sufficient_ for 6 or 7 persons.	underscore Sufficient underscore for six or seven persons.	false	2318.04	2320.8	19.9536
2790_142824_000165_000000	_Seasonable_ at any time; but more suitable for a winter pudding.	underscore Seasonable underscore at any time; but more suitable for a winter pudding.	false	2320.8	2325.46	17.892141
2790_142824_000166_000000	MINIATURE BREAD PUDDINGS.	MINIATURE BREAD PUDDINGS.	true	2326.85	2328.67	21.128468
2790_142824_000167_000000	1254.	twelve fifty four.	true	2328.92	2330.32	21.086647
2790_142824_000167_000001	INGREDIENTS.--1 pint of milk, 1/2 lb. of bread crumbs, 4 eggs, 2 oz. of butter, sugar to taste, 2 tablespoonfuls of brandy, 1 teaspoonful of finely-minced lemon-peel.	INGREDIENTS.-minus one pint of milk, one half l b of bread crumbs, four eggs, two ounces. of butter, sugar to taste, two tablespoonfuls of brandy, one teaspoonful of finely minced lemon peel.	false	2330.81	2346.51	21.139338
2790_142824_000168_000000	_Mode_.--Make the milk boiling, pour it on to the bread crumbs, and let them soak for about 1/2 hour.	underscore Mode underscore.--Make the milk boiling, pour it on to the bread crumbs, and let them soak for about one half hour.	false	2346.51	2355.19	21.903189
2790_142824_000168_000001	Beat the eggs, mix these with the bread crumbs, add the remaining ingredients, and stir well until all is thoroughly mixed.	Beat the eggs, mix these with the bread crumbs, add the remaining ingredients, and stir well until all is thoroughly mixed.	true	2355.38	2363.98	21.835342
2790_142824_000168_000002	Butter some small cups; rather more than half fill them with the mixture, and bake in a moderate oven from 20 minutes to 1/2 hour, and serve with sweet sauce.	Butter some small cups; rather more than half fill them with the mixture, and bake in a moderate oven from twenty minutes to one half hour, and serve with sweet sauce.	false	2364.29	2374.87	21.240383
2790_142824_000168_000003	A few currants may be added to these puddings: about 3 oz. will be found sufficient for the above quantity.	A few currants may be added to these puddings: about three ounces. will be found sufficient for the above quantity.	true	2375.69	2382.12	21.208231
2790_142824_000169_000000	_Time_.--20 minutes to 1/2 hour.	underscore Time underscore.-minus twenty minutes to one half hour.	false	2382.12	2386.38	20.986826
2790_142824_000169_000001	_Average cost_, 10d.	underscore Average cost underscore, ten d.	false	2386.38	2388.99	20.20094
2790_142824_000170_000000	_Sufficient_ for 7 or 8 small puddings.	underscore Sufficient underscore for seven or eight small puddings.	false	2388.99	2392.35	21.094141
2790_142824_000171_000000	_Seasonable_ at any time.	underscore Seasonable underscore at any time.	false	2392.35	2394.82	20.713266
2790_142824_000172_000000	BAKED BREAD-AND-BUTTER PUDDING.	BAKED BREAD AND BUTTER PUDDING.	true	2397.2	2398.99	23.10127
2790_142824_000173_000000	1255.	twelve fifty five.	true	2399.48	2401.03	21.95246
2790_142824_000173_000001	INGREDIENTS.--9 thin slices of bread and butter, 1-1/2 pint of milk, 4 eggs, sugar to taste, 1/4 lb. of currants, flavouring of vanilla, grated lemon-peel or nutmeg.	INGREDIENTS.-minus nine thin slices of bread and butter, one minus one half pint of milk, four eggs, sugar to taste, one quarter l b of currants, flavouring of vanilla, grated lemon peel or nutmeg.	false	2401.46	2416.41	21.475784
2790_142824_000174_000000	_Mode_.--Cut 9 slices of bread and butter not very thick, and put them into a pie-dish, with currants between each layer and on the top. Sweeten and flavour the milk, either by infusing a little lemon-peel in it, or by adding a few drops of essence of vanilla; well whisk the eggs, and stir these to the milk.	underscore Mode underscore.--Cut nine slices of bread and butter not very thick, and put them into a pie dish, with currants between each layer and on the top. Sweeten and flavour the milk, either by infusing a little lemon peel in it, or by adding a few drops of essence of vanilla; well whisk the eggs, and stir these to the milk.	false	2416.41	2438.22	21.01947
2790_142824_000174_000001	_Strain_ this over the bread and butter, and bake in a moderate oven for 1 hour, or rather longer.	underscore Strain underscore this over the bread and butter, and bake in a moderate oven for one hour, or rather longer.	false	2438.22	2444.62	21.620262
2790_142824_000174_000002	This pudding may be very much enriched by adding cream, candied peel, or more eggs than stated above.	This pudding may be very much enriched by adding cream, candied peel, or more eggs than stated above.	true	2445.47	2452.99	22.339167
2790_142824_000174_000003	It should not be turned out, but sent to table in the pie-dish, and is better for being made about 2 hours before it is baked.	It should not be turned out, but sent to table in the pie dish, and is better for being made about two hours before it is baked.	false	2453.36	2502.93	19.991066
