3851_9210_000000_000000	"Oh! he was a shoemaker, was he?" said the head clerk.	"Oh! he was a shoemaker, was he?" said the head clerk.	false	0	3.69	29.279392
3851_9210_000098_000001	The housekeeper set her mistress in a chair, and broke out:	The housekeeper set her mistress in a chair, and broke out:	true	2061.05	2064.25	28
3851_9210_000099_000000	"What, madame! is that man to sleep in Monsieur Auguste's bed, and wear Monsieur Auguste's slippers, and eat the pasty that I made for Monsieur Auguste?	"What, madame! is that man to sleep in Monsieur Auguste's bed, and wear Monsieur Auguste's slippers, and eat the pasty that I made for Monsieur Auguste?	false	2064.44	2073.25	24.703592
3851_9210_000099_000001	Why, if they were to guillotine me for it, I--"	Why, if they were to guillotine me for it, I-"	true	2073.89	2077.15	28.034842
3851_9210_000100_000000	"Brigitte!" cried Mme. de Dey.	"Brigitte!" cried Mme. de Dey.	false	2077.16	2080.16	27.999155
3851_9210_000101_000000	Brigitte said no more.	Brigitte said no more.	true	2080.16	2081.53	25.784807
3851_9210_000102_000000	"Hold your tongue, chatterbox," said her husband, in a low voice; "do you want to kill madame?"	"Hold your tongue, chatterbox," said her husband, in a low voice; "do you want to kill madame?"	true	2082.44	2088.25	23.095205
3851_9210_000103_000000	A sound came from the conscript's room as he drew his chair to the table.	A sound came from the conscript's room as he drew his chair to the table.	true	2089.4	2094.26	25.304747
3851_9210_000104_000000	"I shall not stay here," cried Mme. de Dey; "I shall go into the conservatory; I shall hear better there if anyone passes in the night."	"I shall not stay here," cried Mme. de Dey; "I shall go into the conservatory; I shall hear better there if anyone passes in the night."	false	2094.26	2102.53	24.301619
3851_9210_000105_000000	She still wavered between the fear that she had lost her son and the hope of seeing him once more.	She still wavered between the fear that she had lost her son and the hope of seeing him once more.	true	2103.53	2109.07	23.118326
3851_9210_000105_000001	That night was hideously silent.	That night was hideously silent.	true	2110.4	2112.82	25.70173
3851_9210_000105_000002	Once, for the Countess, there was an awful interval, when the battalion of conscripts entered the town, and the men went by, one by one, to their lodgings.	Once, for the Countess, there was an awful interval, when the battalion of conscripts entered the town, and the men went by, one by one, to their lodgings.	true	2113.19	2123.5	24.425117
3851_9210_000105_000003	Every footfall, every sound in the street, raised hopes to be disappointed; but it was not for long, the dreadful quiet succeeded again.	Every footfall, every sound in the street, raised hopes to be disappointed; but it was not for long, the dreadful quiet succeeded again.	true	2123.84	2132.92	25.139904
3851_9210_000105_000004	Toward morning the Countess was forced to return to her room. Brigitte, ever keeping watch over her mistress's movements, did not see her come out again; and when she went, she found the Countess lying there dead.	Toward morning the Countess was forced to return to her room. Brigitte, ever keeping watch over her mistress's movements, did not see her come out again; and when she went, she found the Countess lying there dead.	true	2133.44	2147.08	25.874157
3851_9210_000106_000000	"I expect she heard that conscript," cried Brigitte, "walking about Monsieur Auguste's room, whistling that accursed _Marseillaise_ of theirs while he dressed, as if he had been in a stable!	"I expect she heard that conscript," cried Brigitte, "walking about Monsieur Auguste's room, whistling that accursed underscore Marseillaise underscore of theirs while he dressed, as if he had been in a stable!	false	2148.38	2158.91	25.178461
3851_9210_000106_000001	That must have killed her."	That must have killed her."	true	2158.91	2160.22	25.78354
3851_9210_000107_000000	But it was a deeper and a more solemn emotion, and doubtless some dreadful vision, that had caused Mme. de Dey's death; for at the very hour when she died at Carentan, her son was shot in le Morbihan.	But it was a deeper and a more solemn emotion, and doubtless some dreadful vision, that had caused Mme. de Dey's death; for at the very hour when she died at Carentan, her son was shot in le Morbihan.	false	2160.8	2174.26	22.255981
3851_9210_000108_000000	This tragical story may be added to all the instances on record of the workings of sympathies uncontrolled by the laws of time and space. These observations, collected with scientific curiosity by a few isolated individuals, will one day serve as documents on which to base the foundations of a new science which hitherto has lacked its man of genius.	This tragical story may be added to all the instances on record of the workings of sympathies uncontrolled by the laws of time and space. These observations, collected with scientific curiosity by a few isolated individuals, will one day serve as documents on which to base the foundations of a new science which hitherto has lacked its man of genius.	false	2176.37	2217.66	22.936396
