2774_131722_000000_000000	CHAPTER XIX	CHAPTER nineteen	false	0.33	22.965	22.667292
2774_131722_000046_000002	This puzzling question was much discussed between him and his associate, Mr. W. S. Mallory, until finally he said to the latter: "If we want to keep the men here we must make it attractive for the women--so let us build some houses that will have running water and electric lights, and rent at a low rate." He set to work, and in a day finished a design for a type of house.	This puzzling question was much discussed between him and his associate, mr w s Mallory, until finally he said to the latter: "If we want to keep the men here we must make it attractive for the women-so let us build some houses that will have running water and electric lights, and rent at a low rate." He set to work, and in a day finished a design for a type of house.	false	2029.79	2048.59	24.626362
2774_131722_000046_000003	Fifty were quickly built and fully described in advertising for mechanics.	Fifty were quickly built and fully described in advertising for mechanics.	true	2048.81	2052.88	24.48273
2774_131722_000046_000004	Three days' advertisements brought in over six hundred and fifty applications, and afterward Edison had no trouble in obtaining all the first-class men he required, as settlers in the artificial Yosemite he was creating.	Three days' advertisements brought in over six hundred and fifty applications, and afterward Edison had no trouble in obtaining all the first-class men he required, as settlers in the artificial Yosemite he was creating.	true	2053.07	2064.76	22.619667
2774_131722_000047_000000	We owe to Mr. Mallory a characteristic story of this period as to an incidental unbending from toil, which in itself illustrates the ever-present determination to conquer what is undertaken: "Along in the latter part of the nineties, when the work on the problem of concentrating iron ore was in progress, it became necessary when leaving the plant at Edison to wait over at Lake Hopatcong one hour for a connecting train.	We owe to mr Mallory a characteristic story of this period as to an incidental unbending from toil, which in itself illustrates the ever present determination to conquer what is undertaken: "Along in the latter part of the nineties, when the work on the problem of concentrating iron ore was in progress, it became necessary when leaving the plant at Edison to wait over at Lake Hopatcong one hour for a connecting train.	true	2065.16	2086.81	21
2774_131722_000047_000001	During some of these waits Mr. Edison had seen me play billiards.	During some of these waits mr Edison had seen me play billiards.	true	2086.91	2090.2	22.144552
2774_131722_000047_000002	At the particular time this incident happened, Mrs. Edison and her family were away for the summer, and I was staying at the Glenmont home on the Orange Mountains.	At the particular time this incident happened, mrs Edison and her family were away for the summer, and I was staying at the Glenmont home on the Orange Mountains.	true	2091.08	2098.96	23.900896
2774_131722_000048_000000	"One hot Saturday night, after Mr. Edison had looked over the evening papers, he said to me: 'Do you want to play a game of billiards?' Naturally this astonished me very much, as he is a man who cares little or nothing for the ordinary games, with the single exception of parcheesi, of which he is very fond.	"One hot Saturday night, after mr Edison had looked over the evening papers, he said to me: 'Do you want to play a game of billiards?' Naturally this astonished me very much, as he is a man who cares little or nothing for the ordinary games, with the single exception of parcheesi, of which he is very fond.	false	2099.15	2114.4	22.353167
2774_131722_000048_000001	I said I would like to play, so we went up into the billiard-room of the house.	I said I would like to play, so we went up into the billiard room of the house.	false	2114.4	2117.68	23
2774_131722_000048_000002	I took off the cloth, got out the balls, picked out a cue for Mr. Edison, and when we banked for the first shot I won and started the game.	I took off the cloth, got out the balls, picked out a cue for mr Edison, and when we banked for the first shot I won and started the game.	true	2117.75	2124.43	23.252571
2774_131722_000048_000003	After making two or three shots I missed, and a long carom shot was left for Mr. Edison, the cue ball and object ball being within about twelve inches of each other, and the other ball a distance of nearly the length of the table.	After making two or three shots I missed, and a long carom shot was left for mr Edison, the cue ball and object ball being within about twelve inches of each other, and the other ball a distance of nearly the length of the table.	true	2124.74	2136.28	21.751402
2774_131722_000048_000004	Mr. Edison attempted to make the shot, but missed it and said 'Put the balls back.' So I put them back in the same position and he missed it the second time.	mr Edison attempted to make the shot, but missed it and said 'Put the balls back.' So I put them back in the same position and he missed it the second time.	true	2136.65	2144.17	25.342571
2774_131722_000048_000005	I continued at his request to put the balls back in the same position for the next fifteen minutes, until he could make the shot every time--then he said: 'I don't want to play any more.'"	I continued at his request to put the balls back in the same position for the next fifteen minutes, until he could make the shot every time-then he said: 'I don't want to play any more.'"	true	2144.66	2153.47	22.890772
2774_131722_000049_000000	Having taken a somewhat superficial survey of the great enterprise under consideration; having had a cursory glance at the technical development of the plant up to the point of its successful culmination in the making of a marketable, commercial product as exemplified in the test at the Crane Furnace, let us revert to that demonstration and note the events that followed.	Having taken a somewhat superficial survey of the great enterprise under consideration; having had a cursory glance at the technical development of the plant up to the point of its successful culmination in the making of a marketable, commercial product as exemplified in the test at the Crane Furnace, let us revert to that demonstration and note the events that followed.	false	2154.29	2173	23.91705
2774_131722_000049_000001	The facts of this actual test are far more eloquent than volumes of argument would be as a justification of Edison's assiduous labors for over eight years, and of the expenditure of a fortune in bringing his broad conception to a concrete possibility.	The facts of this actual test are far more eloquent than volumes of argument would be as a justification of Edison's assiduous labors for over eight years, and of the expenditure of a fortune in bringing his broad conception to a concrete possibility.	false	2173.19	2185.69	21
2774_131722_000049_000002	In the patient solving of tremendous problems he had toiled up the mountain-side of success--scaling its topmost peak and obtaining a view of the boundless prospect.	In the patient solving of tremendous problems he had toiled up the mountain side of success-scaling its topmost peak and obtaining a view of the boundless prospect.	true	2185.97	2193.82	24
2774_131722_000049_000003	But, alas!	But, alas!	true	2193.86	2194.76	20.883314
2774_131722_000049_000004	"The best laid plans o' mice and men gang aft agley." The discovery of great deposits of rich Bessemer ore in the Mesaba range of mountains in Minnesota a year or two previous to the completion of his work had been followed by the opening up of those deposits and the marketing of the ore.	"The best laid plans o' mice and men gang aft agley." The discovery of great deposits of rich Bessemer ore in the Mesaba range of mountains in Minnesota a year or two previous to the completion of his work had been followed by the opening up of those deposits and the marketing of the ore.	false	2194.76	2209.69	24.110312
2774_131722_000049_000005	It was of such rich character that, being cheaply mined by greatly improved and inexpensive methods, the market price of crude ore of like iron units fell from about $6.50 to $3.50 per ton at the time when Edison was ready to supply his concentrated product.	It was of such rich character that, being cheaply mined by greatly improved and inexpensive methods, the market price of crude ore of like iron units fell from about six dollars and fifty cents to three dollars and fifty cents per ton at the time when Edison was ready to supply his concentrated product.	false	2210.12	2226.37	25.129702
2774_131722_000049_000006	At the former price he could have supplied the market and earned a liberal profit on his investment, but at $3.50 per ton he was left without a reasonable chance of competition.	At the former price he could have supplied the market and earned a liberal profit on his investment, but at three dollars and fifty cents per ton he was left without a reasonable chance of competition.	true	2226.56	2235.22	22.756887
2774_131722_000049_000007	Thus was swept away the possibility of reaping the reward so richly earned by years of incessant thought, labor, and care.	Thus was swept away the possibility of reaping the reward so richly earned by years of incessant thought, labor, and care.	true	2235.59	2242.15	20
2774_131722_000049_000008	This great and notable plant, representing a very large outlay of money, brought to completion, ready for business, and embracing some of the most brilliant and remarkable of Edison's inventions and methods, must be abandoned by force of circumstances over which he had no control, and with it must die the high hopes that his progressive, conquering march to success had legitimately engendered.	This great and notable plant, representing a very large outlay of money, brought to completion, ready for business, and embracing some of the most brilliant and remarkable of Edison's inventions and methods, must be abandoned by force of circumstances over which he had no control, and with it must die the high hopes that his progressive, conquering march to success had legitimately engendered.	true	2242.49	2263.15	23.254227
2774_131722_000050_000000	The financial aspect of these enterprises is often overlooked and forgotten.	The financial aspect of these enterprises is often overlooked and forgotten.	true	2264.3	2268.36	23
2774_131722_000050_000001	In this instance it was of more than usual import and seriousness, as Edison was virtually his own "backer," putting into the company almost the whole of all the fortune his inventions had brought him.	In this instance it was of more than usual import and seriousness, as Edison was virtually his own "backer," putting into the company almost the whole of all the fortune his inventions had brought him.	true	2268.36	2278.24	23.03213
2774_131722_000050_000002	There is a tendency to deny to the capital that thus takes desperate chances its full reward if things go right, and to insist that it shall have barely the legal rate of interest and far less than the return of over-the-counter retail trade.	There is a tendency to deny to the capital that thus takes desperate chances its full reward if things go right, and to insist that it shall have barely the legal rate of interest and far less than the return of over the counter retail trade.	false	2278.76	2290.96	24.489336
2774_131722_000050_000003	It is an absolute fact that the great electrical inventors and the men who stood behind them have had little return for their foresight and courage.	It is an absolute fact that the great electrical inventors and the men who stood behind them have had little return for their foresight and courage.	true	2291.3	2298.61	22.905695
2774_131722_000050_000004	In this instance, when the inventor was largely his own financier, the difficulties and perils were redoubled.	In this instance, when the inventor was largely his own financier, the difficulties and perils were redoubled.	false	2298.83	2304.79	22.123692
2774_131722_000050_000005	Let Mr. Mallory give an instance: "During the latter part of the panic of 1893 there came a period when we were very hard up for ready cash, due largely to the panicky conditions; and a large pay-roll had been raised with considerable difficulty.	Let mr Mallory give an instance: "During the latter part of the panic of eighteen ninety three there came a period when we were very hard up for ready cash, due largely to the panicky conditions; and a large pay roll had been raised with considerable difficulty.	true	2305.34	2318.68	24.348589
2774_131722_000050_000006	A short time before pay-day our treasurer called me up by telephone, and said: 'I have just received the paid checks from the bank, and I am fearful that my assistant, who has forged my name to some of the checks, has absconded with about $3000.' I went immediately to Mr. Edison and told him of the forgery and the amount of money taken, and in what an embarrassing position we were for the next pay-roll.	A short time before pay day our treasurer called me up by telephone, and said: 'I have just received the paid checks from the bank, and I am fearful that my assistant, who has forged my name to some of the checks, has absconded with about three thousand dollars.' I went immediately to mr Edison and told him of the forgery and the amount of money taken, and in what an embarrassing position we were for the next pay roll.	true	2319.35	2339.2	23.42816
2774_131722_000050_000007	When I had finished he said: 'It is too bad the money is gone, but I will tell you what to do.	When I had finished he said: 'It is too bad the money is gone, but I will tell you what to do.	true	2339.66	2344.36	23.745363
2774_131722_000050_000008	Go and see the president of the bank which paid the forged checks. Get him to admit the bank's liability, and then say to him that Mr. Edison does not think the bank should suffer because he happened to have a dishonest clerk in his employ.	Go and see the president of the bank which paid the forged checks. Get him to admit the bank's liability, and then say to him that mr Edison does not think the bank should suffer because he happened to have a dishonest clerk in his employ.	true	2344.49	2356.24	22.834173
2774_131722_000050_000009	Also say to him that I shall not ask them to make the amount good.' This was done; the bank admitting its liability and being much pleased with this action.	Also say to him that I shall not ask them to make the amount good.' This was done; the bank admitting its liability and being much pleased with this action.	true	2357.18	2365.54	22.916088
2774_131722_000050_000010	When I reported to Mr. Edison he said: 'That's all right.	When I reported to mr Edison he said: 'That's all right.	true	2365.91	2368.78	21.969587
2774_131722_000050_000011	We have made a friend of the bank, and we may need friends later on.' And so it happened that some time afterward, when we greatly needed help in the way of loans, the bank willingly gave us the accommodations we required to tide us over a critical period."	We have made a friend of the bank, and we may need friends later on.' And so it happened that some time afterward, when we greatly needed help in the way of loans, the bank willingly gave us the accommodations we required to tide us over a critical period."	false	2368.78	2380.99	21.88119
2774_131722_000051_000000	This iron-ore concentrating project had lain close to Edison's heart and ambition--indeed, it had permeated his whole being to the exclusion of almost all other investigations or inventions for a while.	This iron ore concentrating project had lain close to Edison's heart and ambition-indeed, it had permeated his whole being to the exclusion of almost all other investigations or inventions for a while.	true	2381.87	2392.36	21.243113
2774_131722_000051_000001	For five years he had lived and worked steadily at Edison, leaving there only on Saturday night to spend Sunday at his home in Orange, and returning to the plant by an early train on Monday morning.	For five years he had lived and worked steadily at Edison, leaving there only on Saturday night to spend Sunday at his home in Orange, and returning to the plant by an early train on Monday morning.	true	2393.24	2403.25	22.136757
2774_131722_000051_000002	Life at Edison was of the simple kind--work, meals, and a few hours' sleep--day by day.	Life at Edison was of the simple kind-work, meals, and a few hours' sleep-day by day.	false	2404.13	2409.31	22.372683
2774_131722_000051_000003	The little village, called into existence by the concentrating works, was of the most primitive nature and offered nothing in the way of frivolity or amusement.	The little village, called into existence by the concentrating works, was of the most primitive nature and offered nothing in the way of frivolity or amusement.	false	2409.89	2417.71	23.392866
2774_131722_000051_000004	Even the scenery is austere.	Even the scenery is austere.	true	2418.08	2419.93	23.43616
2774_131722_000051_000005	Hence Edison was enabled to follow his natural bent in being surrounded day and night by his responsible chosen associates, with whom he worked uninterrupted by outsiders from early morning away into the late hours of the evening. Those who were laboring with him, inspired by his unflagging enthusiasm, followed his example and devoted all their long waking hours to the furtherance of his plans with a zeal that ultimately bore fruit in the practical success here recorded.	Hence Edison was enabled to follow his natural bent in being surrounded day and night by his responsible chosen associates, with whom he worked uninterrupted by outsiders from early morning away into the late hours of the evening. Those who were laboring with him, inspired by his unflagging enthusiasm, followed his example and devoted all their long waking hours to the furtherance of his plans with a zeal that ultimately bore fruit in the practical success here recorded.	false	2420.3	2444.71	21.962008
2774_131722_000052_000000	In view of its present status, this colossal enterprise at Edison may well be likened to the prologue of a play that is to be subsequently enacted for the benefit of future generations, but before ringing down the curtain it is desirable to preserve the unities by quoting the words of one of the principal actors, Mr. Mallory, who says: "The Concentrating Works had been in operation, and we had produced a considerable quantity of the briquettes, and had been able to sell only a portion of them, the iron market being in such condition that blast-furnaces were not making any new purchases of iron ore, and were having difficulty to receive and consume the ores which had been previously contracted for, so what sales we were able to make were at extremely low prices, my recollection being that they were between $3.50 and $3.80 per ton, whereas when the works had started we had hoped to obtain $6.00 to $6.50 per ton for the briquettes.	In view of its present status, this colossal enterprise at Edison may well be likened to the prologue of a play that is to be subsequently enacted for the benefit of future generations, but before ringing down the curtain it is desirable to preserve the unities by quoting the words of one of the principal actors, mr Mallory, who says: "The Concentrating Works had been in operation, and we had produced a considerable quantity of the briquettes, and had been able to sell only a portion of them, the iron market being in such condition that blast furnaces were not making any new purchases of iron ore, and were having difficulty to receive and consume the ores which had been previously contracted for, so what sales we were able to make were at extremely low prices, my recollection being that they were between three dollars and fifty cents and three dollars and eighty cents per ton, whereas when the works had started we had hoped to obtain six dollars to six dollars and fifty cents per ton for the briquettes.	false	2446.16	2496.73	22.395445
2774_131722_000052_000001	We had also thoroughly investigated the wonderful deposit at Mesaba, and it was with the greatest possible reluctance that Mr. Edison was able to come finally to the conclusion that, under existing conditions, the concentrating plant could not then be made a commercial success.	We had also thoroughly investigated the wonderful deposit at Mesaba, and it was with the greatest possible reluctance that mr Edison was able to come finally to the conclusion that, under existing conditions, the concentrating plant could not then be made a commercial success.	false	2496.95	2511.22	22.415995
2774_131722_000052_000002	This decision was reached only after the most careful investigations and calculations, as Mr. Edison was just as full of fight and ambition to make it a success as when he first started.	This decision was reached only after the most careful investigations and calculations, as mr Edison was just as full of fight and ambition to make it a success as when he first started.	false	2511.38	2520.55	22.553972
2774_131722_000053_000000	"When this decision was reached Mr. Edison and I took the Jersey Central train from Edison, bound for Orange, and I did not look forward to the immediate future with any degree of confidence, as the concentrating plant was heavily in debt, without any early prospect of being able to pay off its indebtedness.	"When this decision was reached mr Edison and I took the Jersey Central train from Edison, bound for Orange, and I did not look forward to the immediate future with any degree of confidence, as the concentrating plant was heavily in debt, without any early prospect of being able to pay off its indebtedness.	true	2521.61	2535.16	17
2774_131722_000053_000001	On the train the matter of the future was discussed, and Mr. Edison said that, inasmuch as we had the knowledge gained from our experience in the concentrating problem, we must, if possible, apply it to some practical use, and at the same time we must work out some other plans by which we could make enough money to pay off the Concentrating Company's indebtedness, Mr. Edison stating most positively that no company with which he had personally been actively connected had ever failed to pay its debts, and he did not propose to have the Concentrating Company any exception.	On the train the matter of the future was discussed, and mr Edison said that, inasmuch as we had the knowledge gained from our experience in the concentrating problem, we must, if possible, apply it to some practical use, and at the same time we must work out some other plans by which we could make enough money to pay off the Concentrating Company's indebtedness, mr Edison stating most positively that no company with which he had personally been actively connected had ever failed to pay its debts, and he did not propose to have the Concentrating Company any exception.	false	2535.68	2565.01	23.278711
2774_131722_000054_000000	"In the discussion that followed he suggested several kinds of work which he had in his mind, and which might prove profitable.	"In the discussion that followed he suggested several kinds of work which he had in his mind, and which might prove profitable.	true	2565.8	2571.7	22.060017
2774_131722_000054_000001	We figured carefully over the probabilities of financial returns from the Phonograph Works and other enterprises, and after discussing many plans, it was finally decided that we would apply the knowledge we had gained in the concentrating plant by building a plant for manufacturing Portland cement, and that Mr. Edison would devote his attention to the developing of a storage battery which did not use lead and sulphuric acid.	We figured carefully over the probabilities of financial returns from the Phonograph Works and other enterprises, and after discussing many plans, it was finally decided that we would apply the knowledge we had gained in the concentrating plant by building a plant for manufacturing Portland cement, and that mr Edison would devote his attention to the developing of a storage battery which did not use lead and sulphuric acid.	false	2571.86	2592.58	22.664791
2774_131722_000054_000002	So these two lines of work were taken up by Mr. Edison with just as much enthusiasm and energy as is usual with him, the commercial failure of the concentrating plant seeming not to affect his spirits in any way.	So these two lines of work were taken up by mr Edison with just as much enthusiasm and energy as is usual with him, the commercial failure of the concentrating plant seeming not to affect his spirits in any way.	true	2593.04	2604.46	23.511131
2774_131722_000054_000003	In fact, I have often been impressed strongly with the fact that, during the dark days of the concentrating problem, Mr. Edison's desire was very strong that the creditors of the Concentrating Works should be paid in full; and only once did I hear him make any reference to the financial loss which he himself made, and he then said: 'As far as I am concerned, I can any time get a job at $75 per month as a telegrapher, and that will amply take care of all my personal requirements.' As already stated, however, he started in with the maximum amount of enthusiasm and ambition, and in the course of about three years we succeeded in paying off all the indebtedness of the Concentrating Works, which amounted to several hundred thousand dollars.	In fact, I have often been impressed strongly with the fact that, during the dark days of the concentrating problem, mr Edison's desire was very strong that the creditors of the Concentrating Works should be paid in full; and only once did I hear him make any reference to the financial loss which he himself made, and he then said: 'As far as I am concerned, I can any time get a job at seventy five dollars per month as a telegrapher, and that will amply take care of all my personal requirements.' As already stated, however, he started in with the maximum amount of enthusiasm and ambition, and in the course of about three years we succeeded in paying off all the indebtedness of the Concentrating Works, which amounted to several hundred thousand dollars.	false	2604.68	2645.2	23.421957
2774_131722_000055_000000	"As to the state of Mr. Edison's mind when the final decision was reached to close down, if he was specially disappointed, there was nothing in his manner to indicate it, his every thought being for the future, and as to what could be done to pull us out of the financial situation in which we found ourselves, and to take advantage of the knowledge which we had acquired at so great a cost."	"As to the state of mr Edison's mind when the final decision was reached to close down, if he was specially disappointed, there was nothing in his manner to indicate it, his every thought being for the future, and as to what could be done to pull us out of the financial situation in which we found ourselves, and to take advantage of the knowledge which we had acquired at so great a cost."	false	2645.3	2664.13	23.431908
2774_131722_000056_000000	It will have been gathered that the funds for this great experiment were furnished largely by Edison.	It will have been gathered that the funds for this great experiment were furnished largely by Edison.	true	2665.07	2669.84	21.270058
2774_131722_000056_000001	In fact, over two million dollars were spent in the attempt.	In fact, over two million dollars were spent in the attempt.	true	2669.84	2673.01	23.474525
2774_131722_000056_000002	Edison's philosophic view of affairs is given in the following anecdote from Mr. Mallory: "During the boom times of 1902, when the old General Electric stock sold at its high-water mark of about $330, Mr. Edison and I were on our way from the cement plant at New Village, New Jersey, to his home at Orange.	Edison's philosophic view of affairs is given in the following anecdote from mr Mallory: "During the boom times of nineteen o two, when the old General Electric stock sold at its high water mark of about three hundred thirty dollars, mr Edison and I were on our way from the cement plant at New Village, New Jersey, to his home at Orange.	false	2673.08	2690.89	21.908482
2774_131722_000056_000003	When we arrived at Dover, New Jersey, we got a New York newspaper, and I called his attention to the quotation of that day on General Electric.	When we arrived at Dover, New Jersey, we got a New York newspaper, and I called his attention to the quotation of that day on General Electric.	true	2691.2	2698.87	24.774467
2774_131722_000056_000004	Mr. Edison then asked: 'If I hadn't sold any of mine, what would it be worth to-day?' and after some figuring I replied: 'Over four million dollars.' When Mr. Edison is thinking seriously over a problem he is in the habit of pulling his right eyebrow, which he did now for fifteen or twenty seconds.	mr Edison then asked: 'If I hadn't sold any of mine, what would it be worth to day?' and after some figuring I replied: 'Over four million dollars.' When mr Edison is thinking seriously over a problem he is in the habit of pulling his right eyebrow, which he did now for fifteen or twenty seconds.	true	2698.94	2715.7	23.288942
2774_131722_000056_000005	Then his face lighted up, and he said: 'Well, it's all gone, but we had a hell of a good time spending it.'" With which revelation of an attitude worthy of Mark Tapley himself, this chapter may well conclude.	Then his face lighted up, and he said: 'Well, it's all gone, but we had a hell of a good time spending it.'" With which revelation of an attitude worthy of Mark Tapley himself, this chapter may well conclude.	false	2715.8	2735.19	22.475393
