3866_173230_000000_000000	As that aspiration escaped the client's lips, the lawyer got gayly into his gig.	As that aspiration escaped the client's lips, the lawyer got gayly into his gig.	false	0	11.28	14.86561
3866_173230_000059_000016	The ladies in the neighborhood have overwhelmed me with kindness; I have the prospect of getting pupils to teach; I am spared the mortification of going back to be a burden on my friends.	The ladies in the neighborhood have overwhelmed me with kindness; I have the prospect of getting pupils to teach; I am spared the mortification of going back to be a burden on my friends.	true	2189	2200.9	18
3866_173230_000059_000017	The only complaint I have to make is, I think, a just one. Mr. Armadale has been back at Thorpe Ambrose for some days.	The only complaint I have to make is, I think, a just one. mr Armadale has been back at Thorpe Ambrose for some days.	true	2201.48	2209.51	18.680216
3866_173230_000059_000018	I have entreated him, by letter, to grant me an interview; to tell me what dreadful suspicions he has of me, and to let me set myself right in his estimation.	I have entreated him, by letter, to grant me an interview; to tell me what dreadful suspicions he has of me, and to let me set myself right in his estimation.	true	2209.7	2220.46	18
3866_173230_000059_000019	Would you believe it?	Would you believe it?	true	2220.89	2222.14	18.188412
3866_173230_000059_000020	He has declined to see me--under the influence of others, not of his own free will, I am sure!	He has declined to see me-under the influence of others, not of his own free will, I am sure!	false	2222.48	2229.52	18.078815
3866_173230_000059_000021	Cruel, isn't it?	Cruel, isn't it?	false	2230.19	2232.09	18.880133
3866_173230_000059_000022	But he has even used me more cruelly still; he persists in suspecting me; it is he who is having me watched.	But he has even used me more cruelly still; he persists in suspecting me; it is he who is having me watched.	true	2232.09	2240.62	20.081087
3866_173230_000059_000023	Oh, Mr. Midwinter, don't hate me for telling you what you _must_ know!	Oh, mr Midwinter, don't hate me for telling you what you underscore must underscore know!	false	2241.02	2246.94	18.592306
3866_173230_000059_000024	The man you found persecuting me and frightening me to-night was only earning his money, after all, as Mr. Armadale's spy."	The man you found persecuting me and frightening me to night was only earning his money, after all, as mr Armadale's spy."	false	2246.94	2256.87	19.467674
3866_173230_000060_000000	Once more Midwinter started to his feet; and this time the thoughts that were in him found their way into words.	Once more Midwinter started to his feet; and this time the thoughts that were in him found their way into words.	true	2256.87	2263.6	14
3866_173230_000061_000000	"I can't believe it; I won't believe it!" he exclaimed, indignantly.	"I can't believe it; I won't believe it!" he exclaimed, indignantly.	false	2264.42	2268.46	18.976347
3866_173230_000061_000001	"If the man told you that, the man lied.	"If the man told you that, the man lied.	true	2269.13	2271.55	20.574188
3866_173230_000061_000002	I beg your pardon, Miss Gwilt; I beg your pardon from the bottom of my heart.	I beg your pardon, Miss Gwilt; I beg your pardon from the bottom of my heart.	true	2271.98	2276.29	20.180182
3866_173230_000061_000003	Don't, pray don't think I doubt _you_; I only say there is some dreadful mistake.	Don't, pray don't think I doubt underscore you underscore; I only say there is some dreadful mistake.	false	2276.75	2283.09	20.984194
3866_173230_000061_000004	I am not sure that I understand as I ought all that you have told me.	I am not sure that I understand as I ought all that you have told me.	false	2283.09	2287.12	19.506556
3866_173230_000061_000005	But this last infamous meanness of which you think Allan guilty, I _do_ understand. I swear to you, he is incapable of it!	But this last infamous meanness of which you think Allan guilty, I underscore do underscore understand. I swear to you, he is incapable of it!	false	2287.55	2297.08	19.806742
3866_173230_000061_000006	Some scoundrel has been taking advantage of him; some scoundrel has been using his name.	Some scoundrel has been taking advantage of him; some scoundrel has been using his name.	true	2297.45	2303.26	18.880789
3866_173230_000061_000007	I'll prove it to you, if you will only give me time.	I'll prove it to you, if you will only give me time.	true	2303.51	2306.95	18.8522
3866_173230_000061_000008	Let me go and clear it up at once.	Let me go and clear it up at once.	true	2307.5	2309.44	23
3866_173230_000061_000009	I can't rest; I can't bear to think of it; I can't even enjoy the pleasure of being here.	I can't rest; I can't bear to think of it; I can't even enjoy the pleasure of being here.	true	2309.75	2316.67	17.609745
3866_173230_000061_000010	Oh," he burst out desperately, "I'm sure you feel for me, after what you have said--I feel so for _you_!"	Oh," he burst out desperately, "I'm sure you feel for me, after what you have said-I feel so for underscore you underscore!"	false	2316.92	2327.28	18.583805
3866_173230_000062_000000	He stopped in confusion.	He stopped in confusion.	true	2327.28	2328.88	18.981524
3866_173230_000062_000001	Miss Gwilt's eyes were looking at him again, and Miss Gwilt's hand had found its way once more into his own.	Miss Gwilt's eyes were looking at him again, and Miss Gwilt's hand had found its way once more into his own.	false	2329.07	2336.41	17
3866_173230_000063_000000	"You are the most generous of living men," she said, softly.	"You are the most generous of living men," she said, softly.	false	2337.38	2341.48	16
3866_173230_000063_000001	"I will believe what you tell me to believe.	"I will believe what you tell me to believe.	true	2341.7	2344.18	19.530546
3866_173230_000063_000002	Go," she added, in a whisper, suddenly releasing his hand, and turning away from him.	Go," she added, in a whisper, suddenly releasing his hand, and turning away from him.	false	2344.58	2349.76	13
3866_173230_000063_000003	"For both our sakes, go!"	"For both our sakes, go!"	true	2350.22	2352.46	14
3866_173230_000064_000000	His heart beat fast; he looked at her as she dropped into a chair and put her handkerchief to her eyes.	His heart beat fast; he looked at her as she dropped into a chair and put her handkerchief to her eyes.	false	2353.46	2360.47	16
3866_173230_000064_000001	For one moment he hesitated; the next, he snatched up his knapsack from the floor, and left her precipitately, without a backward look or a parting word.	For one moment he hesitated; the next, he snatched up his knapsack from the floor, and left her precipitately, without a backward look or a parting word.	false	2361.38	2373.43	18.896196
3866_173230_000065_000000	She rose when the door closed on him.	She rose when the door closed on him.	true	2374.49	2376.81	17
3866_173230_000065_000001	A change came over her the instant she was alone.	A change came over her the instant she was alone.	false	2376.81	2380.51	17.994804
3866_173230_000065_000002	The color faded out of her cheeks; the beauty died out of her eyes; her face hardened horribly with a silent despair.	The color faded out of her cheeks; the beauty died out of her eyes; her face hardened horribly with a silent despair.	true	2380.85	2387.71	18.998066
3866_173230_000065_000003	"It's even baser work than I bargained for," she said, "to deceive _him_." After pacing to and fro in the room for some minutes, she stopped wearily before the glass over the fire-place.	"It's even baser work than I bargained for," she said, "to deceive underscore him underscore." After pacing to and fro in the room for some minutes, she stopped wearily before the glass over the fire place.	false	2388.41	2400.19	19
3866_173230_000065_000004	"You strange creature!" she murmured, leaning her elbows on the mantelpiece, and languidly addressing the reflection of herself in the glass.	"You strange creature!" she murmured, leaning her elbows on the mantelpiece, and languidly addressing the reflection of herself in the glass.	true	2400.62	2408.89	15
3866_173230_000065_000005	"Have you got any conscience left?	"Have you got any conscience left?	true	2409.32	2411.98	18.955982
3866_173230_000065_000006	And has that man roused it?"	And has that man roused it?"	true	2413.07	2414.89	17
3866_173230_000066_000000	The reflection of her face changed slowly.	The reflection of her face changed slowly.	true	2416.34	2418.82	16
3866_173230_000066_000001	The color returned to her cheeks, the delicious languor began to suffuse her eyes again.	The color returned to her cheeks, the delicious languor began to suffuse her eyes again.	true	2419.04	2424.37	17
3866_173230_000066_000002	Her lips parted gently, and her quickening breath began to dim the surface of the glass.	Her lips parted gently, and her quickening breath began to dim the surface of the glass.	true	2424.92	2430.7	18
3866_173230_000066_000003	She drew back from it, after a moment's absorption in her own thoughts, with a start of terror.	She drew back from it, after a moment's absorption in her own thoughts, with a start of terror.	true	2430.71	2436.94	20.328268
3866_173230_000066_000004	"What am I doing?" she asked herself, in a sudden panic of astonishment.	"What am I doing?" she asked herself, in a sudden panic of astonishment.	true	2437.97	2442.19	19.128277
3866_173230_000066_000005	"Am I mad enough to be thinking of him in _that_ way?"	"Am I mad enough to be thinking of him in underscore that underscore way?"	false	2443.19	2446.87	20.570663
3866_173230_000067_000000	She burst into a mocking laugh, and opened her desk on the table recklessly with a bang.	She burst into a mocking laugh, and opened her desk on the table recklessly with a bang.	true	2447.75	2453.11	16
3866_173230_000067_000001	"It's high time I had some talk with Mother Jezebel," she said, and sat down to write to Mrs. Oldershaw.	"It's high time I had some talk with Mother Jezebel," she said, and sat down to write to mrs Oldershaw.	true	2453.69	2460.19	18.703018
3866_173230_000068_000000	"I have met with Mr. Midwinter," she began, "under very lucky circumstances; and I have made the most of my opportunity.	"I have met with mr Midwinter," she began, "under very lucky circumstances; and I have made the most of my opportunity.	true	2460.68	2467.63	16
3866_173230_000068_000001	He has just left me for his friend Armadale; and one of two good things will happen to-morrow.	He has just left me for his friend Armadale; and one of two good things will happen to morrow.	true	2468.12	2473.84	19.456387
3866_173230_000068_000002	If they don't quarrel, the doors of Thorpe Ambrose will be opened to me again at Mr. Midwinter's intercession.	If they don't quarrel, the doors of Thorpe Ambrose will be opened to me again at mr Midwinter's intercession.	true	2474.03	2480.35	19.605875
3866_173230_000068_000003	If they do quarrel, I shall be the unhappy cause of it, and I shall find my way in for myself, on the purely Christian errand of reconciling them."	If they do quarrel, I shall be the unhappy cause of it, and I shall find my way in for myself, on the purely Christian errand of reconciling them."	true	2481.14	2491.87	18.54188
3866_173230_000069_000000	She hesitated at the next sentence, wrote the first few words of it, scratched them out again, and petulantly tore the letter into fragments, and threw the pen to the other end of the room.	She hesitated at the next sentence, wrote the first few words of it, scratched them out again, and petulantly tore the letter into fragments, and threw the pen to the other end of the room.	false	2493.68	2505.49	19.35874
3866_173230_000069_000001	Turning quickly on her chair, she looked at the seat which Midwinter had occupied, her foot restlessly tapping the floor, and her handkerchief thrust like a gag between her clinched teeth.	Turning quickly on her chair, she looked at the seat which Midwinter had occupied, her foot restlessly tapping the floor, and her handkerchief thrust like a gag between her clinched teeth.	false	2506.28	2520.1	19.907257
3866_173230_000069_000002	"Young as you are," she thought, with her mind reviving the image of him in the empty chair, "there has been something out of the common in _your_ life; and I must and will know it!"	"Young as you are," she thought, with her mind reviving the image of him in the empty chair, "there has been something out of the common in underscore your underscore life; and I must and will know it!"	false	2520.98	2535.18	16.518883
3866_173230_000070_000000	The house clock struck the hour, and roused her.	The house clock struck the hour, and roused her.	false	2535.18	2538.04	21
3866_173230_000070_000001	She sighed, and, walking back to the glass, wearily loosened the fastenings of her dress; wearily removed the studs from the chemisette beneath it, and put them on the chimney-piece.	She sighed, and, walking back to the glass, wearily loosened the fastenings of her dress; wearily removed the studs from the chemisette beneath it, and put them on the chimney piece.	true	2538.53	2549.56	15.818959
3866_173230_000070_000002	She looked indolently at the reflected beauties of her neck and bosom, as she unplaited her hair and threw it back in one great mass over her shoulders.	She looked indolently at the reflected beauties of her neck and bosom, as she unplaited her hair and threw it back in one great mass over her shoulders.	true	2549.93	2558.44	15
3866_173230_000070_000003	"Fancy," she thought, "if he saw me now!" She turned back to the table, and sighed again as she extinguished one of the candles and took the other in her hand.	"Fancy," she thought, "if he saw me now!" She turned back to the table, and sighed again as she extinguished one of the candles and took the other in her hand.	false	2559.65	2569.84	19
3866_173230_000070_000004	"Midwinter?" she said, as she passed through the folding-doors of the room to her bed-chamber.	"Midwinter?" she said, as she passed through the folding doors of the room to her bed chamber.	true	2571.08	2577.43	18.333712
3866_173230_000070_000005	"I don't believe in his name, to begin with!"	"I don't believe in his name, to begin with!"	true	2578.28	2580.97	18
3866_173230_000071_000000	The night had advanced by more than an hour before Midwinter was back again at the great house.	The night had advanced by more than an hour before Midwinter was back again at the great house.	true	2582.93	2588.14	17
3866_173230_000072_000000	Twice, well as the homeward way was known to him, he had strayed out of the right road.	Twice, well as the homeward way was known to him, he had strayed out of the right road.	true	2588.87	2595.34	19.513952
3866_173230_000072_000001	The events of the evening--the interview with Miss Gwilt herself, after his fortnight's solitary thinking of her; the extraordinary change that had taken place in her position since he had seen her last; and the startling assertion of Allan's connection with it--had all conspired to throw his mind into a state of ungovernable confusion.	The events of the evening-the interview with Miss Gwilt herself, after his fortnight's solitary thinking of her; the extraordinary change that had taken place in her position since he had seen her last; and the startling assertion of Allan's connection with it-had all conspired to throw his mind into a state of ungovernable confusion.	true	2595.77	2618.14	19.14347
3866_173230_000072_000002	The darkness of the cloudy night added to his bewilderment. Even the familiar gates of Thorpe Ambrose seemed strange to him.	The darkness of the cloudy night added to his bewilderment. Even the familiar gates of Thorpe Ambrose seemed strange to him.	false	2618.81	2627.65	19.019793
3866_173230_000072_000003	When he tried to think of it, it was a mystery to him how he had reached the place.	When he tried to think of it, it was a mystery to him how he had reached the place.	true	2628.05	2632.9	19.368176
3866_173230_000073_000000	The front of the house was dark, and closed for the night.	The front of the house was dark, and closed for the night.	true	2633.69	2636.35	20.041265
3866_173230_000073_000001	Midwinter went round to the back.	Midwinter went round to the back.	false	2636.69	2638.57	18
3866_173230_000073_000002	The sound of men's voices, as he advanced, caught his ear.	The sound of men's voices, as he advanced, caught his ear.	false	2638.73	2642.4	19.207354
3866_173230_000073_000003	They were soon distinguishable as the voices of the first and second footman, and the subject of conversation between them was their master.	They were soon distinguishable as the voices of the first and second footman, and the subject of conversation between them was their master.	false	2642.4	2650.83	19.19432
3866_173230_000074_000000	"I'll bet you an even half-crown he's driven out of the neighborhood before another week is over his head," said the first footman.	"I'll bet you an even half crown he's driven out of the neighborhood before another week is over his head," said the first footman.	false	2650.83	2657.08	18.157175
3866_173230_000075_000000	"Done!" said the second.	"Done!" said the second.	true	2657.66	2658.99	17.10889
3866_173230_000075_000001	"He isn't as easy driven as you think."	"He isn't as easy driven as you think."	true	2658.99	2661.24	17
3866_173230_000076_000000	"Isn't he!" retorted the other.	"Isn't he!" retorted the other.	false	2661.24	2663.82	20.884296
3866_173230_000076_000001	"He'll be mobbed if he stops here!	"He'll be mobbed if he stops here!	true	2663.82	2665.95	17.952251
3866_173230_000076_000002	I tell you again, he's not satisfied with the mess he's got into already. I know it for certain, he's having the governess watched."	I tell you again, he's not satisfied with the mess he's got into already. I know it for certain, he's having the governess watched."	false	2665.95	2674.24	21.314262
3866_173230_000077_000000	At those words, Midwinter mechanically checked himself before he turned the corner of the house.	At those words, Midwinter mechanically checked himself before he turned the corner of the house.	true	2674.58	2680.33	12
3866_173230_000077_000001	His first doubt of the result of his meditated appeal to Allan ran through him like a sudden chill.	His first doubt of the result of his meditated appeal to Allan ran through him like a sudden chill.	false	2681.03	2688.19	10
3866_173230_000077_000002	The influence exercised by the voice of public scandal is a force which acts in opposition to the ordinary law of mechanics.	The influence exercised by the voice of public scandal is a force which acts in opposition to the ordinary law of mechanics.	true	2688.8	2697.52	12
3866_173230_000077_000003	It is strongest, not by concentration, but by distribution.	It is strongest, not by concentration, but by distribution.	true	2698.22	2703.01	16
3866_173230_000077_000004	To the primary sound we may shut our ears; but the reverberation of it in echoes is irresistible.	To the primary sound we may shut our ears; but the reverberation of it in echoes is irresistible.	true	2703.71	2711.83	13
3866_173230_000077_000005	On his way back, Midwinter's one desire had been to find Allan up, and to speak to him immediately.	On his way back, Midwinter's one desire had been to find Allan up, and to speak to him immediately.	false	2712.8	2720.41	14
3866_173230_000077_000006	His one hope now was to gain time to contend with the new doubts and to silence the new misgivings; his one present anxiety was to hear that Allan had gone to bed.	His one hope now was to gain time to contend with the new doubts and to silence the new misgivings; his one present anxiety was to hear that Allan had gone to bed.	true	2721.02	2734.24	13
3866_173230_000077_000007	He turned the corner of the house, and presented himself before the men smoking their pipes in the back garden.	He turned the corner of the house, and presented himself before the men smoking their pipes in the back garden.	true	2734.76	2741.14	13
3866_173230_000077_000008	As soon as their astonishment allowed them to speak, they offered to rouse their master.	As soon as their astonishment allowed them to speak, they offered to rouse their master.	true	2741.72	2746.75	12
3866_173230_000077_000009	Allan had given his friend up for that night, and had gone to bed about half an hour since.	Allan had given his friend up for that night, and had gone to bed about half an hour since.	false	2747.27	2752.99	14
3866_173230_000078_000000	"It was my master's' particular order, sir," said the head-footman, "that he was to be told of it if you came back."	"It was my master's' particular order, sir," said the head footman, "that he was to be told of it if you came back."	true	2754.17	2760.04	18.78061
3866_173230_000079_000000	"It is _my_ particular request," returned Midwinter, "that you won't disturb him."	"It is underscore my underscore particular request," returned Midwinter, "that you won't disturb him."	false	2761.04	2766.73	22.010727
3866_173230_000080_000000	The men looked at each other wonderingly, as he took his candle and left them.	The men looked at each other wonderingly, as he took his candle and left them.	true	2767.37	2771.04	18.742247
3866_173230_000081_000000	VIII.	eight.	false	2771.04	2771.13	-20
3866_173230_000081_000001	SHE COMES BETWEEN THEM.	SHE COMES BETWEEN THEM.	false	2771.13	2771.55	-20
3866_173230_000082_000000	Appointed hours for the various domestic events of the day were things unknown at Thorpe Ambrose.	Appointed hours for the various domestic events of the day were things unknown at Thorpe Ambrose.	false	2771.55	2772.6	14.922444
3866_173230_000082_000001	Irregular in all his habits, Allan accommodated himself to no stated times (with the solitary exception of dinner-time) at any hour of the day or night.	Irregular in all his habits, Allan accommodated himself to no stated times (with the solitary exception of dinner time) at any hour of the day or night.	false	2772.6	2773.86	22.164286
3866_173230_000082_000002	He retired to rest early or late, and he rose early or late, exactly as he felt inclined.	He retired to rest early or late, and he rose early or late, exactly as he felt inclined.	false	2773.86	2774.94	17.75319
3866_173230_000082_000003	The servants were forbidden to call him; and Mrs. Gripper was accustomed to improvise the breakfast as she best might, from the time when the kitchen fire was first lighted to the time when the clock stood on the stroke of noon.	The servants were forbidden to call him; and mrs Gripper was accustomed to improvise the breakfast as she best might, from the time when the kitchen fire was first lighted to the time when the clock stood on the stroke of noon.	false	2774.94	2777.04	20.049946
