2061_147110_000000_000000	CHAPTER II	CHAPTER two	true	24.24	25.36	21
2061_147110_000037_000002	Races, wrestling, and quoits were better; while fishing was highly commendable, both in the way of diet as well as in the way of sport.	Races, wrestling, and quoits were better; while fishing was highly commendable, both in the way of diet as well as in the way of sport.	true	2042.78	2051.74	21.70126
2061_147110_000037_000003	Such entries as 'Thritty Lobbsters' and '6 Troutts' appear in several diaries.	Such entries as 'Thritty Lobbsters' and 'six Troutts' appear in several diaries.	true	2051.75	2057.2	14
2061_147110_000038_000000	Nor were other forms of gaiety forgotten.	Nor were other forms of gaiety forgotten.	true	2058.08	2060.41	18
2061_147110_000038_000001	Even a Massachusetts Puritan could recommend a sermon for general distribution in the camp because 'It will please your whole army, as it shows them the way to gain by their gallantry the hearts and affections of the Ladys.' And even a city of the 'Great Awakening,' like Boston, could produce a letter like the following:	Even a Massachusetts Puritan could recommend a sermon for general distribution in the camp because 'It will please your whole army, as it shows them the way to gain by their gallantry the hearts and affections of the Ladys.' And even a city of the 'Great Awakening,' like Boston, could produce a letter like the following:	true	2060.48	2077.99	16
2061_147110_000039_000000	I hope this will find you at Louisbourg with a bowl of Punch, a Pipe, and a Pack of Cards, and whatever else you desire. (I had forgot to mention a Pretty French Madammoselle.) Your Friend Luke has lost several Beaver Hatts already concerning the Expedition.	I hope this will find you at Louisbourg with a bowl of Punch, a Pipe, and a Pack of Cards, and whatever else you desire. (I had forgot to mention a Pretty French Madammoselle.) Your Friend luke has lost several Beaver Hatts already concerning the Expedition.	false	2078.51	2092.18	15
2061_147110_000039_000001	He is so very zealous about it that he has turned poor Boutier out of his house for saying he believed you wouldn't take the Place.	He is so very zealous about it that he has turned poor Boutier out of his house for saying he believed you wouldn't take the Place.	true	2092.43	2098.78	12
2061_147110_000039_000002	Damn his Blood, says Luke, let him be an Englishman or a Frenchman and not pretend to be an Englishman when he is a Frenchman in his Heart.	Damn his Blood, says luke, let him be an Englishman or a Frenchman and not pretend to be an Englishman when he is a Frenchman in his Heart.	true	2098.91	2106.01	16
2061_147110_000039_000003	If Drinking to your Success would take Cape Britton you must be in possession of it now, for it's a Standing Toast.	If Drinking to your Success would take Cape Britton you must be in possession of it now, for it's a Standing Toast.	true	2106.14	2112.64	19
2061_147110_000040_000000	The day this letter was written in Boston, May 6, Warren had already begun the regular blockade.	The day this letter was written in Boston, may sixth, Warren had already begun the regular blockade.	true	2113.7	2119.27	15
2061_147110_000040_000001	Only a single ship eluded him, an ably handled Basque, which stood in and rounded to, under the walls of Louisbourg, after running the gauntlet of the Royal Battery, on which the French fired with all their might to keep its own fire down.	Only a single ship eluded him, an ably handled Basque, which stood in and rounded to, under the walls of Louisbourg, after running the gauntlet of the Royal Battery, on which the French fired with all their might to keep its own fire down.	true	2119.31	2133.07	17
2061_147110_000040_000002	A second vessel was forced aground.	A second vessel was forced aground.	true	2133.41	2135.74	21.952785
2061_147110_000040_000003	Her captain fought her to the last; but Warren's boat crews took her. Some men who escaped from her brought du Chambon the news that a third French ship, the Vigilant, was coming to the relief of Louisbourg with ammunition and other stores. This ship had five hundred and sixty men aboard, that is, as many as all the regulars in Louisbourg.	Her captain fought her to the last; but Warren's boat crews took her. Some men who escaped from her brought du Chambon the news that a third French ship, the Vigilant, was coming to the relief of Louisbourg with ammunition and other stores. This ship had five hundred and sixty men aboard, that is, as many as all the regulars in Louisbourg.	true	2135.75	2156.57	20
2061_147110_000040_000004	On May 31 the garrison heard a tremendous cannonading out at sea. It grew in volume as Warren's squadron was seen to surround the stranger, who was evidently making a gallant fight against long odds.	On may thirty first the garrison heard a tremendous cannonading out at sea. It grew in volume as Warren's squadron was seen to surround the stranger, who was evidently making a gallant fight against long odds.	true	2156.57	2168.77	13
2061_147110_000040_000005	Presently it ceased; the clustered vessels parted; spread out; and took up their stations exactly as before, except that a new vessel was now flying the British flag.	Presently it ceased; the clustered vessels parted; spread out; and took up their stations exactly as before, except that a new vessel was now flying the British flag.	true	2169.02	2179.68	19.759785
2061_147110_000040_000006	This was the Vigilant, which had been put in charge of a prize crew, while her much-needed stores had been sent in to the Provincial army.	This was the Vigilant, which had been put in charge of a prize crew, while her much needed stores had been sent in to the Provincial army.	true	2179.68	2187.31	17
2061_147110_000041_000000	The French in Louisbourg were naturally much discouraged to see one of their best frigates flying the Union Jack. But they still hoped she might not really be the anxiously expected Vigilant.	The French in Louisbourg were naturally much discouraged to see one of their best frigates flying the Union Jack. But they still hoped she might not really be the anxiously expected Vigilant.	true	2188.13	2198.53	17
2061_147110_000041_000001	Warren, knowing their anxiety, determined to take advantage of it at the first opportunity.	Warren, knowing their anxiety, determined to take advantage of it at the first opportunity.	true	2198.72	2203.69	15
2061_147110_000041_000002	He had not long to wait.	He had not long to wait.	true	2203.94	2205.76	18.110178
2061_147110_000041_000003	A party of New Englanders, wandering too far inland, were ambushed by the French Indians, who promptly scalped all the prisoners.	A party of New Englanders, wandering too far inland, were ambushed by the French Indians, who promptly scalped all the prisoners.	true	2205.8	2213.02	12
2061_147110_000041_000004	Warren immediately sent in a formal protest to du Chambon, with a covering letter from the captain of the Vigilant, who willingly testified to the good treatment he and his crew were receiving on board the British men-of-war.	Warren immediately sent in a formal protest to du Chambon, with a covering letter from the captain of the Vigilant, who willingly testified to the good treatment he and his crew were receiving on board the British men of war.	false	2213.27	2225.77	15
2061_147110_000041_000005	Warren's messenger spoke French perfectly, but he concealed his knowledge by communicating with du Chambon through an interpreter.	Warren's messenger spoke French perfectly, but he concealed his knowledge by communicating with du Chambon through an interpreter.	false	2226.35	2234.2	18
2061_147110_000041_000006	This put the French off their guard and induced them to express their dismay without reserve when they read the news about the Vigilant.	This put the French off their guard and induced them to express their dismay without reserve when they read the news about the Vigilant.	true	2234.42	2241.67	16
2061_147110_000041_000007	Everything they said was of course reported back to Warren, who immediately passed it on to Pepperrell.	Everything they said was of course reported back to Warren, who immediately passed it on to Pepperrell.	true	2241.86	2247.28	19
2061_147110_000042_000000	Warren now thought the time had come to make a bold, decisive stroke.	Warren now thought the time had come to make a bold, decisive stroke.	true	2247.98	2251.99	16
2061_147110_000042_000001	He had just been reinforced by two more frigates out from England.	He had just been reinforced by two more frigates out from England.	true	2252.09	2255.89	17
2061_147110_000042_000002	Titcomb's famous brace of forty-two's had just begun to hammer in the North-West Gate of Louisbourg.	Titcomb's famous brace of forty two's had just begun to hammer in the north-west Gate of Louisbourg.	true	2255.96	2261.74	15
2061_147110_000042_000003	Pepperrell's lines of investment were quite complete.	Pepperrell's lines of investment were quite complete.	true	2262.05	2265.16	19.902197
2061_147110_000042_000004	The chance was too tempting to let slip, especially as it was safe strategy to get into Louisbourg before the French could be relieved either by land or sea.	The chance was too tempting to let slip, especially as it was safe strategy to get into Louisbourg before the French could be relieved either by land or sea.	true	2265.16	2273.89	15
2061_147110_000042_000005	Still, there was the Island Battery to reckon with. It was full of fight, and it flanked the narrow entrance in the most threatening way.	Still, there was the Island Battery to reckon with. It was full of fight, and it flanked the narrow entrance in the most threatening way.	true	2274.32	2282.11	19
2061_147110_000042_000006	Warren paused to consider the strength of this last outpost of the French defences and called a council of war to help him.	Warren paused to consider the strength of this last outpost of the French defences and called a council of war to help him.	true	2282.39	2289.52	17
2061_147110_000042_000007	For once a council favoured extreme measures; whereupon Warren sent in word to Pepperrell, asking for 1,500 Provincials, and proposing a combined assault immediately.	For once a council favoured extreme measures; whereupon Warren sent in word to Pepperrell, asking for one thousand five hundred Provincials, and proposing a combined assault immediately.	true	2289.83	2301.4	17
2061_147110_000042_000008	The plan was that Warren should sail in, past the Island Battery, and attack the harbour face of Louisbourg with every soldier, sailor, and ship's gun at his disposal; while Pepperrell carried the landward face by assault.	The plan was that Warren should sail in, past the Island Battery, and attack the harbour face of Louisbourg with every soldier, sailor, and ship's gun at his disposal; while Pepperrell carried the landward face by assault.	true	2301.65	2314.57	13
2061_147110_000042_000009	This plan might have succeeded, though at considerable loss, if Pepperrell's whole 4,000 had been effective.	This plan might have succeeded, though at considerable loss, if Pepperrell's whole four thousand had been effective.	true	2314.73	2321.44	16
2061_147110_000042_000010	But as he then had 1,900 sick and wounded, and 600 guarding his rear against the rumoured advance of Marin from Annapolis, it was quite evident that if he gave Warren another 1,500 he would have to assault the landward face alone.	But as he then had one thousand nine hundred sick and wounded, and six hundred guarding his rear against the rumoured advance of Marin from Annapolis, it was quite evident that if he gave Warren another one thousand five hundred he would have to assault the landward face alone.	true	2321.48	2336.68	13
2061_147110_000042_000011	Under these circumstances he very sensibly declined to co-operate in the way Warren had suggested.	Under these circumstances he very sensibly declined to co-operate in the way Warren had suggested.	true	2336.84	2342.68	14
2061_147110_000042_000012	But he offered 600 men, both from his army and the transports, for the Vigilant, whose prize crew would thus be released for duty aboard their own vessels.	But he offered six hundred men, both from his army and the transports, for the Vigilant, whose prize crew would thus be released for duty aboard their own vessels.	false	2342.78	2352.97	19
2061_147110_000042_000013	Warren, who was just over forty, replied with some heat.	Warren, who was just over forty, replied with some heat.	true	2353.31	2357.44	20.61466
2061_147110_000042_000014	But Pepperrell, who was just under fifty, kept his temper admirably and carried the day.	But Pepperrell, who was just under fifty, kept his temper admirably and carried the day.	true	2357.84	2363.32	18
2061_147110_000043_000000	Warren, however, still urged Pepperrell to take some decisive step.	Warren, however, still urged Pepperrell to take some decisive step.	true	2364.05	2368.51	18.615368
2061_147110_000043_000001	Both fleet and army agreed that a night attack on the Island Battery was the best alternative to Warren's impracticable plan.	Both fleet and army agreed that a night attack on the Island Battery was the best alternative to Warren's impracticable plan.	true	2368.73	2375.8	12
2061_147110_000043_000002	Vaughan jumped at the idea, hoping to repeat in another way his success against the Royal Battery.	Vaughan jumped at the idea, hoping to repeat in another way his success against the Royal Battery.	true	2376.2	2381.98	16
2061_147110_000043_000003	He promised that, if he was given a free hand, he would send Pepperrell the French flag within forty-eight hours.	He promised that, if he was given a free hand, he would send Pepperrell the French flag within forty eight hours.	true	2382.2	2388.7	17
2061_147110_000043_000004	But Vaughan was not to lead.	But Vaughan was not to lead.	true	2388.89	2390.74	20.551813
2061_147110_000043_000005	The whole attack was entrusted to men who specially volunteered for it, and who were allowed to choose their own officers. A man called Brooks happened to be on the crest of the wave of camp popularity at the moment; so he was elected colonel for this great occasion.	The whole attack was entrusted to men who specially volunteered for it, and who were allowed to choose their own officers. A man called Brooks happened to be on the crest of the wave of camp popularity at the moment; so he was elected colonel for this great occasion.	true	2390.75	2405.68	17
2061_147110_000043_000006	The volunteers soon began to assemble at the Royal Battery.	The volunteers soon began to assemble at the Royal Battery.	true	2405.96	2409.19	11
2061_147110_000043_000007	But they came in by driblets, and most of them were drunk.	But they came in by driblets, and most of them were drunk.	true	2409.23	2412.73	20.275167
2061_147110_000043_000008	The commandant of the battery felt far from easy.	The commandant of the battery felt far from easy.	true	2412.83	2416.36	21.27731
2061_147110_000043_000009	'I doubt whether straggling fellows, three, four, or seven out of a company, ought to go on such service.	'I doubt whether straggling fellows, three, four, or seven out of a company, ought to go on such service.	true	2416.52	2422.66	15
2061_147110_000043_000010	They seem to be impatient for action.	They seem to be impatient for action.	true	2422.76	2424.97	18
2061_147110_000043_000011	If there were a more regular appearance, it would give me greater sattysfaction.' His misgivings were amply justified; for the men whom Pepperrell was just beginning to form into bodies with some kind of cohesion were once more being allowed to dissolve into the original armed mob.	If there were a more regular appearance, it would give me greater sattysfaction.' His misgivings were amply justified; for the men whom Pepperrell was just beginning to form into bodies with some kind of cohesion were once more being allowed to dissolve into the original armed mob.	false	2425.13	2441.68	17
2061_147110_000044_000000	The night of June 7 was dark and calm.	The night of june seventh was dark and calm.	true	2442.8	2445.49	19
2061_147110_000044_000001	A little before twelve three hundred men, wisely discarding oars, paddled out from the Royal Battery and met another hundred who came from Lighthouse Point.	A little before twelve three hundred men, wisely discarding oars, paddled out from the Royal Battery and met another hundred who came from Lighthouse Point.	true	2445.53	2454.64	15
2061_147110_000044_000002	The paddles took them along in silence while they circled the island, looking for the narrow landing-place, where only three boats could go abreast between the destroying rocks on which the surf was breaking.	The paddles took them along in silence while they circled the island, looking for the narrow landing place, where only three boats could go abreast between the destroying rocks on which the surf was breaking.	true	2454.98	2466.88	17
2061_147110_000044_000003	Presently they found the tiny cove, and a hundred and fifty men landed without being discovered. But then, with incredible folly, they suddenly announced their presence by giving three cheers.	Presently they found the tiny cove, and a hundred and fifty men landed without being discovered. But then, with incredible folly, they suddenly announced their presence by giving three cheers.	true	2467.31	2478.55	16
2061_147110_000044_000004	The French commandant had cautioned his garrison to be alert, on account of the unusual darkness; and, at this very moment, he happened himself to be pacing up and down the rampart overlooking the spot where the volunteers were expressing their satisfaction at having surprised him so well.	The French commandant had cautioned his garrison to be alert, on account of the unusual darkness; and, at this very moment, he happened himself to be pacing up and down the rampart overlooking the spot where the volunteers were expressing their satisfaction at having surprised him so well.	false	2478.89	2496.04	16
2061_147110_000045_000000	His answer was instantaneous and effective.	His answer was instantaneous and effective.	true	2496.98	2499.82	18
2061_147110_000045_000001	The battery 'blazed with cannon, swivels, and small-arms,' which fired point-blank at the men ashore and with true aim at the boats crowded together round the narrow landing-place. Undaunted though undisciplined, the men ashore rushed at the walls with their scaling-ladders and began the assault. The attempt was vain.	The battery 'blazed with cannon, swivels, and small arms,' which fired point blank at the men ashore and with true aim at the boats crowded together round the narrow landing place. Undaunted though undisciplined, the men ashore rushed at the walls with their scaling ladders and began the assault. The attempt was vain.	true	2499.82	2517.94	15
2061_147110_000045_000002	The first men up the rungs were shot, stabbed, or cut down.	The first men up the rungs were shot, stabbed, or cut down.	true	2518.19	2522.32	20
2061_147110_000045_000003	The ladders were smashed or thrown aside.	The ladders were smashed or thrown aside.	true	2522.45	2524.83	17
2061_147110_000045_000004	Not one attacker really got home.	Not one attacker really got home.	true	2524.83	2527.15	16
2061_147110_000045_000005	Meanwhile the leading boats in the little cove were being knocked into splinters by the storm of shot.	Meanwhile the leading boats in the little cove were being knocked into splinters by the storm of shot.	true	2527.31	2532.46	13
2061_147110_000045_000006	The rest sheered off.	The rest sheered off.	true	2532.74	2534.5	20.808336
2061_147110_000045_000007	None but the hundred and fifty men ashore were left to keep up the fight with the garrison.	None but the hundred and fifty men ashore were left to keep up the fight with the garrison.	true	2534.54	2539.09	17
2061_147110_000045_000008	For once the odds were entirely with the French, who fired from under perfect cover, while the unfortunate Provincials fired back from the open rocks.	For once the odds were entirely with the French, who fired from under perfect cover, while the unfortunate Provincials fired back from the open rocks.	true	2539.4	2547.91	16
2061_147110_000045_000009	This exchange of shots went on till daylight, when one hundred and nineteen Provincials surrendered at discretion.	This exchange of shots went on till daylight, when one hundred and nineteen Provincials surrendered at discretion.	true	2548.22	2554.6	14
2061_147110_000045_000010	Their total loss was one hundred and eighty-nine, nearly half the force employed.	Their total loss was one hundred and eighty nine, nearly half the force employed.	true	2554.76	2559.4	14
2061_147110_000046_000000	Despairing Louisbourg naturally made the most of this complete success.	Despairing Louisbourg naturally made the most of this complete success.	true	2559.59	2563.69	14
2061_147110_000046_000001	The bells were rung and the cannon were fired to show the public joy and to put the best face on the general situation.	The bells were rung and the cannon were fired to show the public joy and to put the best face on the general situation.	true	2564	2570.4	14
2061_147110_000046_000002	Du Chambon surpassed himself in gross exaggerations.	Du Chambon surpassed himself in gross exaggerations.	false	2570.4	2574.9	20
2061_147110_000046_000003	He magnified the hundred and fifty men ashore into a thousand, and the two hundred and fifty afloat into eight hundred; while he bettered both these statements by reporting that the whole eighteen hundred had been destroyed except the hundred and nineteen who had been taken prisoners.	He magnified the hundred and fifty men ashore into a thousand, and the two hundred and fifty afloat into eight hundred; while he bettered both these statements by reporting that the whole eighteen hundred had been destroyed except the hundred and nineteen who had been taken prisoners.	true	2574.9	2589.42	14
2061_147110_000047_000000	Du Chambon's triumph was short-lived.	Du Chambon's triumph was short-lived.	false	2589.42	2592.79	23.06286
2061_147110_000047_000001	The indefatigable Provincials began a battery at Lighthouse Point, which commanded the island at less than half a mile.	The indefatigable Provincials began a battery at Lighthouse Point, which commanded the island at less than half a mile.	true	2592.95	2600.08	16
2061_147110_000047_000002	They had seized this position some time before and called it Gorham's Post, after the colonel whose regiment held it. Fourteen years later there was another and more famous Gorham's Post, on the south shore of the St Lawrence near Quebec, opposite Wolfe's Cove.	They had seized this position some time before and called it Gorham's Post, after the colonel whose regiment held it. Fourteen years later there was another and more famous Gorham's Post, on the south shore of the saint Lawrence near Quebec, opposite Wolfe's Cove.	true	2600.45	2616.46	20
2061_147110_000047_000003	The arming of this battery was a stupendous piece of work.	The arming of this battery was a stupendous piece of work.	true	2616.62	2620	20
2061_147110_000047_000004	The guns had to be taken round by sea, out of range of the Island Battery, hauled up low but very dangerous cliffs, and then dragged back overland another mile and a quarter.	The guns had to be taken round by sea, out of range of the Island Battery, hauled up low but very dangerous cliffs, and then dragged back overland another mile and a quarter.	false	2620.13	2631.43	17
2061_147110_000047_000005	The directing officer was Colonel Gridley, who drew the official British maps and plans of Louisbourg in 1745, and who, thirty years later, traced the American defences on the slopes of Bunker's Hill.	The directing officer was Colonel Gridley, who drew the official British maps and plans of Louisbourg in seventeen forty five, and who, thirty years later, traced the American defences on the slopes of Bunker's Hill.	true	2631.83	2645.49	18
2061_147110_000047_000006	Du Chambon had attempted to make an attack on Gorham's Post as soon as it was established.	Du Chambon had attempted to make an attack on Gorham's Post as soon as it was established.	false	2645.49	2651.38	19
2061_147110_000047_000007	His idea was that his men should follow the same route as the British guns had followed--that is, that they should run the gauntlet between the British fleet and army, land well north of Gorham's Post, and take it by surprise from the rear.	His idea was that his men should follow the same route as the British guns had followed-that is, that they should run the gauntlet between the British fleet and army, land well north of Gorham's Post, and take it by surprise from the rear.	true	2651.39	2664.82	17
2061_147110_000047_000008	But his detachment, which was wholly inadequate, failed to strike its blow, and was itself very nearly cut off by Warren's guard-boats on its crest-fallen return to Louisbourg.	But his detachment, which was wholly inadequate, failed to strike its blow, and was itself very nearly cut off by Warren's guard boats on its crest fallen return to Louisbourg.	true	2664.98	2675.29	18
2061_147110_000048_000000	Gridley's Lighthouse Battery soon over-matched the Island Battery, where powder was getting dangerously scarce. Many of the French guns were knocked off their mountings, while the walls were breached.	Gridley's Lighthouse Battery soon over matched the Island Battery, where powder was getting dangerously scarce. Many of the French guns were knocked off their mountings, while the walls were breached.	true	2675.75	2687.2	17
2061_147110_000048_000001	Finally, the British bombardment became so effective that Frenchmen were seen running into the water to escape the bursting shells.	Finally, the British bombardment became so effective that Frenchmen were seen running into the water to escape the bursting shells.	true	2687.33	2694.4	13
2061_147110_000048_000002	It was now past the middle of June, and the siege had lasted more than a month.	It was now past the middle of June, and the siege had lasted more than a month.	true	2694.74	2699.23	17
2061_147110_000048_000003	The circle of fire was closing in on the beleaguered garrison.	The circle of fire was closing in on the beleaguered garrison.	true	2699.33	2702.86	13
2061_147110_000048_000004	Their total effectives had sunk to only a thousand men.	Their total effectives had sunk to only a thousand men.	true	2703.05	2706.85	17
2061_147110_000048_000005	This thousand laboured harder in its losing cause than might have been expected.	This thousand laboured harder in its losing cause than might have been expected.	true	2707.04	2712.01	19
2061_147110_000048_000006	Perhaps the mutineers hoped to be pardoned if they made a firm defence.	Perhaps the mutineers hoped to be pardoned if they made a firm defence.	true	2712.11	2716.6	18
2061_147110_000048_000007	Perhaps the militia thought they ought not to be outdone by mutineers and hireling foreigners.	Perhaps the militia thought they ought not to be outdone by mutineers and hireling foreigners.	false	2716.94	2722.42	12
2061_147110_000048_000008	But, whatever the reason, great efforts were certainly made to build up by night what the British knocked down by day.	But, whatever the reason, great efforts were certainly made to build up by night what the British knocked down by day.	false	2722.73	2729.14	13
2061_147110_000048_000009	Two could play at that game, however, and the British had the men and means to win.	Two could play at that game, however, and the British had the men and means to win.	true	2729.42	2734.03	17
2061_147110_000048_000010	Their western batteries from the land were smashing the walls into ruins.	Their western batteries from the land were smashing the walls into ruins.	true	2734.22	2738.29	10
2061_147110_000048_000011	Their Royal Battery wrecked the whole inner water-front of Louisbourg.	Their Royal Battery wrecked the whole inner water front of Louisbourg.	true	2738.36	2743.27	20.324425
2061_147110_000048_000012	Breaches were yawning elsewhere.	Breaches were yawning elsewhere.	true	2743.52	2745.49	16
2061_147110_000048_000013	British fascines were visible in large quantities, ready to fill up the ditch, which was already half full of debris.	British fascines were visible in large quantities, ready to fill up the ditch, which was already half full of debris.	false	2745.59	2752.81	17
2061_147110_000048_000014	The French scouts reported hundreds of scaling-ladders on the reverse slopes of the nearest hillocks.	The French scouts reported hundreds of scaling ladders on the reverse slopes of the nearest hillocks.	true	2752.97	2759.17	15
2061_147110_000048_000015	Warren's squadron had just been again reinforced, and now numbered eleven sail, carrying 554 guns and 3,000 men.	Warren's squadron had just been again reinforced, and now numbered eleven sail, carrying five hundred fifty four guns and three thousand men.	false	2759.63	2768.56	17
2061_147110_000048_000016	There was no sign of help, by land or sea, for shrunken, battered, and despairing Louisbourg.	There was no sign of help, by land or sea, for shrunken, battered, and despairing Louisbourg.	true	2768.9	2774.47	17
2061_147110_000048_000017	Food, ammunition, stores were all running out.	Food, ammunition, stores were all running out.	true	2774.48	2777.65	18
2061_147110_000048_000018	Moreover, the British were evidently preparing a joint attack, which would result in putting the whole garrison to the sword if a formal surrender should not be made in time.	Moreover, the British were evidently preparing a joint attack, which would result in putting the whole garrison to the sword if a formal surrender should not be made in time.	false	2777.75	2787.01	16
2061_147110_000049_000000	Now that the Island Battery had been silenced there was no reason why Warren's plan should not be crowned with complete success.	Now that the Island Battery had been silenced there was no reason why Warren's plan should not be crowned with complete success.	true	2788.28	2794.84	13
2061_147110_000049_000001	Accordingly he arranged with Pepperrell to run in with the first fair wind, at the head of the whole fleet, which, with the Provincial armed vessels, now numbered twenty-four sail, carried 770 guns, and was manned by 4,000 sailors.	Accordingly he arranged with Pepperrell to run in with the first fair wind, at the head of the whole fleet, which, with the Provincial armed vessels, now numbered twenty four sail, carried seven hundred seventy guns, and was manned by four thousand sailors.	false	2795.09	2810.23	15
2061_147110_000049_000002	Half these men could be landed to attack the inner water-front, while Pepperrell could send another 2,000 against the walls.	Half these men could be landed to attack the inner water front, while Pepperrell could send another two thousand against the walls.	true	2810.51	2817.67	16
2061_147110_000049_000003	The total odds against Louisbourg would thus be about four to one in men and over eight to one in guns actually engaged.	The total odds against Louisbourg would thus be about four to one in men and over eight to one in guns actually engaged.	true	2818.01	2825.71	18
2061_147110_000050_000000	But this threatened assault was never made.	But this threatened assault was never made.	true	2825.99	2828.47	19
2061_147110_000050_000001	In the early morning of June 27 the non-combatants in Louisbourg unanimously petitioned du Chambon to surrender forthwith. They crept out of their underground dungeons and gazed with mortal apprehension at the overwhelming forces that stood arrayed against their crumbling walls and dwindling garrison.	In the early morning of june twenty seventh the non combatants in Louisbourg unanimously petitioned du Chambon to surrender forthwith. They crept out of their underground dungeons and gazed with mortal apprehension at the overwhelming forces that stood arrayed against their crumbling walls and dwindling garrison.	false	2828.51	2845.39	15
2061_147110_000050_000002	Noon came, and their worst fears seemed about to be realized.	Noon came, and their worst fears seemed about to be realized.	true	2845.76	2849.65	18
2061_147110_000050_000003	But when the drums began beating, it was to a parley, not to arms.	But when the drums began beating, it was to a parley, not to arms.	true	2849.69	2854.55	20
2061_147110_000050_000004	A sigh of ineffable relief went up from the whole of Louisbourg, and every eye followed the little white flutter of the flag of truce as it neared that terrible breaching battery opposite the West Gate. A Provincial officer came out to meet it.	A sigh of ineffable relief went up from the whole of Louisbourg, and every eye followed the little white flutter of the flag of truce as it neared that terrible breaching battery opposite the West Gate. A Provincial officer came out to meet it.	true	2854.55	2868.76	17
2061_147110_000050_000005	The French officer and he saluted.	The French officer and he saluted.	true	2868.89	2871.11	20
2061_147110_000050_000006	Then both moved into the British lines and beyond, to where Warren and Pepperrell were making their last arrangements on Green Hill.	Then both moved into the British lines and beyond, to where Warren and Pepperrell were making their last arrangements on Green Hill.	true	2871.11	2878.66	15
2061_147110_000051_000000	After a short consultation the British leaders sent in a joint reply to say that du Chambon could have till eight the next morning to make his proposals.	After a short consultation the British leaders sent in a joint reply to say that du Chambon could have till eight the next morning to make his proposals.	true	2879.39	2888.14	14
2061_147110_000051_000001	These proved to be so unacceptable that Pepperrell refused to consider them, and at once sent counter-proposals of his own.	These proved to be so unacceptable that Pepperrell refused to consider them, and at once sent counter proposals of his own.	true	2888.72	2896.08	16
2061_147110_000051_000002	Du Chambon had now no choice between annihilation and acceptance, so he agreed to surrender Louisbourg the following day.	Du Chambon had now no choice between annihilation and acceptance, so he agreed to surrender Louisbourg the following day.	false	2896.08	2903.83	16
2061_147110_000051_000003	He was obliged to guarantee that none of the garrison should bear arms against the British, in any part of the world, for a whole year.	He was obliged to guarantee that none of the garrison should bear arms against the British, in any part of the world, for a whole year.	true	2904.32	2911.66	15
2061_147110_000051_000004	Every one in Louisbourg was of course promised full protection for both property and person.	Every one in Louisbourg was of course promised full protection for both property and person.	true	2912.06	2917.08	15
2061_147110_000051_000005	Du Chambon's one successful stipulation was that his troops should march out with the honours of war, drums beating, bayonets fixed, and colours flying.	Du Chambon's one successful stipulation was that his troops should march out with the honours of war, drums beating, bayonets fixed, and colours flying.	false	2917.08	2927.29	20
2061_147110_000051_000006	Warren and Pepperrell willingly accorded this on the 28th; and the formal transfer took place next day, exactly seven weeks since the first eager New Englanders had waded ashore through the thundering surf of Gabarus Bay.	Warren and Pepperrell willingly accorded this on the twenty eighth; and the formal transfer took place next day, exactly seven weeks since the first eager New Englanders had waded ashore through the thundering surf of Gabarus Bay.	true	2927.69	2941.21	18
2061_147110_000052_000000	The total losses in killed and wounded were never precisely determined.	The total losses in killed and wounded were never precisely determined.	true	2942.66	2946.55	14
2061_147110_000052_000001	Each side minimized its own and maximized the enemy's.	Each side minimized its own and maximized the enemy's.	true	2946.77	2950.39	12
2061_147110_000052_000002	But as du Chambon admitted a loss of one hundred and forty-five, and as the Provincials claimed to have put three hundred out of action, the true number is probably about two hundred, or just over ten per cent of the whole garrison.	But as du Chambon admitted a loss of one hundred and forty five, and as the Provincials claimed to have put three hundred out of action, the true number is probably about two hundred, or just over ten per cent of the whole garrison.	true	2950.61	2964.16	14
2061_147110_000052_000003	The Provincials reported their own killed, quite correctly, at a hundred.	The Provincials reported their own killed, quite correctly, at a hundred.	true	2964.77	2969.08	21.477808
2061_147110_000052_000004	The remaining deaths, on both sides, were due to disease.	The remaining deaths, on both sides, were due to disease.	true	2969.24	2972.41	14
2061_147110_000052_000005	The Provincial wounded were never grouped together in any official returns.	The Provincial wounded were never grouped together in any official returns.	true	2972.72	2976.94	15
2061_147110_000052_000006	They amounted to about three hundred.	They amounted to about three hundred.	true	2977.13	2979.37	20
2061_147110_000052_000007	This brings the total casualties in Pepperrell's army up to four hundred and gives the same percentage as the French.	This brings the total casualties in Pepperrell's army up to four hundred and gives the same percentage as the French.	true	2980.58	2987.14	16
2061_147110_000052_000008	The highest proportion of casualties among all the different forces was the fifteen per cent lost by the French on board the Vigilant in less than five hours' fighting. The lowest was in Warren's squadron and the Provincial Marine--about five in each.	The highest proportion of casualties among all the different forces was the fifteen per cent lost by the French on board the Vigilant in less than five hours' fighting. The lowest was in Warren's squadron and the Provincial Marine-about five in each.	false	2987.36	3002.47	20
2061_147110_000052_000009	The loss of material suffered by the French was, of course, on quite a different scale. Every fortification and other building in Louisbourg, with the remarkable exception of a single house, was at least partly demolished by the nine thousand cannon balls and six hundred shells that hit the target of a hundred acres peopled by four thousand souls.	The loss of material suffered by the French was, of course, on quite a different scale. Every fortification and other building in Louisbourg, with the remarkable exception of a single house, was at least partly demolished by the nine thousand cannon balls and six hundred shells that hit the target of a hundred acres peopled by four thousand souls.	true	3002.63	3022.18	15
