2638_10172_000000_000000	CHAPTER I.	CHAPTER one	true	21.12	22.15	19.171984
2638_10172_000087_000002	Mrs. Wragge will be charmed to see you.	mrs Wragge will be charmed to see you.	false	2041.97	2045.28	21.24732
2638_10172_000087_000003	Look upon her as your aunt; pray look upon her as your aunt.	Look upon her as your aunt; pray look upon her as your aunt.	false	2045.28	2050.71	20.3913
2638_10172_000087_000004	The landlady is a widow, the house is close by, there are no other lodgers, and there is a bedroom to let.	The landlady is a widow, the house is close by, there are no other lodgers, and there is a bedroom to let.	true	2050.71	2058.64	18.668608
2638_10172_000087_000005	Can anything be more satisfactory, under all the circumstances?	Can anything be more satisfactory, under all the circumstances?	true	2058.98	2063.98	20.269754
2638_10172_000087_000006	Pray observe, I say nothing about to-morrow--I leave to-morrow to you, and confine myself exclusively to the night.	Pray observe, I say nothing about to morrow-I leave to morrow to you, and confine myself exclusively to the night.	true	2064.44	2073.55	20.457264
2638_10172_000087_000007	I may, or may not, command theatrical facilities, which I am in a position to offer you.	I may, or may not, command theatrical facilities, which I am in a position to offer you.	true	2073.92	2080.72	17
2638_10172_000087_000008	Sympathy and admiration may, or may not, be strong within me, when I contemplate the dash and independence of your character.	Sympathy and admiration may, or may not, be strong within me, when I contemplate the dash and independence of your character.	false	2081.09	2088.67	18
2638_10172_000087_000009	Hosts of examples of bright stars of the British drama, who have begun their apprenticeship to the stage as you are beginning yours, may, or may not, crowd on my memory.	Hosts of examples of bright stars of the British drama, who have begun their apprenticeship to the stage as you are beginning yours, may, or may not, crowd on my memory.	false	2089.25	2100.49	20.58728
2638_10172_000087_000010	These are topics for the future.	These are topics for the future.	true	2100.98	2103.34	20.47055
2638_10172_000087_000011	For the present, I confine myself within my strict range of duty.	For the present, I confine myself within my strict range of duty.	true	2103.95	2108.5	22
2638_10172_000087_000012	We are within five minutes' walk of my present address.	We are within five minutes' walk of my present address.	true	2108.84	2112.25	21
2638_10172_000087_000013	Allow me to offer you my arm.	Allow me to offer you my arm.	true	2112.65	2115.01	21.198915
2638_10172_000087_000014	No? You hesitate?	No? You hesitate?	true	2115.41	2117.98	22.1686
2638_10172_000087_000015	You distrust me?	You distrust me?	true	2118.17	2119.57	24.454615
2638_10172_000087_000016	Good heavens! is it possible you can have heard anything to my disadvantage?"	Good heavens! is it possible you can have heard anything to my disadvantage?"	true	2120.03	2124.64	18
2638_10172_000088_000000	"Quite possible," said Magdalen, without a moment's flinching from the answer.	"Quite possible," said Magdalen, without a moment's flinching from the answer.	true	2125.4	2129.8	21.807648
2638_10172_000089_000000	"May I inquire the particulars?" asked the captain, with the politest composure.	"May I inquire the particulars?" asked the captain, with the politest composure.	false	2130.38	2135.62	23.387737
2638_10172_000089_000001	"Don't spare my feelings; oblige me by speaking out.	"Don't spare my feelings; oblige me by speaking out.	true	2136.14	2140.78	21.220116
2638_10172_000089_000002	In the plainest terms, now, what have you heard?"	In the plainest terms, now, what have you heard?"	true	2141.03	2144.89	21.948938
2638_10172_000090_000000	She answered him with a woman's desperate disregard of consequences when she is driven to bay--she answered him instantly,	She answered him with a woman's desperate disregard of consequences when she is driven to bay-she answered him instantly,	true	2145.53	2152.39	21.454132
2638_10172_000091_000000	"I have heard you are a Rogue."	"I have heard you are a Rogue."	true	2152.91	2154.91	16.821259
2638_10172_000092_000000	"Have you, indeed?" said the impenetrable Wragge.	"Have you, indeed?" said the impenetrable Wragge.	true	2155.49	2159.35	16.775562
2638_10172_000092_000001	"A Rogue?	"A Rogue?	true	2159.6	2161	17.001421
2638_10172_000092_000002	Well, I waive my privilege of setting you right on that point for a fitter time.	Well, I waive my privilege of setting you right on that point for a fitter time.	true	2161.37	2167	20.798386
2638_10172_000092_000003	For the sake of argument, let us say I am a Rogue.	For the sake of argument, let us say I am a Rogue.	true	2167.49	2171.65	20.341568
2638_10172_000092_000004	What is Mr. Huxtable?"	What is mr Huxtable?"	true	2171.81	2173.54	24.813198
2638_10172_000093_000000	"A respectable man, or I should not have seen him in the house where we first met."	"A respectable man, or I should not have seen him in the house where we first met."	true	2174.21	2178.34	22.054073
2638_10172_000094_000000	"Very good.	"Very good.	true	2178.95	2180.26	19.317785
2638_10172_000094_000001	Now observe!	Now observe!	true	2180.26	2181.73	18.169424
2638_10172_000094_000002	You talked of writing to Mr. Huxtable a minute ago.	You talked of writing to mr Huxtable a minute ago.	false	2181.98	2186.34	22.93859
2638_10172_000094_000003	What do you think a respectable man is likely to do with a young lady who openly acknowledges that she has run away from her home and her friends to go on the stage?	What do you think a respectable man is likely to do with a young lady who openly acknowledges that she has run away from her home and her friends to go on the stage?	false	2186.34	2197.18	19
2638_10172_000094_000004	My dear girl, on your own showing, it's not a respectable man you want in your present predicament.	My dear girl, on your own showing, it's not a respectable man you want in your present predicament.	false	2197.55	2204.98	21.860008
2638_10172_000094_000005	It's a Rogue--like me."	It's a Rogue-like me."	true	2205.14	2207.38	19.303835
2638_10172_000095_000000	Magdalen laughed, bitterly.	Magdalen laughed, bitterly.	true	2208.32	2210.11	23.383896
2638_10172_000096_000000	"There is some truth in that," she said.	"There is some truth in that," she said.	true	2210.6	2213.23	21.316294
2638_10172_000096_000001	"Thank you for recalling me to myself and my circumstances.	"Thank you for recalling me to myself and my circumstances.	true	2213.6	2216.8	17
2638_10172_000096_000002	I have my end to gain--and who am I, to pick and choose the way of getting to it?	I have my end to gain-and who am I, to pick and choose the way of getting to it?	true	2217.02	2221.56	23.167253
2638_10172_000096_000003	It is my turn to beg pardon now.	It is my turn to beg pardon now.	false	2221.56	2224.03	24.883974
2638_10172_000096_000004	I have been talking as if I was a young lady of family and position.	I have been talking as if I was a young lady of family and position.	true	2224.22	2227.6	15
2638_10172_000096_000005	Absurd!	Absurd!	true	2227.94	2228.95	25.622877
2638_10172_000096_000006	We know better than that, don't we, Captain Wragge? You are quite right.	We know better than that, don't we, Captain Wragge? You are quite right.	true	2229.26	2233.39	23.981298
2638_10172_000096_000007	Nobody's child must sleep under Somebody's roof--and why not yours?"	Nobody's child must sleep under Somebody's roof-and why not yours?"	true	2233.85	2238.25	21.535923
2638_10172_000097_000000	"This way," said the captain, dexterously profiting by the sudden change in her humor, and cunningly refraining from exasperating it by saying more himself.	"This way," said the captain, dexterously profiting by the sudden change in her humor, and cunningly refraining from exasperating it by saying more himself.	true	2239.07	2248.12	20
2638_10172_000097_000001	"This way."	"This way."	true	2248.37	2249.77	18.830181
2638_10172_000098_000000	She followed him a few steps, and suddenly stopped.	She followed him a few steps, and suddenly stopped.	true	2250.53	2253.67	21.467436
2638_10172_000099_000000	"Suppose I _am_ discovered?" she broke out, abruptly.	"Suppose I underscore am underscore discovered?" she broke out, abruptly.	false	2253.95	2257.18	21.479362
2638_10172_000099_000001	"Who has any authority over me?	"Who has any authority over me?	true	2257.4	2259.28	22
2638_10172_000099_000002	Who can take me back, if I don't choose to go?	Who can take me back, if I don't choose to go?	true	2259.5	2261.98	23.942434
2638_10172_000099_000003	If they all find me to-morrow, what then?	If they all find me to morrow, what then?	true	2262.35	2264.5	22.864962
2638_10172_000099_000004	Can't I say No to Mr. Pendril? Can't I trust my own courage with Miss Garth?"	Can't I say No to mr Pendril? Can't I trust my own courage with Miss Garth?"	true	2264.57	2269.33	23.024117
2638_10172_000100_000000	"Can you trust your courage with your sister?" whispered the captain, who had not forgotten the references to Norah which had twice escaped her already.	"Can you trust your courage with your sister?" whispered the captain, who had not forgotten the references to Norah which had twice escaped her already.	true	2269.91	2279.05	21.289242
2638_10172_000101_000000	Her head drooped.	Her head drooped.	true	2279.78	2281.12	21.74048
2638_10172_000101_000001	She shivered as if the cold night air had struck her, and leaned back wearily against the parapet of the wall.	She shivered as if the cold night air had struck her, and leaned back wearily against the parapet of the wall.	true	2281.19	2287.6	23
2638_10172_000102_000000	"Not with Norah," she said, sadly.	"Not with Norah," she said, sadly.	true	2288.03	2290.66	21.227268
2638_10172_000102_000001	"I could trust myself with the others.	"I could trust myself with the others.	true	2291.21	2293.18	19
2638_10172_000102_000002	Not with Norah."	Not with Norah."	true	2293.64	2294.95	21.98403
2638_10172_000103_000000	"This way," repeated Captain Wragge.	"This way," repeated Captain Wragge.	true	2295.92	2299.06	20.185772
2638_10172_000103_000001	She roused herself; looked up at the darkening heaven, looked round at the darkening view.	She roused herself; looked up at the darkening heaven, looked round at the darkening view.	true	2299.55	2304.46	22
2638_10172_000103_000002	"What must be, must," she said, and followed him.	"What must be, must," she said, and followed him.	false	2305.37	2336.4	19.708092
